Water.Heater.Efficiency,Cost,Estimate
Electric Standard,870,
Electric Premium,950,*
Electric Tankless,750,*
"Electric Heat Pump, 80 gal",2200,
Natural Gas Standard,620,
Natural Gas Premium,720,
Natural Gas Tankless,2200,
Fuel Oil Standard,1600,
Fuel Oil Premium,1700,
FIXME Fuel Oil Indirect,500,*
Other Fuel,700,*
Propane Standard,620,
Propane Premium,720,
Propane Tankless,2200,*
