"","Water.Heater.Efficiency"
"1","Electric Standard"
"2","Electric Premium"
"3","Electric Tankless"
"4","Electric Heat Pump, 80 gal"
"5","Natural Gas Standard"
"6","Natural Gas Premium"
"7","Natural Gas Tankless"
"8","Fuel Oil Standard"
"9","Fuel Oil Premium"
"10","FIXME Fuel Oil Indirect"
"11","Other Fuel"
"12","Propane Standard"
"13","Propane Premium"
"14","Propane Tankless"
