S,h
16426,0.164561
16444,0.342359
16469,0.013839
16500,0.363418
16579,0.131769
16680,0.005415
16684,0.387786
16808,0.007220
16890,0.049338
16944,0.124850
16969,0.491276
17027,0.351685
17029,0.242479
17031,0.200963
17032,0.366125
17034,0.145006
17036,0.009627
17065,0.082130
17067,0.310469
17068,0.310469
17069,0.555355
17070,0.555355
17071,0.057461
17097,0.052948
17100,0.020457
17108,0.240072
17110,0.042720
17119,0.019856
17121,0.175090
17157,0.046029
17158,0.240373
17160,0.320096
17162,0.026775
17164,0.006919
17166,0.316787
17191,0.224428
17228,0.097172
17566,0.567088
17567,0.567088
17661,0.019555
17723,0.138989
17732,0.254513
17842,0.079723
17843,0.204874
17844,0.313177
17846,0.352286
17847,0.352286
17848,0.322202
17849,0.322202
17875,0.079122
17877,0.162756
17967,0.026173
17969,0.065584
17970,0.127256
17972,0.003309
17974,0.308664
17975,0.308664
17976,0.047834
17978,0.635981
17980,0.263237
17984,0.018652
17986,0.051444
18030,0.144103
18031,0.144103
18032,0.008424
18053,0.421179
18055,0.018351
18057,0.253008
18059,0.070397
18061,0.028279
18062,0.168472
18063,0.231649
18065,0.081227
18066,0.081227
18067,0.004513
18069,0.348977
18072,0.390193
18074,0.273466
18076,0.471420
18077,0.471420
18078,0.412756
18114,0.011131
18116,0.090253
18126,0.009025
18128,0.371540
18161,0.018051
18183,0.220818
18190,0.050241
18368,0.399819
18369,0.399819
18375,0.115223
18377,0.760229
18378,0.760229
18379,0.425692
18380,0.013538
18381,0.063779
18416,0.013839
18418,0.106799
18474,0.716306
18476,0.148616
18477,0.060469
18478,0.132371
18479,0.082732
18520,0.253008
18522,0.413959
18524,0.446450
18525,0.164260
18527,0.002106
18529,0.287906
18587,0.025572
18589,0.034898
18871,0.191637
18872,0.123947
19115,0.586041
19145,0.161552
19175,0.396510
19177,0.193742
19186,0.478039
19193,0.257822
19198,0.206378
19200,0.245187
19202,0.176594
19203,0.176594
19231,0.028580
19325,0.054452
19326,0.097172
19412,0.333032
19433,0.106197
19483,0.130566
19485,0.138387
19495,0.374850
19606,0.027076
19612,0.146209
19640,0.209988
19646,0.013237
19647,0.013237
19660,0.033394
19679,0.013839
19714,0.015644
19716,0.095668
19785,0.061372
19839,0.000602
19842,0.253911
19854,0.612816
19855,0.612816
19929,0.050542
19930,0.050542
19931,0.396209
20144,0.164260
20146,0.875150
20185,0.004513
20296,0.468412
20298,0.172082
20338,0.082130
20341,0.415764
20343,0.123345
20345,0.138087
20347,0.164260
20429,0.201264
20484,0.046330
20533,0.019254
20535,0.563478
20546,0.015945
20595,0.436522
20596,0.436522
20597,0.045728
20599,0.112816
20637,0.084236
20654,0.080024
20655,0.080024
20737,0.025572
20759,0.146510
20761,0.551444
20762,0.043321
20764,0.278580
20765,0.278580
20922,0.213899
20923,0.213899
20924,0.144705
21037,0.278881
21039,0.660349
21041,0.180806
21042,0.180806
21043,0.180806
21044,0.180806
21144,0.096270
21207,0.287304
21258,0.129061
21283,0.097774
21298,0.110108
21300,0.426895
21302,0.369134
21347,0.059868
21355,0.662455
21356,0.662455
21357,1.000000
21358,0.361913
21397,0.004212
21457,0.083935
21532,0.034296
21566,0.061974
21568,0.322202
21903,0.206980
22043,0.299037
22250,0.360108
22251,0.022262
22253,0.013237
22255,0.140493
22257,0.087244
22259,0.004813
22261,0.168773
22263,0.122744
22265,0.005114
22353,0.120638
22533,0.366727
22534,0.366727
22643,0.039711
22726,0.354392
22746,0.073105
22749,0.113418
22781,0.111913
22847,0.447052
22849,0.113718
22851,0.078520
22853,0.022262
22855,0.041817
22857,0.113418
22898,0.049639
22925,0.100782
22927,0.026173
22929,0.142599
22931,0.057461
23444,0.240674
23446,0.311974
23448,0.585439
23474,0.024368
23476,0.335439
23477,0.282491
23498,0.340554
23499,0.340554
23520,0.300241
23522,0.009025
23524,0.010529
23570,0.004813
23618,0.003309
23620,0.001504
23670,0.016546
23697,0.409747
23698,0.409747
23730,0.258123
23738,0.368532
23739,0.368532
23740,0.001504
23742,0.041215
23744,0.385078
23929,0.279783
23930,0.279783
23931,0.279783
24110,0.324609
24112,0.016546
24114,0.287605
24129,0.591155
24130,0.274669
24134,0.073105
24136,0.016245
24138,0.041817
24139,0.247292
24141,0.392900
24143,0.090854
24145,0.025872
24212,0.021661
24214,0.007220
24223,0.175090
24292,0.024669
24328,0.268351
24329,0.268351
24330,0.268351
24384,0.040012
24386,0.038809
24554,0.003911
24558,0.284898
24599,0.034597
24601,0.003309
24603,0.002106
24605,0.693442
24607,0.002407
24609,0.125150
24914,0.118231
24916,0.081227
24918,0.000301
24920,0.005415
24965,0.145909
24970,0.430205
24972,0.202166
24973,0.405535
24974,0.405535
25023,0.061673
25025,0.395909
25101,0.118231
25105,0.541817
25127,0.296029
25128,0.296029
25129,0.154031
25131,0.078821
25132,0.157341
25133,0.296029
25135,0.108604
25137,0.470217
25145,0.280987
25147,0.235259
25148,0.235259
25149,0.235259
25150,0.235259
25151,0.235259
25152,0.018652
25211,0.024067
25222,0.063478
25224,0.298736
25378,0.653430
25380,0.276173
25399,0.093562
25401,0.043321
25403,0.184416
25404,0.008123
25501,0.013839
25505,0.119434
25507,0.338748
25559,0.031288
25603,0.001805
25609,0.108905
25669,0.038207
25671,0.276173
25672,0.276173
25673,0.214200
25675,0.070698
25677,0.055355
25679,0.318893
25704,0.034296
25788,0.012635
25854,0.600782
25856,0.186823
25930,0.001504
26353,0.238869
26378,0.078821
26380,0.264440
26391,0.084537
26393,0.104693
26395,0.061673
26399,0.119735
26400,0.119735
26401,0.000301
26403,0.449759
26405,0.002106
26472,0.197052
26473,0.025271
26533,0.101083
26535,0.008424
26647,0.002708
26674,0.113117
26703,0.101986
26714,0.278279
26760,0.321901
26762,0.443141
26853,0.000301
26855,0.001805
26857,0.053550
26963,0.046029
26965,0.166366
26967,0.606197
27045,0.012335
27054,0.480746
27056,0.249097
27057,0.070397
27058,0.042118
27080,0.004513
27085,0.018051
27087,0.108303
27089,0.235560
27091,0.464200
27093,0.055054
27095,0.314681
27096,0.314681
27097,0.018051
27123,0.089651
27125,0.061974
27127,0.379061
27166,0.045427
27175,0.267148
27177,0.430505
27212,0.074308
27250,0.229543
27251,0.229543
27288,0.010229
27304,0.348375
27320,0.315584
27365,0.012936
27743,0.062876
27822,0.305656
27823,0.305656
27824,0.027377
27867,0.191937
27868,0.191937
27869,0.191937
27913,0.183213
27915,0.160349
27917,0.444043
27919,0.400421
27920,0.799940
27921,0.148616
27922,0.148616
28042,0.264440
28043,0.264440
28077,0.028279
28079,0.009928
28081,0.022864
28143,0.224128
28166,0.033394
28168,0.231949
28170,0.098977
28172,0.021360
28174,0.028881
28176,0.124549
28178,0.484958
28179,0.484958
28180,0.110108
28181,0.352286
28320,0.018652
28321,0.027377
28323,0.329422
28325,0.018953
28327,0.046931
28381,0.023165
28410,0.125451
28447,0.004212
28464,0.072202
28475,0.124549
28477,0.063779
28479,0.052647
28481,0.095066
28495,0.014140
28519,0.079122
28524,0.342960
28526,0.174188
28528,0.007822
28548,0.314079
28550,0.175090
28551,0.263839
28552,0.261733
28554,0.295427
28556,0.564079
28557,0.564079
28588,0.016847
28597,0.010830
28599,0.085740
28633,0.047533
28716,0.000903
28742,0.000903
29089,0.097172
29091,0.064380
29092,0.211793
29093,0.211793
29094,0.192238
29096,0.448255
29098,0.176294
29161,0.363117
29234,0.002106
29236,0.022262
29279,0.022262
29281,0.154934
29283,0.249398
29293,0.065884
29312,0.043321
29314,0.055957
29503,0.740072
29504,0.740072
29505,0.003911
29507,0.086643
29509,0.055656
29511,0.002106
29513,0.185319
29514,0.106498
29543,0.237064
29546,0.043321
29548,0.038207
29550,0.011131
29552,0.087846
29579,0.443141
29594,0.058063
29645,0.077016
29673,0.202768
29689,0.141095
29691,0.053550
29693,0.713899
29694,0.180505
29696,0.096570
29701,0.125451
29719,0.120036
29721,0.000602
29749,0.300542
29810,0.035800
29886,0.123345
29888,0.098075
29907,0.021360
29913,0.125752
29915,0.233755
29917,0.654031
29924,0.142900
29925,0.142900
29926,0.142900
29936,0.002106
29946,0.047834
29948,0.287605
29950,0.113718
29967,0.300842
30030,0.015945
30035,0.015343
30037,0.290313
30039,0.062274
30041,0.006318
30043,0.042720
30045,0.009025
30323,0.000301
30340,0.041215
30342,0.198556
30353,0.005415
30354,0.100181
30527,0.193141
30529,0.027978
30531,0.000903
30533,0.555054
30638,0.054152
30640,0.036101
30642,0.022563
30644,0.008123
30646,0.068592
30653,0.131769
30686,0.365523
30688,0.012635
30766,0.368231
30768,0.019856
30770,0.010529
30771,0.014741
30834,0.380566
30840,0.098375
30917,0.780084
30918,0.485259
30920,0.018351
30921,0.221721
30922,0.006017
30923,0.382671
30924,0.030987
30925,0.040614
30927,0.584537
30929,0.043321
30984,0.303550
30986,0.016245
30991,0.883273
30993,0.399519
30994,0.399519
30995,0.531588
30996,0.531588
30997,0.042720
30999,0.003309
31007,0.188327
31009,0.016847
31048,0.421781
31184,0.278881
31186,0.123646
31188,0.095668
31197,0.304753
31215,0.020758
31217,0.107100
31282,0.646811
31299,0.011432
31394,0.166968
31426,0.011131
31459,0.002106
31472,0.047834
31571,0.013839
31579,0.049338
31677,0.283995
31738,0.006919
31739,0.007220
31760,0.194344
31762,0.162756
31809,0.239170
31811,0.325211
31813,0.022563
31815,0.405535
32060,0.016847
32161,0.002106
32163,0.050241
32252,0.477738
32272,0.077918
32323,0.143201
32373,0.245487
32375,0.032190
32439,0.078219
32483,0.722022
32485,0.201264
32592,0.042118
32620,0.140794
32622,0.433514
32694,0.268652
32696,0.046931
32698,0.436221
32700,0.302948
32702,0.482852
32704,0.100181
32706,0.019254
32708,0.152828
32716,0.019254
32763,0.058063
32764,0.036402
32765,0.478039
32783,0.024970
