S,h
57,0.026032
393,0.266308
394,0.266308
395,0.006284
397,0.128067
399,0.109515
401,0.243866
402,0.236385
403,0.172651
404,0.062238
406,0.134351
408,0.479952
409,0.479952
410,0.342011
411,0.342011
412,0.001197
414,0.198683
487,0.067923
551,0.088270
614,0.033513
616,0.158588
618,0.162478
620,0.087672
760,0.620287
762,0.084680
779,0.182525
780,0.155595
781,0.155595
896,0.002693
929,0.283662
970,0.002394
1032,0.007780
1133,0.116697
1214,0.001197
1237,0.019749
1239,0.231897
1241,0.043986
1243,0.087074
1245,0.197487
1247,0.075404
1249,0.035308
1310,0.329144
1311,0.002095
1358,0.002693
1360,0.181927
1362,0.010473
1364,0.184321
1366,0.137642
1368,0.439557
1369,0.439557
1370,0.045781
1380,0.133453
1621,0.330640
1622,0.330640
1623,0.008378
1625,0.026930
1741,0.054159
1998,0.186116
1999,0.186116
2018,0.104728
2022,0.002095
2046,0.045482
2100,0.343507
2102,0.001496
2142,0.615500
2143,0.640335
2302,0.330640
2336,0.182825
2338,0.065530
2339,0.065530
2412,0.026032
2414,0.067325
2457,0.093656
2459,0.727708
2461,0.495212
2491,0.191203
2492,0.191203
2525,0.001496
2527,0.170856
2529,0.684022
2530,0.684022
2531,1.000000
2533,0.330341
2535,0.339617
2566,0.150209
2586,0.002693
2587,0.170257
2660,0.006284
2668,0.099940
2676,0.050269
2707,0.272591
2708,0.002095
2710,0.693896
2711,0.693896
2712,0.061341
2730,0.009276
2762,0.075703
2779,0.017654
2781,0.013166
3284,0.008079
3298,0.081688
3397,0.452424
3398,0.452424
3403,0.006284
3405,0.687612
3407,0.246858
3408,0.246858
3436,0.006583
3438,0.005984
3439,0.020048
3441,0.012567
3471,0.153501
3618,0.143327
3712,0.075105
3765,0.098145
3782,0.415919
3786,0.079294
3848,0.072711
3850,0.146320
3891,0.185518
3922,0.002992
3974,0.022442
4016,0.110413
4030,0.404548
4031,0.404548
4032,0.404548
4060,0.316876
4062,0.202573
4063,0.178935
4064,0.202573
4065,0.202573
4067,0.012268
4069,0.004488
4075,0.102932
4077,0.014961
4214,0.051167
4216,0.011969
4218,0.144225
4220,0.225015
4222,0.398564
4223,0.398564
4224,0.029922
4325,0.181927
4327,0.211251
4397,0.062837
4399,0.001795
4401,0.037403
4675,0.243866
4705,0.106822
4707,0.262418
4709,0.157391
4710,0.157391
4711,0.046679
4743,0.105027
4760,0.185817
4781,0.250748
4827,0.011969
4829,0.008677
4831,0.165769
4833,0.292340
4835,0.285159
4877,0.114303
4899,0.021544
4902,0.295033
5010,0.005685
5058,0.358169
5059,0.358169
5105,0.122382
5110,0.014662
5197,0.412627
5199,0.189707
5230,0.164273
5232,0.752244
5379,0.005984
5459,0.210952
5678,0.319868
5679,0.319868
5680,0.031718
5682,0.093357
5817,0.422801
5818,0.422801
5819,0.555955
5820,0.555955
5821,0.048474
6156,0.048773
6158,0.013764
6160,0.154099
6162,0.770197
6164,0.043387
6166,0.578995
6168,0.004788
6169,0.204967
6171,0.002693
6173,0.310293
6202,0.149312
6203,0.313585
6204,0.480551
6205,0.020946
6241,0.032615
6262,0.037702
6443,0.027528
6445,0.327050
6447,0.237882
6550,0.509874
6640,0.037403
6670,0.380012
6671,0.380012
6672,0.380012
6673,0.380012
6674,0.380012
6785,0.001795
6825,0.210652
6827,0.070616
6841,0.007481
6896,0.092759
6949,0.508378
6959,0.041891
6961,0.178636
6962,0.178636
6963,0.020347
6965,0.067026
6967,0.069120
6968,0.046379
6969,0.145422
7011,0.098145
7013,0.014363
7015,0.073309
7060,0.279473
7062,0.199880
7064,0.752244
7157,0.199282
7158,0.199282
7208,0.005087
7210,0.273788
7242,0.326152
7275,0.136146
7581,0.112208
7603,0.062837
7605,0.011370
7607,0.467086
7688,0.251346
7690,0.163674
7692,0.073010
7694,0.041293
7831,0.002095
7833,0.329443
7835,0.078995
7929,0.015260
8118,0.546080
8120,0.408737
8161,0.864153
8220,0.037702
8254,0.181628
8336,0.019749
8337,0.205266
8338,0.025434
8339,0.530820
8409,0.098145
8470,0.002992
8550,0.032017
8552,0.347098
8554,0.023040
8555,0.328546
8556,0.328546
8557,0.374626
8558,0.328546
8559,0.328546
8561,0.052364
8563,0.550868
8565,0.014363
9019,0.033214
9041,0.005087
9042,0.010473
9060,0.106224
9062,0.400359
9191,0.212448
9238,0.214243
9240,0.521245
9242,0.208857
9244,0.002992
9246,0.517056
9248,0.478755
9250,0.021544
9261,0.094554
9263,0.351586
9265,0.489527
9267,0.002693
9269,0.075105
9271,0.009874
9273,0.004488
9275,0.010473
9277,0.368941
9279,0.466786
9281,0.099940
9283,0.111311
9284,0.067624
9344,0.016756
9351,0.150209
9471,0.221125
9473,0.110413
9500,0.368642
9501,0.368642
9529,0.141233
9534,0.455715
9600,0.026032
9602,0.147217
9616,0.108019
9643,0.283064
9668,0.062238
9697,0.347995
9733,0.110712
9735,0.166068
9765,0.331538
9766,0.120287
9768,0.017654
9770,0.039198
9772,0.201975
9774,0.073908
9837,0.224716
9839,0.200180
9863,0.114901
9865,0.143327
9900,0.013764
9902,0.415320
9905,0.188809
9907,0.105625
9948,0.020048
9950,0.015260
9952,0.050269
9954,0.695691
10068,0.216338
10613,0.583483
10614,0.583483
10615,0.143627
10617,0.558348
10619,0.399461
10621,0.000898
10664,0.002693
10702,0.149013
10751,0.020646
10779,0.350389
10781,0.061341
10782,0.004189
10783,0.251047
10784,0.318671
10785,0.318671
10841,0.016756
10843,0.503890
10845,0.114602
10847,0.009575
10939,0.091263
10940,0.373429
10942,0.198683
10964,0.037403
10966,0.014063
10968,0.356074
10970,0.110413
11085,0.066128
11087,0.313285
11089,0.125374
11098,0.002095
11099,0.028127
11101,0.120886
11171,0.436266
11172,0.436266
11185,0.123579
11221,0.293238
11222,0.129862
11223,0.003591
11224,0.003591
11245,0.001197
11248,0.009874
11450,0.671753
11452,0.000598
11563,0.178336
11865,0.094554
11892,0.307600
11893,0.307600
11904,0.225913
11933,0.553860
11934,0.553860
11935,0.553860
11966,0.011670
11971,0.353980
11973,0.129264
12047,0.389288
12048,0.389288
12049,0.352783
12056,0.001496
12110,0.035907
12181,0.075703
12183,0.260024
12184,0.157690
12185,0.039497
12186,0.198384
12188,0.333333
12190,0.111311
12230,0.033812
12232,0.022142
12276,0.117893
12315,0.053561
12539,0.062238
12541,0.012867
12543,0.012268
12544,0.012268
12545,0.450030
12547,0.005984
12548,0.236086
12549,0.236086
12550,0.014363
12552,0.160084
12612,0.003890
12672,0.137642
12674,0.017654
12676,0.187911
12685,0.057750
12732,0.001496
12792,0.146320
12816,0.237882
12817,0.237882
12818,0.012567
12819,0.012567
12880,0.118791
13011,0.055057
13350,0.138839
13352,0.113704
13353,0.113704
13354,0.383303
13355,0.383303
13369,0.534411
13481,0.261819
13614,0.474267
13615,0.400958
13616,0.400958
13669,0.305805
13844,0.214243
13846,0.094554
13848,0.008378
13874,0.292041
13875,0.004788
13950,0.327050
14001,0.046679
14020,0.145422
14039,0.207959
14090,0.073609
14092,0.426691
14094,0.333633
14096,0.280072
14135,0.264213
14137,0.033513
14139,0.220227
14155,0.675943
14228,0.137941
14230,0.177439
14232,0.046978
14234,0.094255
14253,0.014363
14255,0.292340
14268,0.385398
14362,0.334530
14364,0.000898
14904,0.060443
14938,0.321963
15066,0.326750
15068,0.076601
15070,0.124476
15072,0.122681
15136,0.263914
15227,0.230700
15228,0.230700
15284,0.014961
15285,0.014961
15376,0.056553
15446,0.251646
15448,0.353381
15450,0.088869
15452,0.195392
15454,0.097247
15456,0.233094
15458,0.078396
15459,0.095153
15461,0.531119
15462,0.531119
15463,0.044584
15465,0.615799
15467,0.340215
15468,0.340215
15469,0.077499
15484,0.025434
15486,0.004189
15495,0.287852
15496,0.287852
15497,0.287852
15743,0.159485
15745,0.033214
15747,0.352783
15749,0.115799
15751,0.087074
16109,0.367744
16534,0.604129
16536,0.022142
16549,0.138540
16633,0.066427
16859,0.213645
16860,0.213645
16876,0.008977
16886,0.166966
16888,0.117295
16892,0.329443
16893,0.329443
16894,0.329443
16895,0.329443
16896,0.329443
16928,0.001496
16969,0.080192
16971,0.180431
16973,0.378815
16975,0.085278
16977,0.045482
16979,0.000898
16981,0.625673
16983,0.124476
16985,0.511071
16986,0.313285
16987,0.189707
16988,0.423399
16990,0.038899
17033,0.136146
17056,0.022142
17095,0.255835
17118,0.049970
17158,0.455715
17186,0.071514
17194,0.213345
17196,0.005386
17198,0.086176
17199,0.086176
17204,0.321664
17238,0.193297
17240,0.128965
17242,0.136146
17244,0.009575
17246,0.157391
17442,0.007780
17652,0.014063
17924,0.636744
17926,0.049072
17968,0.276780
17969,0.276780
17970,0.000299
18022,0.000898
18039,0.389886
18050,0.405147
18052,0.217834
18054,0.014662
18055,0.008677
18060,0.497008
18097,0.358468
18165,0.041891
18171,0.311191
18173,0.199282
18275,0.049970
18290,0.204967
18336,0.042789
18353,0.181628
18354,0.070018
18359,0.051765
18361,0.091263
18363,0.074806
18393,0.010772
18404,0.189408
18434,0.073010
18436,0.103830
18438,0.083483
18445,0.203770
18457,0.205266
18459,0.016756
18502,0.167265
18504,0.097846
18506,0.000898
18508,0.011370
18510,0.224417
18540,0.132256
18542,0.460503
18544,0.046080
18546,0.317475
18563,0.669958
18565,0.409934
18587,0.052065
19026,0.321963
19054,0.073609
19056,0.528127
19103,0.624776
19142,0.190904
19205,0.335727
19207,0.439856
19295,0.687014
19536,0.171753
19818,0.027828
19823,0.057151
19843,0.356972
19844,0.356972
19890,0.350389
19892,0.326152
19893,0.326152
19947,0.476062
20042,0.072113
20192,0.452124
20421,0.213345
20517,0.096050
20525,0.304010
20526,0.304010
20527,0.304010
20582,0.410832
20584,0.006882
20586,0.115799
20588,0.009276
20655,0.003291
20673,0.083184
20708,0.191203
20710,0.177139
20712,0.495212
20713,0.495212
20742,0.676840
20777,0.019749
20801,0.022142
20888,0.082286
20913,0.582585
20915,0.302513
20917,0.587672
20977,0.024835
21001,0.263914
21003,0.098743
21092,0.045781
21093,0.039497
21095,0.156194
21097,0.309695
21099,0.230700
21135,0.139737
21168,0.242669
21169,0.242669
21170,0.104428
21172,0.067026
21174,0.184022
21176,0.095751
21177,0.066727
21179,0.186715
21180,0.646918
21181,0.011969
21198,0.476661
21199,0.476661
21227,0.157391
21228,0.157391
21229,0.094853
21234,0.020347
21290,0.100539
21292,0.289048
21294,0.325554
21296,0.024536
21298,0.357870
21300,0.172651
21306,0.198384
21322,0.032914
21391,0.391083
21480,0.479354
21481,0.479354
21482,0.479354
21848,0.378217
21849,0.378217
21850,0.579892
21851,0.378217
21852,0.014961
21854,0.115200
21984,0.208259
21985,0.208259
21986,0.137343
21988,0.089168
21989,0.089168
22099,0.004488
22136,0.224716
22192,0.000898
22194,0.113704
22195,0.113704
22196,0.015859
22221,0.005685
22448,0.372531
22634,0.596349
22636,0.556852
22637,0.556852
22664,0.183124
22666,0.002992
22685,0.292938
22714,0.131059
22731,0.314482
22753,0.187612
22798,0.399761
22799,0.399761
22801,0.046978
22804,0.111610
22847,0.203172
22848,0.203172
22849,0.024835
22868,0.295332
22869,0.269300
22870,0.295332
22871,0.295332
23295,0.083782
23444,0.730700
23532,0.001795
23565,0.138241
23567,0.307301
23573,0.176242
23575,0.002095
23633,0.395272
23830,0.310592
23838,0.000299
23864,0.329144
24019,0.267205
24083,0.368043
24084,0.368043
24108,0.473070
24109,0.473070
24150,0.105925
24197,0.052364
24199,0.517355
24201,0.156493
24203,0.004788
24205,0.356074
24207,0.003291
24209,0.021245
24211,0.128366
24213,0.511370
24215,0.421005
24216,0.014961
24218,0.005386
24220,0.008079
24222,0.038001
24224,0.051765
24297,0.002394
24343,0.052364
24345,0.208259
24488,0.125972
24490,0.622681
24665,0.090365
24960,0.067624
25052,0.008677
25090,0.006882
25091,0.207361
25214,0.016756
25223,0.213645
25268,0.287852
25270,0.272890
25273,0.339019
25274,0.339019
25320,0.005685
25433,0.004788
25470,0.554159
25471,0.554159
25472,0.554159
25488,0.116098
25490,0.295931
25492,0.146619
25494,0.255236
25496,0.026332
25514,0.096649
25585,0.654698
25591,0.381807
25592,0.381807
25593,0.005984
25595,0.180730
25597,0.000299
25599,0.179234
25601,0.011670
25621,0.032316
25623,0.059545
25627,0.208259
25636,0.456613
25637,0.456613
25638,0.456613
25639,0.124776
25641,0.280072
25720,0.162478
25744,0.114303
25826,0.361759
25877,0.016457
25878,0.342310
25880,0.019749
25891,0.406942
25893,0.535308
26023,0.664871
26025,0.032615
26368,0.077499
26381,0.217235
26382,0.217235
26480,0.228306
26482,0.367744
26500,0.057451
26502,0.084381
26504,0.019449
26506,0.110413
26655,0.327349
26657,0.251346
26659,0.390186
26661,0.115200
26666,0.036206
26668,0.114303
26669,0.114303
26670,0.114303
26725,0.172950
26727,0.097846
26786,0.002394
26874,0.292340
26876,0.190904
26899,0.664273
26915,0.144225
26922,0.004189
27101,0.325554
27103,0.286355
27105,0.404249
27106,0.404249
27107,0.606224
27108,0.404249
27109,0.129862
27122,0.061041
27127,0.040395
27133,0.040694
27135,0.308498
27278,0.592160
27280,0.001197
27282,0.112807
27284,0.419210
27285,0.419210
27286,0.707959
27287,0.419210
27288,0.392579
27347,0.178935
27409,0.721724
27455,0.658887
27456,0.658887
27716,0.201077
27749,0.052962
27751,0.149910
27806,0.009874
27832,0.130162
27834,0.276780
27855,0.162777
27873,0.216936
27943,0.035907
27954,0.020646
27956,0.010174
27989,0.086176
27991,0.011071
27993,0.813884
27995,0.198384
28001,0.245063
28002,0.245063
28003,0.245063
28034,0.176541
28036,0.078097
28037,0.304010
28051,0.004189
28082,0.005087
28117,0.303710
28172,0.166966
28269,0.358767
28271,0.046978
28351,0.622681
28353,0.443148
28463,0.061939
28597,0.003291
28662,0.114303
28692,0.194195
28693,0.194195
28694,0.131957
28696,0.496409
28697,0.004788
28698,0.375823
28699,0.379114
28700,0.183722
28701,0.015859
28771,0.005386
28773,0.037104
29175,0.634351
29185,0.105027
29229,0.365051
29262,0.011370
29318,0.446140
29320,0.376421
29322,0.080192
29380,0.147217
29394,0.109515
29396,0.338420
29414,0.071215
29426,0.390186
29427,0.083782
29428,0.137941
29439,0.365350
29441,0.004488
29443,0.122382
29555,0.062537
29650,0.213944
29774,0.049970
29868,0.476062
29869,0.476062
29870,0.011969
29990,0.304010
30008,0.183423
30010,0.039497
30021,0.105925
30023,0.676840
30038,0.011969
30056,0.354279
30119,0.016457
30178,0.006284
30180,0.103830
30181,0.522442
30182,0.522442
30544,0.040096
30546,0.230999
30547,0.230999
30548,0.230999
30648,0.219629
30677,0.018253
30679,0.067325
30819,0.009276
30848,0.225015
30849,0.225015
30850,0.053262
30854,0.004488
30855,0.166966
30857,0.008977
30937,0.530221
30939,0.135248
31048,0.036206
31067,0.383303
31075,0.006882
31077,0.035607
31108,0.299222
31109,0.299222
31110,0.687014
31112,0.000299
31114,0.103830
31116,0.085278
31118,0.682525
31120,0.212747
31121,0.212747
31150,0.029623
31152,0.255536
31207,0.416218
31208,0.416218
31209,0.416218
31216,0.005685
31308,0.274087
31349,0.224117
31351,0.003291
31353,0.464393
31355,0.139737
31428,0.389288
31440,0.894973
31442,0.278875
31444,0.012268
31445,0.012268
31446,0.122382
31448,0.091263
31450,0.165171
31452,0.170557
31454,0.290245
31504,0.183124
31549,0.020347
31649,0.001795
31662,0.021245
31694,0.002394
32047,0.631957
32049,0.007780
32051,0.092759
32080,0.127768
32135,0.406344
32137,0.032017
32141,0.007481
32143,0.008378
32145,0.087373
32146,0.035308
32148,0.204967
32150,0.011670
32152,0.319270
32154,0.270497
32156,0.109216
32158,0.497905
32159,0.497905
32160,0.408737
32162,0.023339
32164,0.001496
32166,0.513166
32273,0.191502
32275,0.292938
32276,0.292938
32277,0.376122
32279,0.471275
32280,0.471275
32281,0.471275
32450,0.024536
32452,0.123579
32454,0.102932
32455,0.322262
32456,0.299222
32457,0.128067
32458,0.133453
32460,0.054758
32462,0.078995
32464,0.271993
32560,0.223220
32620,0.002992
32639,0.018552
32703,0.274387
32708,0.031119
32785,0.309994
32790,0.505984
33041,0.000299
33128,0.001795
33192,0.028127
33194,0.235189
33277,0.016457
33279,0.015560
33281,0.002095
33283,0.098743
33548,0.089168
33727,0.505984
33729,0.007181
33738,0.261520
33753,0.197487
33755,0.369240
33773,0.365649
33774,0.365649
33812,0.019449
33813,0.031418
33815,0.138241
33827,0.155595
33947,0.010473
34010,0.001496
34012,0.082585
34013,0.104428
34014,0.028426
34016,0.013764
34018,0.351586
34020,0.158288
34091,0.134051
34096,0.072711
34098,0.097247
34115,0.013166
34131,0.002992
34133,0.007780
34135,0.151706
34174,0.098743
34263,0.003591
34265,0.007181
34276,0.249252
34278,0.081089
34280,0.298923
34281,0.298923
34282,0.416218
34283,0.007481
34284,0.097546
34286,0.002095
34288,0.096649
34308,0.190904
34309,0.190904
34341,0.530820
34342,0.530820
34343,0.530820
34344,0.530820
34372,0.147217
34448,0.504488
34449,0.376122
34451,0.296529
34874,0.244764
35026,0.306403
35052,0.000299
35080,0.016158
35177,0.140335
35237,0.262118
35238,0.262118
35239,0.104428
35349,0.060443
35385,0.048773
35436,0.374626
35438,0.007181
35440,0.127169
35458,0.012867
35460,0.063435
35489,0.006882
35537,0.171155
35552,0.048773
35554,0.412328
35555,0.412328
35556,0.418911
35592,0.236086
35593,0.236086
35594,0.236086
35710,0.052065
35809,0.174446
35811,0.226810
35867,0.329443
36612,0.073309
36636,0.123579
36658,0.156792
36660,0.456613
36709,0.010174
36711,0.549072
36712,0.549072
36713,0.147217
36715,0.006284
36717,0.114901
36719,0.109515
36812,0.411730
36923,0.385099
36983,0.064333
36995,0.056553
37157,0.023938
37181,0.009276
37243,0.416816
37244,0.416816
37245,0.416816
37263,0.084979
37290,0.019749
37298,0.332735
37363,0.469479
37365,0.052962
37373,0.205566
37380,0.086176
37429,0.129563
37431,0.015560
37433,0.010473
37847,0.063136
37849,0.406044
37851,0.024835
37853,0.210353
37855,0.145422
37857,0.055955
37996,0.097846
