Dependency=Vintage	Dependency=Geometry Floor Area	Dependency=ASHRAE IECC Climate Zone 2004	Option=1 ACH50	Option=2 ACH50	Option=3 ACH50	Option=4 ACH50	Option=5 ACH50	Option=6 ACH50	Option=7 ACH50	Option=8 ACH50	Option=10 ACH50	Option=15 ACH50	Option=20 ACH50	Option=25 ACH50	Option=30 ACH50	Option=40 ACH50	Option=50 ACH50
2020s	0-499	1A	0.000000	0.001331	0.038243	0.240349	0.720077	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
2020s	0-499	2A	0.000000	0.001331	0.038243	0.240349	0.720077	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
2020s	0-499	2B	0.000007	0.001463	0.014935	0.046299	0.080922	0.104215	0.112466	0.108849	0.182801	0.240585	0.074781	0.022251	0.006889	0.003051	0.000487
2020s	0-499	3A	0.000000	0.000137	0.002750	0.013047	0.031193	0.051557	0.068525	0.079350	0.166947	0.321668	0.155491	0.064546	0.026050	0.015129	0.003610
2020s	0-499	3B	0.000427	0.089180	0.910393	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
2020s	0-499	3C	0.000197	0.073664	0.926138	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
2020s	0-499	4A	0.000000	0.041457	0.958543	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
2020s	0-499	4B	0.000005	0.001176	0.012824	0.041487	0.074817	0.098776	0.108823	0.107216	0.184100	0.251536	0.081788	0.025182	0.008013	0.003648	0.000607
2020s	0-499	4C	0.000000	0.046679	0.953321	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
2020s	0-499	5A	0.000001	0.000444	0.006502	0.025220	0.051861	0.075952	0.091228	0.096819	0.182477	0.291814	0.114176	0.040406	0.014358	0.007310	0.001432
2020s	0-499	5B	0.000005	0.001176	0.012824	0.041487	0.074817	0.098776	0.108823	0.107216	0.184100	0.251536	0.081788	0.025182	0.008013	0.003648	0.000607
2020s	0-499	6A	0.000004	0.001094	0.012215	0.040071	0.072973	0.097082	0.107642	0.106638	0.184375	0.254865	0.084026	0.026138	0.008384	0.003847	0.000647
2020s	0-499	6B	0.000003	0.000929	0.010985	0.037181	0.069159	0.093514	0.105083	0.105308	0.184721	0.261693	0.088864	0.028270	0.009231	0.004314	0.000745
2020s	0-499	7A	0.000004	0.001094	0.012215	0.040071	0.072973	0.097082	0.107642	0.106638	0.184375	0.254865	0.084026	0.026138	0.008384	0.003847	0.000647
2020s	0-499	7B	0.000003	0.000929	0.010985	0.037181	0.069159	0.093514	0.105083	0.105308	0.184721	0.261693	0.088864	0.028270	0.009231	0.004314	0.000745
2020s	1000-1499	1A	0.000000	0.002302	0.051843	0.266789	0.679066	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
