RBSA,BEopt
<R19,NaN
>R13,"Wood Stud, R-19"
>R23,"Wood Stud, R-36"
>R30,"Wood Stud, R-36"
R0,"Wood Stud, Uninsulated"
R11,"Wood Stud, R-13"
R13,"Wood Stud, R-13"
R14-R20,"Wood Stud, R-19"
R19-R30,"Wood Stud, R-19"
R1-R13,"Wood Stud, R-7"
R21-R23,"Wood Stud, R-19"
R2-R7,"Wood Stud, R-7"
