Dependency=Location Region	Dependency=Federal Poverty Level	thm_nrm	Count	Weight	thm_nrm_per_home	thm_nrm_total
CR01	0-50	462.28	1	11795.05168	462.28	5452616.49063
CR01	50-100	0.0	1	9007.728757	0.0	0.0
CR01	150-200	25.63	3	34336.856964	8.54333333333	293351.214662
CR01	200-250	1492.4	1	7136.882777	1492.4	10651083.8564
CR01	250-300	0.0	1	13046.40491	0.0	0.0
CR01	300+	32027.18	20	174417.414229	1601.359	279304896.032
CR02	0-50	14094.8	14	89383.130156	1006.77142857	89988381.6373
CR02	50-100	16389.79	22	153438.439024	744.990454545	114310172.433
CR02	100-150	24836.87	40	259554.663779	620.92175	161163136.054
CR02	150-200	26005.36	57	354243.426548	456.234385965	161618032.193
CR02	200-250	34498.53	48	279103.303916	718.719375	200596952.151
CR02	250-300	56698.03	99	644497.607567	572.707373737	369108532.21
CR02	300+	299880.88	408	2540398.81228	735.002156863	1867198606.32
CR03	0-50	2015.16	8	42004.550465	251.895	10580736.2394
CR03	50-100	5245.97	8	49810.802186	655.74625	32663246.743
CR03	100-150	8601.83	18	113734.891073	477.879444444	54351566.5599
CR03	150-200	10294.1	46	265735.214586	223.784782609	59467497.2276
CR03	200-250	9380.82	24	131590.398066	390.8675	51434409.9161
CR03	250-300	11588.7	47	297621.017114	246.568085106	73383844.2772
CR03	300+	135926.64	384	2188621.06278	353.975625	774718508.587
CR04	0-50	21916.6	31	476504.65642	706.987096774	336882643.642
CR04	50-100	38398.65	46	670913.300309	834.75326087	560047065.194
CR04	100-150	45124.72	57	970235.272717	791.661754386	768098158.166
CR04	150-200	50888.29	51	794217.56397	997.809607843	792477916.047
CR04	200-250	48902.87	60	957492.32415	815.047833333	780402044.232
CR04	250-300	62289.4	77	1235428.87999	808.953246753	999404203.601
CR04	300+	313349.33	344	5597949.80379	910.899215116	5099168082.53
CR05	0-50	1071.13	3	84160.81407	357.043333333	30049057.5916
CR05	50-100	7598.33	10	145586.152011	759.833	110621162.641
CR05	100-150	10470.4	16	187248.433866	654.4	122535375.122
CR05	150-200	18846.72	26	352061.643028	724.873846154	255200277.265
CR05	200-250	28795.4	35	321089.319676	822.725714286	264168439.88
CR05	250-300	23903.08	33	331332.081518	724.335757576	239995674.275
CR05	300+	151747.49	180	1394305.48412	843.041611111	1175457541.71
CR06	0-50	1542.63	6	74989.726375	257.105	19280233.5996
CR06	50-100	1537.51	11	106080.704403	139.773636364	14827285.8024
CR06	100-150	11592.76	27	272233.19077	429.361481481	116886446.097
CR06	150-200	6632.8	17	165743.209235	390.164705882	64667150.4832
CR06	200-250	1253.58	12	109692.566103	104.465	11459033.9179
CR06	250-300	4332.7	16	176083.940704	270.79375	47682430.618
CR06	300+	62305.91	137	1424904.53863	454.787664234	648029006.878
CR07	0-50	11777.29	23	244506.806721	512.056086957	125201198.684
CR07	50-100	14770.29	18	190197.607696	820.571666667	156070767.943
CR07	100-150	23368.03	36	391620.039414	649.111944444	254205245.267
CR07	150-200	28803.61	54	630566.18926	533.400185185	336344122.123
CR07	200-250	39106.94	52	654380.966605	752.056538462	492131484.58
CR07	250-300	31875.53	65	853550.587414	490.392769231	418575036.241
CR07	300+	309467.67	406	4799086.22645	762.235640394	3658034563.12
CR08	0-50	11812.13	35	235423.716663	337.489428571	79453015.6088
CR08	50-100	22635.15	62	460809.8852	365.083064516	168233885.048
CR08	100-150	35969.41	87	702388.648732	413.441494253	290396612.478
CR08	150-200	68578.84	139	896892.351636	493.37294964	442502425.036
CR08	200-250	59185.75	117	780063.489792	505.861111111	394603783.683
CR08	250-300	75813.34	171	1143533.79673	443.352865497	506988985.572
CR08	300+	372482.04	695	5011381.11664	535.945381295	2685826563.37
CR09	0-50	29382.8	117	1187811.91906	251.135042735	298301197.054
CR09	50-100	32730.48	150	1626925.76777	218.2032	355000408.69
CR09	100-150	48897.85	188	1973720.44477	260.094946809	513354714.098
CR09	150-200	44788.62	205	1975291.39484	218.481073171	431563783.769
CR09	200-250	48613.94	204	2078007.3904	238.303627451	495196699.002
CR09	250-300	58003.97	268	2665127.52623	216.432723881	576820809.991
CR09	300+	296728.55	1046	9816111.86095	283.679302103	2784627762.08
CR10	0-50	2958.17	7	88426.701131	422.595714286	37368744.9264
CR10	50-100	5519.66	14	156117.246982	394.261428571	61551008.8198
CR10	100-150	4397.28	20	240658.382569	219.864	52912114.6252
CR10	150-200	4400.37	15	162469.298427	293.358	47661668.4479
CR10	200-250	10756.4	27	300697.217147	398.385185185	119793316.538
CR10	250-300	8708.45	24	293187.185005	362.852083333	106383580.886
CR10	300+	42470.1	136	1457215.29012	312.280147059	455059405.096
CR11	0-50	13256.41	37	274159.669478	358.281351351	98226296.8666
CR11	50-100	22625.98	51	367335.979079	443.646666667	162967382.665
CR11	100-150	39646.19	90	660878.79254	440.513222222	291125846.4
CR11	150-200	27110.32	61	442855.8934	444.43147541	196819098.098
CR11	200-250	34805.06	76	581772.04177	457.961315789	266429089.739
CR11	250-300	40793.16	96	734109.510997	424.92875	311944236.871
CR11	300+	254581.46	533	3997101.86454	477.638761726	1909170785.07
CR12	0-50	440.76	2	17184.305234	220.38	3787077.18747
CR12	50-100	0.0	1	7951.519832	0.0	0.0
CR12	100-150	0.0	2	15903.042628	0.0	0.0
CR12	150-200	0.0	3	16694.529058	0.0	0.0
CR12	200-250	0.0	3	23854.561252	0.0	0.0
CR12	250-300	0.0	3	19718.151179	0.0	0.0
CR12	300+	1053.71	19	152283.013549	55.4584210526	8445375.48456
