Dependency=Vintage	kwh_nrm	Count	Weight	kwh_nrm_per_home	kwh_nrm_total
<1950	14750583.5287	1345	12631149.2417	10966.9766013	1.38525518181e+11
1950s	11785565.9437	1120	10340938.3011	10522.8267355	1.08815902025e+11
1960s	11335498.2415	947	8691508.30756	11969.9031061	1.04036512288e+11
1970s	15625398.007	1136	9790297.96668	13754.7517668	1.34663118254e+11
1980s	14104939.9179	997	9219210.51288	14147.3820641	1.30427693455e+11
1990s	16901026.6706	1102	10357084.7137	15336.684819	1.58843343898e+11
2000s	17946304.2204	1156	10805514.15	15524.4846197	1.6775003823e+11
