Dependency=Location Region	Dependency=Heating Fuel	kwh_nrm	Count	Weight	kwh_nrm_per_home	kwh_nrm_total
CR01	Electricity	108694.021102	4	52694.766164	27173.5052755	1431901506.35
CR01	Fuel Oil	37657.0926143	1	14891.60475	37657.0926143	560774539.246
CR01	Natural Gas	185232.708089	19	147053.429826	9749.08989943	1433637107.39
CR01	Other Fuel	44265.8264947	3	35100.538577	14755.2754982	517918116.84
CR02	Electricity	1432572.97773	68	373228.347509	21067.2496724	7862894781.8
CR02	Fuel Oil	458238.276671	31	214110.467817	14781.8798926	3164955219.02
CR02	Natural Gas	4557140.67995	467	2786429.94395	9758.33122046	27190906315.7
CR02	Other Fuel	346546.307151	29	221603.254188	11949.8726604	2648130668.67
CR02	Propane/LPG	1306310.37515	93	725247.369805	14046.3481199	10187077029.3
CR03	Electricity	350487.104338	21	104325.613376	16689.8621113	1741180101.92
CR03	Fuel Oil	2886147.71395	310	1820785.22731	9310.15391597	16951790714.2
CR03	Natural Gas	1228626.90504	144	751183.783325	8532.13128501	6409198658.5
CR03	Other Fuel	516987.104338	49	323494.789371	10550.7572314	3413114988.27
CR03	Propane/LPG	101538.98007	11	89328.522891	9230.81637003	824575191.413
CR04	Electricity	1597783.11841	76	1210257.38505	21023.4620843	25443800246.8
CR04	Fuel Oil	163695.486518	13	212364.48764	12591.9605014	2674085240.26
CR04	Natural Gas	5231410.60961	524	8218715.99743	9983.60803361	82052439057.9
CR04	None	14121.922626	2	34488.78435	7060.96131301	243523972.028
CR04	Other Fuel	235285.756155	16	267432.81382	14705.3597597	3932695738.76
CR04	Propane/LPG	504228.604924	35	759482.33306	14406.5315693	10941506207.5
CR05	Electricity	420011.723329	30	354810.017687	14000.3907776	4967478899.44
CR05	Natural Gas	2320440.21102	242	2119318.44473	9588.59591331	20321288178.1
CR05	None	5966.88159437	1	16134.27176	5966.88159437	96271289.2034
CR05	Other Fuel	157183.177022	9	90755.927745	17464.7974469	1585033895.17
CR05	Propane/LPG	222461.606096	21	234765.266365	10593.4098141	2486964676.72
CR06	Electricity	1665959.26143	90	910199.428031	18510.6584603	16848390743.1
CR06	Fuel Oil	123852.286049	8	71975.440017	15481.5357562	1114290348.19
CR06	Natural Gas	1234790.1524	104	1129100.37941	11872.9822346	13405788745.8
CR06	Other Fuel	282328.253224	19	169633.001159	14859.3817486	2520641521.39
CR06	Propane/LPG	70121.922626	5	48819.627606	14024.3845252	684665229.924
CR07	Electricity	775977.432591	50	672922.189163	15519.5486518	10443448653.6
CR07	Fuel Oil	1647523.44666	158	1762908.65924	10427.3635864	18382489559.6
CR07	Natural Gas	3581618.40563	394	4507682.30235	9090.40204474	40976644418.3
CR07	Other Fuel	365192.262603	31	396842.140387	11780.3955678	4674957391.74
CR07	Propane/LPG	268769.636577	21	423553.13242	12798.5541227	5420867689.12
CR08	Electricity	8866400.3517	441	3453372.5778	20105.216217	69430802354.5
CR08	Fuel Oil	424665.005862	33	448372.246698	12868.6365413	5769939477.95
CR08	Natural Gas	8470465.70926	684	4190940.14981	12383.7217972	51899436883.8
CR08	Other Fuel	792587.631887	64	510345.032482	12384.1817482	6320205636.57
CR08	Propane/LPG	1161911.19578	84	627462.998601	13832.2761402	8679241464.43
CR09	Electricity	22294939.9179	1209	11010872.9689	18440.8105194	2.03049422073e+11
CR09	Fuel Oil	78061.2543962	6	90229.62402	13010.209066	1173906272.45
CR09	Natural Gas	11204421.4537	787	8175791.39988	14236.876053	1.16397728795e+11
CR09	None	745260.257913	53	396096.523567	14061.5143002	5569716930.42
CR09	Other Fuel	476216.295428	33	455633.267561	14430.7968311	6575151113.69
CR09	Propane/LPG	1394878.66354	90	1194372.52008	15498.6518171	18511163828.7
CR10	Electricity	1692842.02814	84	860809.118144	20152.8812873	17347783969.0
CR10	Fuel Oil	31648.007034	3	26365.4439	10549.335678	278137918.001
CR10	Natural Gas	1600356.97538	135	1536425.17163	11854.4961139	18213546226.4
CR10	None	31985.3458382	4	46998.05506	7996.33645955	375812261.204
CR10	Other Fuel	76274.0328253	8	99669.823622	9534.25410317	950277424.83
CR10	Propane/LPG	110412.661196	9	128503.709032	12268.0734662	1576492943.08
CR11	Electricity	1552094.66589	145	997213.648292	10704.101144	10674275753.5
CR11	Fuel Oil	14570.926143	2	15223.43339	7285.46307151	110909761.784
CR11	Natural Gas	5340976.84642	637	4903785.7308	8384.57903677	41116179039.3
CR11	None	661830.59789	89	641431.198861	7436.29885269	4769874088.17
CR11	Other Fuel	388400.644783	43	298957.041346	9032.57313449	2700351340.03
CR11	Propane/LPG	290345.545135	28	201602.699113	10369.4837548	2090515913.38
CR12	Natural Gas	14852.8722157	1	12789.88236	14852.8722157	189966488.347
CR12	None	283749.413834	32	240799.240372	8867.1691823	2135207603.35
