Dependency=Location Region	Dependency=Vintage	kwh_nrm	Count	Weight	kwh_nrm_per_home	kwh_nrm_total
CR01	<1950	3568.87456038	1	9007.728757	3568.87456038	32147454.0076
CR01	1950s	39125.7327081	3	32631.672774	13041.9109027	425579368.924
CR01	1960s	28860.1992966	2	14273.766876	14430.0996483	205971878.377
CR01	1970s	81339.0973036	6	55375.822	13556.5162173	750703228.988
CR01	1980s	68567.7022274	5	47503.457637	13713.5404455	651440587.605
CR01	1990s	40455.7444314	4	28547.533246	10113.9361079	288727927.287
CR01	2000s	113932.297773	6	62400.358027	18988.7162954	1184902695.31
CR02	<1950	2132970.39859	176	1134613.30617	12119.149992	13750548840.4
CR02	1950s	1036095.83822	100	650287.622969	10360.9583822	6737602998.03
CR02	1960s	704398.300117	71	457502.445939	9921.10281855	4538928805.9
CR02	1970s	1323756.44783	106	650638.983355	12488.2683758	8125354239.87
CR02	1980s	905774.325909	78	474232.633458	11612.4913578	5507022357.62
CR02	1990s	1004473.62251	82	498247.54494	12249.6783233	6103372150.88
CR02	2000s	993339.68347	75	455096.846444	13244.5291129	6027543431.93
CR03	<1950	1411054.51348	170	937366.234335	8300.32066754	7780440327.91
CR03	1950s	832038.393904	98	561211.587386	8490.1876929	4764791712.34
CR03	1960s	526761.723329	57	323759.690159	9241.43374262	2992003725.14
CR03	1970s	677541.031653	59	365100.395655	11483.7462992	4192720317.44
CR03	1980s	659822.977726	58	355737.522029	11376.2582366	4046961915.07
CR03	1990s	479497.948417	46	265373.503345	10423.8684439	2766218487.35
CR03	2000s	497071.219226	47	280569.003365	10575.9833878	2967293118.72
CR04	<1950	2266238.56975	201	3175912.2546	11274.818755	35807835052.4
CR04	1950s	1070016.70574	119	1885874.16873	8991.73702306	16957284583.8
CR04	1960s	969244.431419	85	1355079.13377	11402.8756637	15451798876.9
CR04	1970s	1004880.12896	73	1169051.06422	13765.4812186	16092550468.1
CR04	1980s	704438.452521	56	941210.55709	12579.2580807	11839730505.9
CR04	1990s	887121.922626	71	1144781.83261	12494.6749666	14303676906.1
CR04	2000s	844585.287222	61	1030832.79033	13845.6604463	14272560791.7
CR05	<1950	264465.416178	32	403337.840893	8264.54425557	3333403436.01
CR05	1950s	262641.852286	26	292676.927279	10101.6097033	2956508088.54
CR05	1960s	120927.315358	15	135881.628159	8061.82102384	1095453366.65
CR05	1970s	915299.531067	86	573854.063213	10643.0178031	6107539011.16
CR05	1980s	541699.589683	51	526527.040664	10621.560582	5592538860.49
CR05	1990s	539802.754982	51	492764.419	10584.3677448	5215599822.23
CR05	2000s	481227.139508	42	390742.00908	11457.7890359	4477039507.5
CR06	<1950	448652.403283	36	377497.407043	12462.5667578	4704586636.19
CR06	1950s	357905.041032	22	227709.555447	16268.410956	3704472626.62
CR06	1960s	583015.240328	35	363527.406815	16657.5782951	6055486241.43
CR06	1970s	325002.930832	20	198694.588124	16250.1465416	3228816174.04
CR06	1980s	421516.705744	31	305551.552755	13597.3130885	4154680127.5
CR06	1990s	635584.701055	39	417114.294944	16297.0436168	6797729857.89
CR06	2000s	605374.853458	43	439633.07109	14078.4849641	6189367581.08
CR07	<1950	1467115.76788	172	1883019.32456	8529.7428365	16061670594.7
CR07	1950s	1410139.8007	159	1848701.76982	8868.80377801	16395773240.6
CR07	1960s	991115.767878	98	1093304.73334	10113.4262028	11057056737.9
CR07	1970s	771463.071512	70	910003.095476	11020.9010216	10029054044.6
CR07	1980s	608175.263775	53	695937.279619	11475.0049769	7985883747.23
CR07	1990s	659776.670574	47	563774.054984	14037.8015016	7914148275.61
CR07	2000s	731294.841735	55	769168.165752	13296.2698497	10227067491.7
CR08	<1950	2939911.78195	225	1605088.65101	13066.2745864	20972529049.6
