Dependency=Heating Fuel	kwh_nrm	Count	Weight	kwh_nrm_per_home	kwh_nrm_total
Electricity	40757762.6026	2218	20000706.0601	18375.9073952	3.675311224e+11
Fuel Oil	5866059.4959	565	4677226.63479	10382.4061874	48560866753.0
Natural Gas	44970333.5287	4138	38479216.6155	10867.6494753	4.18178638261e+11
None	1742914.4197	181	1375948.07397	9629.36143478	13249501319.7
Other Fuel	3681267.29191	304	2869467.63026	12109.4318813	34747622804.2
Propane/LPG	5430979.19109	397	4433138.17897	13680.0483403	60645544587.5
