Dependency=Location Region	thm_nrm	Count	Weight	thm_nrm_per_home	thm_nrm_total
CR01	34007.49	27	249740.339317	1259.53666667	314557114.516
CR02	472404.26	688	4320619.38327	686.634098837	2966684596.65
CR03	183053.22	535	3089117.93627	342.155551402	1056958850.83
CR04	580869.86	666	10702741.8013	872.176966967	9334684882.53
CR05	242432.55	303	2815783.92829	800.107425743	2252929630.31
CR06	89197.89	226	2329727.87622	394.680929204	919499162.977
CR07	459169.36	654	7763908.42356	702.09382263	5450992143.65
CR08	646476.66	1306	9230493.00539	495.005099541	4569141108.94
CR09	559146.21	2178	21322996.304	256.724614325	5474138002.4
CR10	79210.43	243	2698771.32138	325.968847737	879715377.936
CR11	432818.58	944	7058213.7518	458.494258475	3236150480.29
CR12	1494.47	33	253589.122732	45.286969697	11484282.9166
