Dependency=Vintage	Option=1940-59	Option=1960-79	Option=1980-99	Option=2000-09	Option=2010s	Option=<1940	source_count	source_weight	sampling_probability
1940s	1	0	0	0	0	0	325726	5.962e+06	0.050578
1950s	1	0	0	0	0	0	682471	1.26667e+07	0.106645
1960s	0	1	0	0	0	0	671959	1.27897e+07	0.107911
1970s	0	1	0	0	0	0	940838	1.81629e+07	0.154096
1980s	0	0	1	0	0	0	809675	1.59116e+07	0.13509
1990s	0	0	1	0	0	0	844261	1.67558e+07	0.141844
2000s	0	0	0	1	0	0	818282	1.70986e+07	0.144585
2010s	0	0	0	0	1	0	175635	3.92486e+06	0.0328613
<1940	0	0	0	0	0	1	828523	1.48457e+07	0.126392
# Created by: sources\pums\tsv_maker.py
# Source: Constructed using 5-yr 2017 Public Use Microdata Samples (PUMS).IPUMS USA, University of Minnesota, www.ipums.org.
