Dependency=Location Region	Dependency=Water Heater Fuel	Option=Electric Heat Pump, 50 gal, 3.45 UEF	Option=Electric Heat Pump, 66 gal, 3.35 UEF	Option=Electric Heat Pump, 80 gal	Option=Electric Heat Pump, 80 gal, 3.45 UEF	Option=Electric Premium	Option=Electric Standard	Option=Electric Tankless	Option=FIXME Fuel Oil Indirect	Option=Fuel Oil Premium	Option=Fuel Oil Standard	Option=Natural Gas Premium	Option=Natural Gas Standard	Option=Natural Gas Tankless	Option=Other Fuel	Option=Propane Premium	Option=Propane Standard	Option=Propane Tankless	source_count	source_weight	sampling_probability
CR02	Electricity	0	0	0.005	0	0.173572	0.815227	0.00620061	0	0	0	0	0	0	0	0	0	0	303	2.09374e+06	0.0188618
CR02	Fuel Oil	0	0	0	0	0	0	0	0.0931697	0.14622	0.76061	0	0	0	0	0	0	0	8	8604.55	0.00011733
CR02	Natural Gas	0	0	0	0	0	0	0	0	0	0	0.14138	0.843636	0.0149845	0	0	0	0	576	3.59886e+06	0.0306832
CR02	Other Fuel	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	30	26432.3	5.7132e-05
CR02	Propane	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0328798	0.955894	0.0112266	58	456234	0.0037357
CR03	Electricity	0	0	0.005	0	0.169862	0.807425	0.0177121	0	0	0	0	0	0	0	0	0	0	239	1.40648e+06	0.0140512
CR03	Fuel Oil	0	0	0	0	0	0	0	0.318978	0.0881974	0.592825	0	0	0	0	0	0	0	261	1.54833e+06	0.0111813
CR03	Natural Gas	0	0	0	0	0	0	0	0	0	0	0.1022	0.864946	0.0328541	0	0	0	0	412	2.3188e+06	0.0202699
CR03	Other Fuel	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	30	26432.3	7.54468e-05
CR03	Propane	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.184197	0.712908	0.102895	30	217304	0.00297331
CR04	Electricity	0	0	0.005	0	0.0984613	0.874279	0.0222596	0	0	0	0	0	0	0	0	0	0	231	4.09371e+06	0.03797
CR04	Fuel Oil	0	0	0	0	0	0	0	0.0931697	0.14622	0.76061	0	0	0	0	0	0	0	8	8604.55	0.000185939
