grid_gid,nsrdb_gid_old,nsrdb_gid_new,egrid_subregion,state_name,county_name,wecc_ba,census_region
115027,1555,4434,,,,,
112454,1875,4782,,,,,
1109642,71949,79933,,,,,
728260,40,2614,,,,,
730427,41,2615,,,,,
732583,42,2616,,,,,
734979,335,2967,,,,,
734876,628,3317,,,,,
735014,921,3667,,,,,
736732,1216,4018,,,,,
736435,1526,4368,,,,,
736662,1839,4718,,,,,
738965,1840,4719,,,,,
740822,1841,4720,,,,,
743050,1842,4721,,,,,
744265,1843,4722,,,,,
747205,2166,5073,,,,,
748559,2167,5074,,,,,
751271,2168,5075,,,,,
753045,2169,5076,,,,,
760555,2173,5080,,,,,
763511,2174,5081,,,,,
765241,2175,5082,,,,,
767516,2176,5083,,,,,
769180,2177,5084,,,,,
771193,2178,5085,,,,,
112204,2205,5132,,,,,
755399,2500,5427,,,,,
756809,2501,5428,,,,,
759078,2502,5429,,,,,
760574,2503,5430,,,,,
775356,2510,5437,,,,,
777304,2511,5438,,,,,
777471,2850,5788,,,,,
779514,2851,5789,,,,,
781228,2852,5790,,,,,
781726,3201,6140,,,,,
784223,3202,6141,,,,,
785306,3203,6142,,,,,
788353,3204,6143,,,,,
789547,3205,6144,,,,,
783750,3552,6491,,,,,
792390,3556,6495,,,,,
793780,3557,6496,,,,,
796791,3558,6497,,,,,
811830,3565,6504,,,,,
814602,3566,6505,,,,,
816409,3567,6506,,,,,
798537,3909,6848,,,,,
801099,3910,6849,,,,,
807119,3913,6852,,,,,
809803,3914,6853,,,,,
818733,3918,6857,,,,,
820963,3919,6858,,,,,
824178,3920,6859,,,,,
825401,3921,6860,,,,,
828139,3922,6861,,,,,
830202,3923,6862,,,,,
833599,3924,6863,,,,,
835089,3925,6864,,,,,
837668,4276,7215,,,,,
839745,4277,7216,,,,,
842170,4278,7217,,,,,
844679,4279,7218,,,,,
847441,4280,7219,,,,,
849366,4281,7220,,,,,
1385828,6586,10030,,,,,
1389626,6587,10031,,,,,
1392313,6588,10032,,,,,
1383107,6985,10496,,,,,
1413631,6995,10506,,,,,
1416552,6996,10507,,,,,
1419719,6997,10508,,,,,
1378591,7385,10964,,,,,
1395067,7390,10969,,,,,
1398561,7391,10970,,,,,
1401302,7392,10971,,,,,
1403829,7393,10972,,,,,
1425809,7400,10979,,,,,
1376774,7785,11433,,,,,
1428484,7802,11450,,,,,
1372265,8197,11904,,,,,
1432602,8216,11923,,,,,
1370189,8622,12381,,,,,
1432586,8642,12401,,,,,
1365521,9058,12860,,,,,
1432011,9079,12881,,,,,
1363918,9498,13340,,,,,
1432012,9520,13362,,,,,
1359428,9938,13822,,,,,
1432451,9961,13845,,,,,
958088,10367,14266,,,,,
959407,10368,14267,,,,,
961946,10369,14268,,,,,
1359682,10379,14309,,,,,
1432459,10402,14332,,,,,
1357287,10820,14809,,,,,
1359901,10821,14810,,,,,
1432479,10844,14833,,,,,
1353364,11266,15327,,,,,
1356249,11267,15328,,,,,
1432472,11291,15352,,,,,
1353259,11715,15851,,,,,
1431542,11740,15876,,,,,
971240,12152,16305,,,,,
972840,12153,16306,,,,,
1431507,12190,16404,,,,,
977294,12605,16836,,,,,
1350006,12614,16907,,,,,
1432627,12640,16933,,,,,
976660,13055,17365,,,,,
1349522,13065,17438,,,,,
1432494,13091,17464,,,,,
1432493,13543,17997,,,,,
1346045,13969,18504,,,,,
1432623,13996,18531,,,,,
1339496,14422,19038,,,,,
1433821,14452,19068,,,,,
1337244,15344,20114,,,,,
1440757,15377,20147,,,,,
1320218,15817,20649,,,,,
1327454,15819,20651,,,,,
1331007,15820,20652,,,,,
1333806,15821,20653,,,,,
1313161,16316,21187,,,,,
1323714,16319,21190,,,,,
1333607,16322,21193,,,,,
1440478,16356,21227,,,,,
1313761,16821,21727,,,,,
1443876,16862,21768,,,,,
1449010,16864,21770,,,,,
1204590,17295,22234,,,,,
1208092,17296,22235,,,,,
1233353,17304,22243,,,,,
1235795,17305,22244,,,,,
1240332,17306,22245,,,,,
1241995,17307,22246,,,,,
1246289,17308,22247,,,,,
1249181,17309,22248,,,,,
1253095,17310,22249,,,,,
1254884,17311,22250,,,,,
1258781,17312,22251,,,,,
1261410,17313,22252,,,,,
1266186,17314,22253,,,,,
1267647,17315,22254,,,,,
1272291,17316,22255,,,,,
1274532,17317,22256,,,,,
1278511,17318,22257,,,,,
1280996,17319,22258,,,,,
1284622,17320,22259,,,,,
1286977,17321,22260,,,,,
1291586,17322,22261,,,,,
1294457,17323,22262,,,,,
1297868,17324,22263,,,,,
1300951,17325,22264,,,,,
1304803,17326,22265,,,,,
1306615,17327,22266,,,,,
1311701,17328,22267,,,,,
