GEO.id,GEO.id2,GEO.display-label,HC01_VC03,HC03_VC03,HC01_VC04,HC03_VC04,HC01_VC05,HC03_VC05,HC01_VC08,HC01_VC13,HC01_VC14,HC03_VC14,HC01_VC15,HC03_VC15,HC01_VC16,HC03_VC16,HC01_VC17,HC03_VC17,HC01_VC18,HC03_VC18,HC01_VC19,HC03_VC19,HC01_VC20,HC03_VC20,HC01_VC21,HC03_VC21,HC01_VC22,HC03_VC22
Id,Id2,Geography,Estimate; HOUSING OCCUPANCY - Total housing units,Percent; HOUSING OCCUPANCY - Total housing units,Estimate; HOUSING OCCUPANCY - Total housing units - Occupied housing units,Percent; HOUSING OCCUPANCY - Total housing units - Occupied housing units,Estimate; HOUSING OCCUPANCY - Total housing units - Vacant housing units,Percent; HOUSING OCCUPANCY - Total housing units - Vacant housing units,Estimate; HOUSING OCCUPANCY - Homeowner vacancy rate,Estimate; UNITS IN STRUCTURE - Total housing units,"Estimate; UNITS IN STRUCTURE - Total housing units - 1-unit, detached","Percent; UNITS IN STRUCTURE - Total housing units - 1-unit, detached","Estimate; UNITS IN STRUCTURE - Total housing units - 1-unit, attached","Percent; UNITS IN STRUCTURE - Total housing units - 1-unit, attached",Estimate; UNITS IN STRUCTURE - Total housing units - 2 units,Percent; UNITS IN STRUCTURE - Total housing units - 2 units,Estimate; UNITS IN STRUCTURE - Total housing units - 3 or 4 units,Percent; UNITS IN STRUCTURE - Total housing units - 3 or 4 units,Estimate; UNITS IN STRUCTURE - Total housing units - 5 to 9 units,Percent; UNITS IN STRUCTURE - Total housing units - 5 to 9 units,Estimate; UNITS IN STRUCTURE - Total housing units - 10 to 19 units,Percent; UNITS IN STRUCTURE - Total housing units - 10 to 19 units,Estimate; UNITS IN STRUCTURE - Total housing units - 20 or more units,Percent; UNITS IN STRUCTURE - Total housing units - 20 or more units,Estimate; UNITS IN STRUCTURE - Total housing units - Mobile home,Percent; UNITS IN STRUCTURE - Total housing units - Mobile home,"Estimate; UNITS IN STRUCTURE - Total housing units - Boat, RV, van, etc.","Percent; UNITS IN STRUCTURE - Total housing units - Boat, RV, van, etc."
0300000US1,1,New England Division,6436489,6436489,5634178,87.5,802311,12.5,1.6,6436489,3720547,57.8,302114,4.7,552821,8.6,597906,9.3,344804,5.4,230024,3.6,523613,8.1,163050,2.5,1610,0
0300000US2,2,Middle Atlantic Division,17303840,17303840,15401762,89,1902078,11,1.7,17303840,8519096,49.2,1757550,10.2,1466533,8.5,1063420,6.1,787388,4.6,656431,3.8,2588224,15,459361,2.7,5837,0
0300000US3,3,East North Central Division,20414544,20414544,17961961,88,2452583,12,2.1,20414544,13682149,67,971938,4.8,893223,4.4,905436,4.4,1023418,5,780995,3.8,1329450,6.5,823257,4,4678,0
0300000US4,4,West North Central Division,9182698,9182698,8172196,89,1010502,11,1.8,9182698,6437259,70.1,437495,4.8,241387,2.6,307959,3.4,313613,3.4,343847,3.7,636302,6.9,461272,5,3564,0
0300000US5,5,South Atlantic Division,27110259,27110259,22842940,84.3,4267319,15.7,2.5,27110259,16093799,59.4,1982486,7.3,561356,2.1,857876,3.2,1299302,4.8,1453870,5.4,2282145,8.4,2560137,9.4,19288,0.1
0300000US6,6,East South Central Division,8253410,8253410,7124385,86.3,1129025,13.7,2.2,8253410,5647503,68.4,187256,2.3,220026,2.7,269623,3.3,371944,4.5,265252,3.2,282529,3.4,1002553,12.1,6724,0.1
0300000US7,7,West South Central Division,15185245,15185245,13315063,87.7,1870182,12.3,2,15185245,10102303,66.5,390545,2.6,350453,2.3,496238,3.3,663482,4.4,802052,5.3,1000992,6.6,1355888,8.9,23292,0.2
0300000US8,8,Mountain Division,9632769,9632769,8270966,85.9,1361803,14.1,2.4,9632769,6217008,64.5,488714,5.1,186158,1.9,389738,4,432112,4.5,445795,4.6,653495,6.8,802147,8.3,17602,0.2
0300000US9,9,Pacific Division,19221779,19221779,17487641,91,1734138,9,1.7,19221779,11420409,59.4,1207695,6.3,504201,2.6,992532,5.2,1105534,5.8,971917,5.1,2113803,11,879331,4.6,26357,0.1
