GEO.id,GEO.id2,GEO.display-label,HC01_VC03,HC03_VC03,HC01_VC04,HC03_VC04,HC01_VC05,HC03_VC05,HC01_VC07,HC03_VC07,HC01_VC08,HC03_VC08,HC01_VC12,HC03_VC12,HC01_VC13,HC03_VC13,HC01_VC14,HC03_VC14,HC01_VC15,HC03_VC15,HC01_VC16,HC03_VC16,HC01_VC17,HC03_VC17,HC01_VC18,HC03_VC18,HC01_VC19,HC03_VC19,HC01_VC20,HC03_VC20,HC01_VC21,HC03_VC21
Id,Id2,Geography,Estimate; HOUSING OCCUPANCY - Total housing units,Percent; HOUSING OCCUPANCY - Total housing units,Estimate; HOUSING OCCUPANCY - Occupied housing units,Percent; HOUSING OCCUPANCY - Occupied housing units,Estimate; HOUSING OCCUPANCY - Vacant housing units,Percent; HOUSING OCCUPANCY - Vacant housing units,Estimate; HOUSING OCCUPANCY - Homeowner vacancy rate,Percent; HOUSING OCCUPANCY - Homeowner vacancy rate,Estimate; HOUSING OCCUPANCY - Rental vacancy rate,Percent; HOUSING OCCUPANCY - Rental vacancy rate,Estimate; UNITS IN STRUCTURE - Total housing units,Percent; UNITS IN STRUCTURE - Total housing units,"Estimate; UNITS IN STRUCTURE - 1-unit, detached","Percent; UNITS IN STRUCTURE - 1-unit, detached","Estimate; UNITS IN STRUCTURE - 1-unit, attached","Percent; UNITS IN STRUCTURE - 1-unit, attached",Estimate; UNITS IN STRUCTURE - 2 units,Percent; UNITS IN STRUCTURE - 2 units,Estimate; UNITS IN STRUCTURE - 3 or 4 units,Percent; UNITS IN STRUCTURE - 3 or 4 units,Estimate; UNITS IN STRUCTURE - 5 to 9 units,Percent; UNITS IN STRUCTURE - 5 to 9 units,Estimate; UNITS IN STRUCTURE - 10 to 19 units,Percent; UNITS IN STRUCTURE - 10 to 19 units,Estimate; UNITS IN STRUCTURE - 20 or more units,Percent; UNITS IN STRUCTURE - 20 or more units,Estimate; UNITS IN STRUCTURE - Mobile home,Percent; UNITS IN STRUCTURE - Mobile home,"Estimate; UNITS IN STRUCTURE - Boat, RV, van, etc.","Percent; UNITS IN STRUCTURE - Boat, RV, van, etc."
0300000US1,1,New England Division,6409663,6409663,5623400,87.7,786263,12.3,1.6,(X),6,(X),6409663,6409663,3710778,57.9,294424,4.6,559018,8.7,593243,9.3,348466,5.4,229511,3.6,509615,8,163350,2.5,1258,0
0300000US2,2,Middle Atlantic Division,17221919,17221919,15377407,89.3,1844512,10.7,1.8,(X),5.4,(X),17221919,17221919,8502543,49.4,1734525,10.1,1468828,8.5,1063691,6.2,791204,4.6,653102,3.8,2537871,14.7,464639,2.7,5516,0
0300000US3,3,East North Central Division,20367718,20367718,17914100,88,2453618,12,2.4,(X),7.8,(X),20367718,20367718,13641999,67,971150,4.8,909261,4.5,910547,4.5,1015776,5,772563,3.8,1306274,6.4,835639,4.1,4509,0
0300000US4,4,West North Central Division,9109440,9109440,8117205,89.1,992235,10.9,2,(X),6.7,(X),9109440,9109440,6398494,70.2,428683,4.7,246566,2.7,308375,3.4,309785,3.4,336248,3.7,609711,6.7,468249,5.1,3329,0
0300000US5,5,South Atlantic Division,26858770,26858770,22599933,84.1,4258837,15.9,2.9,(X),9.9,(X),26858770,26858770,15961411,59.4,1933658,7.2,564449,2.1,852025,3.2,1284351,4.8,1438843,5.4,2206434,8.2,2598483,9.7,19116,0.1
0300000US6,6,East South Central Division,8186694,8186694,7085924,86.6,1100770,13.4,2.3,(X),9.1,(X),8186694,8186694,5598760,68.4,186665,2.3,217495,2.7,263423,3.2,364470,4.5,260334,3.2,267853,3.3,1021310,12.5,6384,0.1
0300000US7,7,West South Central Division,14923744,14923744,13047186,87.4,1876558,12.6,2.2,(X),9.4,(X),14923744,14923744,9964069,66.8,381812,2.6,347087,2.3,484332,3.2,655544,4.4,798566,5.4,929276,6.2,1340185,9,22873,0.2
0300000US8,8,Mountain Division,9514248,9514248,8162159,85.8,1352089,14.2,2.8,(X),8.6,(X),9514248,9514248,6124080,64.4,490584,5.2,185684,2,386767,4.1,435599,4.6,441384,4.6,622359,6.5,809474,8.5,18317,0.2
0300000US9,9,Pacific Division,19050261,19050261,17299488,90.8,1750773,9.2,2.1,(X),5.2,(X),19050261,19050261,11318882,59.4,1197381,6.3,506084,2.7,981541,5.2,1092765,5.7,974107,5.1,2069635,10.9,882514,4.6,27352,0.1
