Foundation Type,Vintage,"7.5% Leakage, Uninsulated","15% Leakage, R-8","15% Leakage, R-6","7.5% Leakage, R-6","20% Leakage, R-4","10% Leakage, Uninsulated","20% Leakage, R-8","15% Leakage, R-4","30% Leakage, R-4","30% Leakage, R-8","30% Leakage, R-6","10% Leakage, R-4","30% Leakage, Uninsulated","20% Leakage, R-6",In Finished Space,"7.5% Leakage, R-8","20% Leakage, Uninsulated","10% Leakage, R-6","7.5% Leakage, R-4","10% Leakage, R-8","15% Leakage, Uninsulated"
unheated basement,pre-1950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
heated basement,pre-1950,0.03448,0,0,0,0,0,0,0,0.03448,0,0,0,0,0,0.7931,0,0,0,0,0,0
crawl,pre-1950,0,0,0.01449,0,0,0,0,0,0.01449,0.01449,0.01449,0,0,0.01449,0.46377,0.01449,0,0,0,0,0
slab,pre-1950,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08333,0.5,0,0,0,0,0,0
unheated basement,1950s,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
heated basement,1950s,0,0,0,0,0,0,0,0,0,0,0,0,0.07143,0,0.71429,0.07143,0,0,0,0,0
crawl,1950s,0,0.03448,0,0,0,0,0,0,0,0.03448,0,0,0,0,0.51724,0.03448,0.03448,0,0,0,0
slab,1950s,0,0,0,0,0,0,0,0,0,0.16667,0,0,0,0,0.5,0,0,0,0,0,0
unheated basement,1960s,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
heated basement,1960s,0,0,0,0,0,0.03846,0,0,0,0,0,0,0,0,0.73077,0,0,0,0,0,0.03846
crawl,1960s,0.02703,0,0,0,0,0,0,0.02703,0.05405,0.02703,0,0.02703,0,0,0.59459,0,0,0,0.02703,0,0.02703
slab,1960s,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0.4,0,0,0,0,0,0
unheated basement,1970s,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
heated basement,1970s,0,0,0,0,0.04167,0,0,0,0,0,0,0,0,0,0.75,0,0,0,0.04167,0,0
crawl,1970s,0,0,0,0,0.06122,0,0.08163,0.02041,0.02041,0,0,0.02041,0.02041,0,0.40816,0,0,0,0.04082,0,0
slab,1970s,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0.375,0,0,0,0.125,0,0
unheated basement,1980s,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
heated basement,1980s,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0,0,0,0,0
crawl,1980s,0,0,0,0,0.02564,0,0,0,0.05128,0.05128,0,0,0.02564,0,0.5641,0,0,0,0,0.05128,0
slab,1980s,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0
unheated basement,1990s,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
heated basement,1990s,0.07143,0,0,0,0,0,0.07143,0,0,0,0,0,0,0,0.78571,0,0,0,0,0,0
crawl,1990s,0,0,0.02222,0,0,0.02222,0.04444,0.02222,0,0,0,0.02222,0,0.02222,0.64444,0.02222,0,0,0,0.02222,0
slab,1990s,0,0,0,0,0,0,0.125,0,0,0,0,0,0,0,0.375,0,0.125,0,0,0,0
unheated basement,2000s,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
heated basement,2000s,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.68421,0.05263,0,0,0,0,0
crawl,2000s,0,0.05405,0,0,0.02703,0,0.10811,0,0,0.02703,0,0.02703,0,0,0.45946,0.02703,0.02703,0.02703,0.02703,0.02703,0
slab,2000s,0,0,0,0,0,0.14286,0,0,0,0,0,0,0,0,0.28571,0,0,0,0,0,0
unheated basement,2010s,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
heated basement,2010s,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
crawl,2010s,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0
slab,2010s,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
