Foundation Type,Vintage,"10% Leakage, R-4","10% Leakage, R-6","10% Leakage, R-8","10% Leakage, Uninsulated","15% Leakage, R-4","15% Leakage, R-6","15% Leakage, R-8","15% Leakage, Uninsulated","20% Leakage, R-4","20% Leakage, R-6","20% Leakage, R-8","20% Leakage, Uninsulated","30% Leakage, R-4","30% Leakage, R-6","30% Leakage, R-8","30% Leakage, Uninsulated","7.5% Leakage, R-4","7.5% Leakage, R-6","7.5% Leakage, R-8","7.5% Leakage, Uninsulated",In Finished Space,Count,Weight
crawl,1950s,0,0,0,0,0,0,0.03750602,0,0,0,0,0.041004794,0.005699637,0,0.022106905,0,0,0,0.024898921,0.005093532,0.506332945,82,186931.19
crawl,1960s,0.023837902,0,0.011918951,0,0.014992297,0,0,0.01396143,0,0,0,0,0.052799537,0,0.023837902,0,0.023837902,0,0.01243484,0.023837902,0.606090317,98,290828.025
crawl,1970s,0.020940426,0,0.010470213,0,0.01497116,0,0,0,0.066187507,0,0.072977281,0,0.020940426,0,0,0.012034554,0.037995637,0,0,0.008153054,0.416949719,123,331069.2
crawl,1980s,0,0,0.060629723,0,0,0,0,0.006849514,0.021051502,0,0,0,0.043950244,0,0.05049661,0.016079107,0,0,0,0,0.573190453,80,235445.905
crawl,1990s,0.014498727,0,0.016325348,0.012469278,0.016239513,0.016325348,0,0.006850929,0,0.028191379,0.040524016,0,0,0,0.005311768,0,0.008157305,0.006850929,0.027222494,0,0.635841456,113,303607.005
crawl,2000s,0.026794989,0.017540612,0.034483589,0,0,0.013397494,0.065159408,0.003406297,0.019650338,0,0.105974069,0.013397494,0,0,0.02796016,0,0.017540612,0.013397494,0.035988036,0,0.454419638,97,282572.24
crawl,2010s,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.430036486,0,0.445673601,7,16121.26
crawl,pre-1950,0,0,0,0,0.001771036,0.011986318,0.003542071,0,0.004605135,0.008382737,0,0,0.016765474,0.009155133,0.008717395,0,0.002872998,0,0.022542207,0.002515028,0.457521168,207,413512.31
heated basement,1950s,0,0,0,0,0,0,0,0,0,0,0,0.010218864,0.00951155,0,0,0.033796785,0,0,0.06474222,0.027523182,0.734299055,48,112015.39
heated basement,1960s,0,0,0,0.019372369,0,0,0,0.031513601,0,0,0,0,0,0,0,0,0.010406484,0,0,0,0.748986689,44,109995.84
