Dependency=PUMA	Option=10 to 19 Unit	Option=2 Unit	Option=20 to 49 Unit	Option=3 or 4 Unit	Option=5 to 9 Unit	Option=50 or more Unit	Option=Mobile Home	Option=Single-Family Attached	Option=Single-Family Detached	sample_count	sample_weight
AL, 00100	0.013935	0.017016	0.005226	0.036981	0.071817	0.009245	0.226600	0.015326	0.603854	0.000000	0.000000
AL, 00200	0.059747	0.093633	0.000000	0.000000	0.104779	0.023631	0.128852	0.015417	0.573941	0.000000	0.000000
AL, 00301	0.182505	0.000000	0.067172	0.014448	0.094041	0.042838	0.026225	0.028707	0.544065	0.000000	0.000000
AL, 00302	0.084320	0.000000	0.045700	0.017379	0.103630	0.149974	0.026225	0.016706	0.556066	0.000000	0.000000
AL, 00400	0.000000	0.000000	0.005288	0.002848	0.018306	0.000000	0.458969	0.015513	0.499076	0.000000	0.000000
AL, 00500	0.015142	0.000000	0.035332	0.035332	0.050474	0.000000	0.209255	0.005118	0.649348	0.000000	0.000000
AL, 00600	0.000000	0.000000	0.000000	0.025323	0.095962	0.000000	0.140400	0.000000	0.738315	0.000000	0.000000
AL, 00700	0.000000	0.000000	0.006853	0.014899	0.000000	0.000596	0.428764	0.000000	0.548888	0.000000	0.000000
AL, 00800	0.033805	0.000000	0.025917	0.031551	0.067046	0.000000	0.415153	0.008282	0.418247	0.000000	0.000000
AL, 00900	0.000000	0.039068	0.040289	0.000000	0.026859	0.000000	0.301638	0.000000	0.592146	0.000000	0.000000
AL, 01000	0.000000	0.021696	0.000000	0.008547	0.021915	0.008547	0.526541	0.004710	0.408045	0.000000	0.000000
AL, 01100	0.000000	0.015408	0.000000	0.000000	0.062273	0.009630	0.416192	0.053982	0.442516	0.000000	0.000000
AL, 01200	0.049260	0.024106	0.067863	0.000000	0.047164	0.095899	0.130981	0.039951	0.544776	0.000000	0.000000
AL, 01301	0.058407	0.020566	0.000000	0.019743	0.144784	0.027147	0.054068	0.000000	0.675284	0.000000	0.000000
AL, 01302	0.015244	0.000000	0.042567	0.012943	0.084847	0.115047	0.054068	0.139344	0.535939	0.000000	0.000000
AL, 01303	0.058851	0.000000	0.017792	0.024293	0.037638	0.132074	0.054068	0.041985	0.633299	0.000000	0.000000
AL, 01304	0.013893	0.000000	0.063288	0.074608	0.076152	0.042707	0.054068	0.000000	0.675284	0.000000	0.000000
AL, 01305	0.012866	0.053303	0.065709	0.012866	0.078575	0.047329	0.054068	0.002468	0.672816	0.000000	0.000000
AL, 01400	0.007873	0.000000	0.010685	0.036553	0.000000	0.001125	0.600578	0.000000	0.343186	0.000000	0.000000
AL, 01500	0.000000	0.000000	0.000000	0.000000	0.129448	0.108737	0.281378	0.000000	0.480437	0.000000	0.000000
AL, 01600	0.040859	0.008429	0.043431	0.033859	0.057860	0.059717	0.234580	0.033739	0.487525	0.000000	0.000000
AL, 01700	0.004179	0.004737	0.018389	0.004737	0.005573	0.010031	0.746372	0.000000	0.205983	0.000000	0.000000
AL, 01800	0.002937	0.006852	0.000000	0.000000	0.032548	0.024472	0.441834	0.035722	0.455635	0.000000	0.000000
AL, 01900	0.071959	0.056756	0.045270	0.033108	0.048986	0.029898	0.299903	0.013381	0.400739	0.000000	0.000000
AL, 02000	0.062218	0.034669	0.013310	0.048289	0.035907	0.039622	0.112678	0.025108	0.628199	0.000000	0.000000
AL, 02100	0.007637	0.006560	0.015665	0.020365	0.027806	0.002154	0.336324	0.000000	0.583489	0.000000	0.000000
AL, 02200	0.000000	0.006833	0.000000	0.006833	0.039896	0.003086	0.596696	0.000000	0.346657	0.000000	0.000000
AL, 02300	0.000000	0.014947	0.012980	0.025567	0.033828	0.000000	0.378592	0.021213	0.512874	0.000000	0.000000
AL, 02400	0.042101	0.014792	0.033851	0.016784	0.117769	0.005974	0.370522	0.002867	0.395340	0.000000	0.000000
AL, 02500	0.017368	0.005710	0.060906	0.039018	0.022364	0.019509	0.330953	0.008951	0.495220	0.000000	0.000000
AL, 02600	0.033578	0.002280	0.047051	0.017204	0.037102	0.030055	0.270413	0.013777	0.548541	0.000000	0.000000
AL, 02701	0.048904	0.048904	0.040095	0.003038	0.016403	0.019744	0.180161	0.308723	0.334028	0.000000	0.000000
AL, 02702	0.049961	0.006760	0.053918	0.005771	0.044684	0.015994	0.180161	0.000000	0.642750	0.000000	0.000000
AL, 02703	0.031997	0.000000	0.000000	0.019585	0.047168	0.078338	0.180161	0.000000	0.642750	0.000000	0.000000
AR, 00100	0.056410	0.024589	0.039921	0.012150	0.078684	0.014175	0.088338	0.052571	0.633163	0.000000	0.000000
AR, 00200	0.104941	0.014780	0.087204	0.041090	0.039612	0.114105	0.078491	0.014126	0.505651	0.000000	0.000000
AR, 00300	0.000000	0.035883	0.009486	0.023097	0.000000	0.009074	0.318866	0.026912	0.576682	0.000000	0.000000
AR, 00400	0.002433	0.012686	0.004344	0.019463	0.008168	0.002433	0.433844	0.000000	0.516629	0.000000	0.000000
AR, 00500	0.050610	0.046557	0.005239	0.140561	0.027875	0.008600	0.168048	0.009443	0.543068	0.000000	0.000000
AR, 00600	0.000000	0.028086	0.000000	0.030804	0.150398	0.046207	0.267989	0.000000	0.476514	0.000000	0.000000
AR, 00700	0.000000	0.042973	0.000000	0.064460	0.000000	0.000000	0.449617	0.000000	0.442951	0.000000	0.000000
AR, 00800	0.095629	0.040802	0.000000	0.052277	0.024226	0.026776	0.673276	0.001512	0.085502	0.000000	0.000000
AR, 00900	0.163824	0.028164	0.060899	0.028606	0.046744	0.010322	0.124751	0.013602	0.523088	0.000000	0.000000
AR, 01000	0.072091	0.024030	0.052599	0.005340	0.033642	0.150856	0.124751	0.017709	0.518981	0.000000	0.000000
AR, 01100	0.135506	0.021957	0.040934	0.028387	0.071517	0.009253	0.222749	0.010200	0.459496	0.000000	0.000000
AR, 01200	0.084838	0.024579	0.009514	0.012290	0.049951	0.000000	0.254673	0.000000	0.564155	0.000000	0.000000
AR, 01300	0.106533	0.084447	0.000000	0.053267	0.000000	0.000000	0.291673	0.000000	0.464080	0.000000	0.000000
AR, 01400	0.024582	0.141658	0.000000	0.055830	0.089161	0.025415	0.124404	0.015356	0.523595	0.000000	0.000000
AR, 01500	0.020766	0.008126	0.010834	0.002709	0.017154	0.000000	0.433708	0.015288	0.491415	0.000000	0.000000
AR, 01600	0.056465	0.009296	0.013772	0.015838	0.020314	0.018592	0.329118	0.000000	0.536605	0.000000	0.000000
AR, 01700	0.031529	0.005940	0.008073	0.003960	0.013251	0.000000	0.554111	0.000000	0.383136	0.000000	0.000000
AR, 01800	0.030613	0.026601	0.000000	0.000000	0.003378	0.000000	0.589868	0.000000	0.349540	0.000000	0.000000
AR, 01900	0.000000	0.000000	0.021194	0.041123	0.000000	0.000000	0.552977	0.000000	0.384706	0.000000	0.000000
AR, 02000	0.017044	0.000000	0.044881	0.005113	0.040905	0.011362	0.393122	0.000000	0.487573	0.000000	0.000000
AZ, 00100	0.156130	0.000000	0.087197	0.018264	0.023567	0.069522	0.081767	0.004014	0.559540	0.000000	0.000000
AZ, 00101	0.087518	0.000000	0.075235	0.052204	0.081377	0.058346	0.081767	0.048482	0.515072	0.000000	0.000000
AZ, 00102	0.229709	0.010712	0.000000	0.035706	0.000000	0.078553	0.081767	0.000000	0.563554	0.000000	0.000000
AZ, 00103	0.084345	0.000000	0.102727	0.020545	0.040010	0.107053	0.081767	0.000000	0.563554	0.000000	0.000000
AZ, 00104	0.000000	0.000000	0.131183	0.111748	0.058303	0.053445	0.081767	0.000000	0.563554	0.000000	0.000000
AZ, 00105	0.021771	0.016328	0.059869	0.013607	0.098875	0.144230	0.081767	0.000000	0.563554	0.000000	0.000000
AZ, 00106	0.119869	0.000000	0.010673	0.000000	0.118227	0.105911	0.081767	0.055982	0.507572	0.000000	0.000000
AZ, 00107	0.114179	0.000000	0.072073	0.042107	0.061223	0.065098	0.081767	0.009130	0.554424	0.000000	0.000000
AZ, 00108	0.068447	0.000000	0.045113	0.014389	0.076225	0.150505	0.081767	0.117518	0.446035	0.000000	0.000000
AZ, 00109	0.061812	0.001777	0.042854	0.002172	0.024093	0.221971	0.081767	0.121963	0.441591	0.000000	0.000000
AZ, 00110	0.003787	0.005049	0.045439	0.000000	0.020953	0.279452	0.081767	0.030526	0.533028	0.000000	0.000000
AZ, 00111	0.000000	0.070936	0.000000	0.000000	0.000000	0.283744	0.081767	0.031824	0.531730	0.000000	0.000000
AZ, 00112	0.053882	0.006801	0.078207	0.045250	0.042373	0.128166	0.081767	0.059683	0.503870	0.000000	0.000000
AZ, 00113	0.167419	0.000000	0.024803	0.053326	0.000000	0.109132	0.081767	0.000000	0.563554	0.000000	0.000000
AZ, 00114	0.037195	0.000000	0.104943	0.099629	0.000000	0.112913	0.081767	0.116597	0.446956	0.000000	0.000000
AZ, 00115	0.042448	0.000000	0.129232	0.058484	0.050938	0.073577	0.081767	0.000000	0.563554	0.000000	0.000000
AZ, 00116	0.004865	0.005352	0.054978	0.080764	0.072493	0.136228	0.081767	0.064926	0.498628	0.000000	0.000000
AZ, 00117	0.000000	0.000000	0.000000	0.079637	0.000000	0.275043	0.081767	0.033281	0.530273	0.000000	0.000000
AZ, 00118	0.031545	0.000000	0.054342	0.037111	0.063089	0.168592	0.081767	0.072717	0.490837	0.000000	0.000000
AZ, 00119	0.031784	0.048398	0.122079	0.034673	0.038285	0.079460	0.081767	0.072480	0.491074	0.000000	0.000000
AZ, 00120	0.124312	0.000000	0.012170	0.000000	0.106056	0.112141	0.081767	0.021578	0.541976	0.000000	0.000000
AZ, 00121	0.209430	0.081070	0.000000	0.000000	0.000000	0.064180	0.081767	0.003455	0.560098	0.000000	0.000000
AZ, 00122	0.151656	0.026907	0.051367	0.000000	0.124749	0.000000	0.081767	0.000000	0.563554	0.000000	0.000000
AZ, 00123	0.032512	0.000000	0.088670	0.141872	0.062069	0.029557	0.081767	0.095277	0.468277	0.000000	0.000000
AZ, 00124	0.149886	0.000000	0.066781	0.000000	0.057877	0.080137	0.081767	0.000000	0.563554	0.000000	0.000000
AZ, 00125	0.000000	0.000000	0.000000	0.000000	0.000000	0.354680	0.081767	0.000000	0.563554	0.000000	0.000000
AZ, 00126	0.079237	0.000000	0.128288	0.000000	0.081124	0.066031	0.081767	0.000000	0.563554	0.000000	0.000000
AZ, 00127	0.056244	0.000000	0.013774	0.000000	0.028696	0.255966	0.081767	0.000000	0.563554	0.000000	0.000000
AZ, 00128	0.000000	0.000000	0.000000	0.354680	0.000000	0.000000	0.081767	0.000000	0.563554	0.000000	0.000000
AZ, 00129	0.120109	0.000000	0.062107	0.015912	0.081099	0.075453	0.081767	0.010530	0.553024	0.000000	0.000000
AZ, 00130	0.125080	0.000000	0.095952	0.000000	0.000000	0.133647	0.081767	0.029513	0.534041	0.000000	0.000000
AZ, 00131	0.091676	0.000000	0.162311	0.000000	0.025549	0.075144	0.081767	0.000000	0.563554	0.000000	0.000000
AZ, 00132	0.000000	0.000000	0.020762	0.000000	0.000000	0.333918	0.081767	0.015383	0.548171	0.000000	0.000000
AZ, 00133	0.123232	0.010356	0.006731	0.014498	0.050225	0.149639	0.081767	0.000000	0.563554	0.000000	0.000000
AZ, 00134	0.063660	0.291019	0.000000	0.000000	0.000000	0.000000	0.081767	0.019417	0.544136	0.000000	0.000000
AZ, 00201	0.112949	0.022590	0.192883	0.013901	0.024328	0.022590	0.251655	0.005828	0.353276	0.000000	0.000000
AZ, 00202	0.150535	0.000000	0.083870	0.000000	0.052687	0.102149	0.251655	0.003895	0.355209	0.000000	0.000000
AZ, 00203	0.121285	0.059937	0.006346	0.000000	0.114234	0.087438	0.251655	0.006802	0.352301	0.000000	0.000000
AZ, 00204	0.046238	0.000000	0.068937	0.051282	0.092476	0.130307	0.251655	0.046695	0.312409	0.000000	0.000000
AZ, 00205	0.000000	0.000000	0.000000	0.389241	0.000000	0.000000	0.251655	0.004796	0.354308	0.000000	0.000000
AZ, 00206	0.055606	0.031973	0.000000	0.056996	0.000000	0.244666	0.251655	0.000000	0.359104	0.000000	0.000000
AZ, 00207	0.034285	0.031260	0.081680	0.072604	0.051428	0.117982	0.251655	0.034864	0.324239	0.000000	0.000000
AZ, 00208	0.000000	0.012975	0.000000	0.000000	0.000000	0.376266	0.251655	0.067596	0.291508	0.000000	0.000000
AZ, 00209	0.127510	0.114088	0.147643	0.000000	0.000000	0.000000	0.251655	0.156308	0.202796	0.000000	0.000000
AZ, 00300	0.000000	0.023198	0.000000	0.003200	0.019998	0.017598	0.515858	0.029969	0.390179	0.000000	0.000000
AZ, 00400	0.080274	0.014661	0.016824	0.001923	0.072103	0.025476	0.333548	0.071301	0.383890	0.000000	0.000000
AZ, 00500	0.015328	0.029378	0.042790	0.086218	0.024907	0.045344	0.411194	0.027936	0.316906	0.000000	0.000000
AZ, 00600	0.000000	0.007603	0.000000	0.024392	0.037697	0.008236	0.563816	0.027656	0.330601	0.000000	0.000000
AZ, 00700	0.035908	0.000000	0.000000	0.019977	0.047793	0.000000	0.594268	0.007110	0.294944	0.000000	0.000000
AZ, 00800	0.000000	0.001933	0.000000	0.036596	0.013272	0.002448	0.536113	0.017536	0.392102	0.000000	0.000000
AZ, 00803	0.000000	0.000000	0.000000	0.054455	0.000000	0.000000	0.505055	0.012810	0.427681	0.000000	0.000000
AZ, 00805	0.009076	0.009076	0.009076	0.009076	0.009076	0.009076	0.505055	0.007196	0.433295	0.000000	0.000000
AZ, 00807	0.000000	0.000000	0.000000	0.006112	0.000000	0.048342	0.505055	0.025515	0.414976	0.000000	0.000000
AZ, 00900	0.012661	0.000000	0.007518	0.012265	0.053810	0.010683	0.600813	0.017424	0.284827	0.000000	0.000000
CA, 00101	0.034013	0.061442	0.095455	0.047179	0.000000	0.284171	0.015687	0.070185	0.391867	0.000000	0.000000
CA, 00102	0.027936	0.007102	0.070550	0.036459	0.008049	0.372164	0.015687	0.353334	0.108718	0.000000	0.000000
CA, 00103	0.217044	0.000000	0.000000	0.000000	0.000000	0.305217	0.015687	0.164384	0.297668	0.000000	0.000000
CA, 00104	0.063452	0.026032	0.117143	0.055317	0.122024	0.138293	0.015687	0.026786	0.435266	0.000000	0.000000
CA, 00105	0.225349	0.024362	0.013704	0.044156	0.059382	0.155308	0.015687	0.126357	0.335695	0.000000	0.000000
CA, 00106	0.000000	0.000000	0.000000	0.000000	0.522261	0.000000	0.015687	0.049154	0.412897	0.000000	0.000000
CA, 00107	0.000000	0.000000	0.032967	0.020821	0.414686	0.053788	0.015687	0.234228	0.227823	0.000000	0.000000
CA, 00108	0.008656	0.000000	0.021160	0.030778	0.010580	0.451087	0.015687	0.235576	0.226476	0.000000	0.000000
CA, 00109	0.011065	0.000000	0.052005	0.040940	0.029875	0.388376	0.015687	0.198706	0.263345	0.000000	0.000000
CA, 00110	0.010396	0.012842	0.049535	0.000000	0.026908	0.422579	0.015687	0.101503	0.360548	0.000000	0.000000
CA, 00300	0.000000	0.000000	0.054283	0.038145	0.000000	0.000000	0.321253	0.000000	0.586320	0.000000	0.000000
CA, 00701	0.143287	0.029500	0.000000	0.119055	0.188591	0.123269	0.316356	0.003164	0.076779	0.000000	0.000000
CA, 00702	0.000000	0.000000	0.051881	0.075463	0.094328	0.382030	0.316356	0.000000	0.079943	0.000000	0.000000
CA, 01100	0.000000	0.015998	0.002758	0.012412	0.043580	0.006068	0.222763	0.112388	0.584034	0.000000	0.000000
CA, 01301	0.187897	0.000000	0.000000	0.000000	0.081422	0.137791	0.037266	0.248738	0.306885	0.000000	0.000000
CA, 01302	0.000000	0.093589	0.154421	0.000000	0.000000	0.159101	0.037266	0.101022	0.454601	0.000000	0.000000
CA, 01303	0.000000	0.312433	0.000000	0.000000	0.094677	0.000000	0.037266	0.060339	0.495284	0.000000	0.000000
CA, 01304	0.000000	0.056749	0.076487	0.027963	0.040300	0.205611	0.037266	0.135975	0.419648	0.000000	0.000000
CA, 01305	0.082318	0.011760	0.053759	0.036399	0.021839	0.201035	0.037266	0.063911	0.491712	0.000000	0.000000
CA, 01306	0.000000	0.000000	0.000000	0.063860	0.000000	0.343250	0.037266	0.066559	0.489064	0.000000	0.000000
CA, 01307	0.070461	0.070461	0.138966	0.000000	0.000000	0.127222	0.037266	0.030197	0.525426	0.000000	0.000000
CA, 01308	0.000000	0.000000	0.000000	0.000000	0.000000	0.407110	0.037266	0.018127	0.537497	0.000000	0.000000
CA, 01309	0.068716	0.115391	0.107612	0.000000	0.085571	0.029820	0.037266	0.006598	0.549025	0.000000	0.000000
CA, 01500	0.026524	0.026014	0.012242	0.000000	0.000000	0.017853	0.499237	0.000000	0.418130	0.000000	0.000000
