Dependency=Census Division RECS	Dependency=Geometry Building Type RECS	Option=100% CFL	Option=100% Incandescent	Option=100% LED
East North Central	Mobile Home	0.073616	0.139491	0.786893
East North Central	Multi-Family with 2 - 4 Units	0.080456	0.176363	0.743179
East North Central	Multi-Family with 5+ Units	0.080456	0.176363	0.743179
East North Central	Single-Family Attached	0.083079	0.125494	0.791427
East North Central	Single-Family Detached	0.073616	0.139491	0.786893
East South Central	Mobile Home	0.076335	0.166896	0.756769
East South Central	Multi-Family with 2 - 4 Units	0.053223	0.217302	0.729475
East South Central	Multi-Family with 5+ Units	0.053223	0.217302	0.729475
East South Central	Single-Family Attached	0.071301	0.161603	0.767096
East South Central	Single-Family Detached	0.076335	0.166896	0.756769
Middle Atlantic	Mobile Home	0.064976	0.127785	0.807240
Middle Atlantic	Multi-Family with 2 - 4 Units	0.067618	0.164585	0.767798
Middle Atlantic	Multi-Family with 5+ Units	0.067618	0.164585	0.767798
Middle Atlantic	Single-Family Attached	0.073088	0.194569	0.732344
Middle Atlantic	Single-Family Detached	0.064976	0.127785	0.807240
Mountain North	Mobile Home	0.071391	0.100744	0.827865
Mountain North	Multi-Family with 2 - 4 Units	0.067573	0.117312	0.815115
Mountain North	Multi-Family with 5+ Units	0.067573	0.117312	0.815115
Mountain North	Single-Family Attached	0.077109	0.167832	0.755058
Mountain North	Single-Family Detached	0.071391	0.100744	0.827865
Mountain South	Mobile Home	0.082344	0.122205	0.795451
Mountain South	Multi-Family with 2 - 4 Units	0.066133	0.194758	0.739109
Mountain South	Multi-Family with 5+ Units	0.066133	0.194758	0.739109
Mountain South	Single-Family Attached	0.085290	0.122488	0.792222
Mountain South	Single-Family Detached	0.082344	0.122205	0.795451
New England	Mobile Home	0.060476	0.111752	0.827773
New England	Multi-Family with 2 - 4 Units	0.084703	0.163568	0.751728
New England	Multi-Family with 5+ Units	0.084703	0.163568	0.751728
New England	Single-Family Attached	0.070040	0.128670	0.801290
New England	Single-Family Detached	0.060476	0.111752	0.827773
Pacific	Mobile Home	0.065636	0.087655	0.846710
Pacific	Multi-Family with 2 - 4 Units	0.091060	0.131404	0.777535
Pacific	Multi-Family with 5+ Units	0.091060	0.131404	0.777535
Pacific	Single-Family Attached	0.076985	0.118481	0.804534
Pacific	Single-Family Detached	0.065636	0.087655	0.846710
South Atlantic	Mobile Home	0.070566	0.156597	0.772835
South Atlantic	Multi-Family with 2 - 4 Units	0.070111	0.194654	0.735235
South Atlantic	Multi-Family with 5+ Units	0.070111	0.194654	0.735235
South Atlantic	Single-Family Attached	0.076546	0.139299	0.784156
South Atlantic	Single-Family Detached	0.070566	0.156597	0.772835
West North Central	Mobile Home	0.064102	0.147882	0.788016
West North Central	Multi-Family with 2 - 4 Units	0.071078	0.188706	0.740216
West North Central	Multi-Family with 5+ Units	0.071078	0.188706	0.740216
West North Central	Single-Family Attached	0.055108	0.184265	0.760626
West North Central	Single-Family Detached	0.064102	0.147882	0.788016
West South Central	Mobile Home	0.076120	0.153641	0.770238
West South Central	Multi-Family with 2 - 4 Units	0.048995	0.250164	0.700840
West South Central	Multi-Family with 5+ Units	0.048995	0.250164	0.700840
West South Central	Single-Family Attached	0.048995	0.250164	0.700840
West South Central	Single-Family Detached	0.076120	0.153641	0.770238
