Dependency=Location Region	Dependency=Federal Poverty Level	thmoth_nrm	Count	Weight	thmoth_nrm_per_home	thmoth_nrm_total
CR01	150-200	0.0	3	34336.856964	0.0	0.0
CR01	250-300	0.0	1	13046.40491	0.0	0.0
CR01	0-50	0.0	1	11795.05168	0.0	0.0
CR01	300+	728.969092467	15	133933.197855	48.5979394978	6508877.44611
CR01	50-100	0.0	1	9007.728757	0.0	0.0
CR02	100-150	7649.38698267	40	259554.663779	191.234674567	49635851.6601
CR02	150-200	18971.4664338	57	354243.426548	332.832744453	117903811.862
CR02	250-300	16886.5462283	99	644497.607567	170.571174023	109932713.578
CR02	0-50	0.0	14	89383.130156	0.0	0.0
CR02	200-250	6825.87805401	48	279103.303916	142.205792792	39690106.6042
CR02	300+	66516.4243757	407	2530399.00624	163.431018122	413545685.846
CR02	50-100	2992.99438023	22	153438.439024	136.045199101	20874562.9868
CR03	100-150	9743.64131504	18	113734.891073	541.313406391	61566221.3123
CR03	150-200	31670.1704919	46	265735.214586	688.481967215	182953903.297
CR03	250-300	30492.7154694	47	297621.017114	648.7811802	193090914.735
CR03	0-50	2576.89297616	8	42004.550465	322.11162202	13530153.8825
CR03	200-250	12755.2525667	24	131590.398066	531.468856946	69936198.4452
CR03	300+	269603.820559	384	2188621.06278	702.093282706	1536616146.57
CR03	50-100	3224.47194242	8	49810.802186	403.058992802	20076691.7598
CR04	100-150	5904.32224726	57	970235.272717	103.584600829	100501433.435
CR04	150-200	2114.98449168	51	794217.56397	41.4702841506	32936428.0553
CR04	250-300	3142.35223323	77	1235428.87999	40.8097692627	50417567.5329
CR04	0-50	1586.92038855	31	476504.65642	51.1909802758	24392740.4681
CR04	200-250	2046.7064014	60	957492.32415	34.1117733567	32661761.1522
CR04	300+	28183.8254036	344	5597949.80379	81.9297250105	458638488.047
CR04	50-100	1716.90577676	46	670913.300309	37.3240386252	25041193.9349
CR05	100-150	513.83858583	16	187248.433866	32.1149116144	6013466.90354
CR05	150-200	731.762407301	26	352061.643028	28.1447079731	9908672.13156
CR05	250-300	4051.60737016	33	331332.081518	122.775980914	40679621.3166
CR05	0-50	557.132243213	3	84160.81407	185.710747738	15629567.7111
CR05	200-250	3787.1836071	35	321089.319676	108.205245917	34743548.7969
CR05	300+	12569.9146876	177	1379691.12728	71.0164671616	97980789.6339
CR05	50-100	0.0	10	145586.152011	0.0	0.0
CR06	100-150	978.300675349	27	272233.19077	36.2333583462	9863922.75491
CR06	150-200	0.0	17	165743.209235	0.0	0.0
CR06	250-300	577.019630474	16	176083.940704	36.0637269046	6350243.14983
CR06	0-50	683.14660063	6	74989.726375	113.857766772	8538162.77588
CR06	200-250	456.609190961	12	109692.566103	38.0507659135	4173886.15523
CR06	300+	8423.67619945	137	1424904.53863	61.4866875872	87612660.2082
CR06	50-100	319.47	11	106080.704403	29.0427272727	3080872.96688
