Dependency=Heating Fuel	kwhel_nrm	Count	Weight	kwhel_nrm_per_home	kwhel_nrm_total
None	1640831.62557	172	1315680.83335	9539.7187533	12551225119.2
Propane/LPG	5503450.05398	397	4433138.17897	13862.5945944	61454797356.0
Natural Gas	45336341.2153	4127	38395931.5416	10985.3019664	4.21790902265e+11
Electricity	40635665.0046	2218	20000706.0601	18320.858884	3.66430113307e+11
Other Fuel	3672103.09654	303	2865110.59149	12119.1521338	34722711138.4
Fuel Oil	5901253.99338	565	4677226.63479	10444.6973334	48852216560.1
