Dependency=Location Region	Dependency=Heating Fuel	kwhel_nrm	Count	Weight	kwhel_nrm_per_home	kwhel_nrm_total
CR01	Natural Gas	133871.139619	13	99432.330675	10297.7799707	1023932263.26
CR01	Electricity	105725.331561	4	52694.766164	26431.3328902	1392792906.05
CR01	Other Fuel	44109.0974855	3	35100.538577	14703.0324952	516084359.296
CR01	Fuel Oil	37657.0	1	14891.60475	37657.0	560773160.071
CR02	Propane/LPG	1339843.36425	93	725247.369805	14406.9178951	10448579310.4
CR02	Natural Gas	4665443.89863	466	2776430.13792	10011.6821859	27796736152.1
CR02	Electricity	1443950.18837	68	373228.347509	21234.5615936	7925340333.67
CR02	Other Fuel	349914.096836	29	221603.254188	12066.0033392	2673865605.01
CR02	Fuel Oil	463069.144081	31	214110.467817	14937.7143252	3198321002.28
CR03	Propane/LPG	101557.472272	11	89328.522891	9232.49747928	824725362.419
CR03	Natural Gas	1241070.06809	144	751183.783325	8618.54213951	6474109091.11
CR03	Electricity	353419.04112	21	104325.613376	16829.4781486	1755745630.65
CR03	Other Fuel	519173.873076	49	323494.789371	10595.3851648	3427551892.2
CR03	Fuel Oil	2903298.56104	310	1820785.22731	9365.47922915	17052526227.1
CR04	None	14122.0	2	34488.78435	7061.0	243525306.295
CR04	Propane/LPG	513517.054625	35	759482.33306	14671.9158464	11143060877.5
CR04	Natural Gas	5373346.43984	524	8218715.99743	10254.4779386	84278641879.5
CR04	Electricity	1617336.56092	76	1210257.38505	21280.7442226	25755177854.8
CR04	Other Fuel	237184.832131	16	267432.81382	14824.0520082	3964437940.76
CR04	Fuel Oil	165406.356995	13	212364.48764	12723.5659227	2702033558.12
CR05	None	5967.0	1	16134.27176	5967.0	96273199.5919
CR05	Propane/LPG	222608.273792	21	234765.266365	10600.3939901	2488604318.66
CR05	Natural Gas	2339344.95926	240	2109061.12667	9747.2706636	20557589647.7
CR05	Electricity	419824.530954	30	354810.017687	13994.1510318	4965264975.1
CR05	Other Fuel	135366.90223	8	86398.888975	16920.8627788	1461943744.59
CR06	Propane/LPG	70017.9575735	5	48819.627606	14003.5915147	683650122.894
CR06	Natural Gas	1227499.15013	104	1129100.37941	11802.8764436	13326632270.5
CR06	Electricity	1636534.10596	90	910199.428031	18183.7122885	16550804524.5
CR06	Other Fuel	281414.363926	19	169633.001159	14811.2823119	2512482269.58
CR06	Fuel Oil	123247.399226	8	71975.440017	15405.9249033	1108848223.78
CR07	Propane/LPG	271338.5763	21	423553.13242	12920.8845857	5472681139.92
CR07	Natural Gas	3613411.83048	394	4507682.30235	9171.09601645	41340387206.5
CR07	Electricity	783935.561507	50	672922.189163	15678.7112301	10550552684.3
CR07	Other Fuel	366358.825932	31	396842.140387	11818.026643	4689890988.14
CR07	Fuel Oil	1657942.0159	158	1762908.65924	10493.3038981	18498736306.0
CR08	Propane/LPG	1191363.40384	84	627462.998601	14182.8976647	8899243497.56
CR08	Natural Gas	8741751.58685	684	4190940.14981	12780.3385773	53561634071.6
CR08	Electricity	8982286.7177	441	3453372.5778	20367.9970923	70338282623.2
CR08	Other Fuel	803313.610087	64	510345.032482	12551.7751576	6405736100.52
CR08	Fuel Oil	425934.170048	33	448372.246698	12907.096062	5787183659.69
CR09	None	734041.087162	53	396096.523567	13849.8318332	5485870241.14
CR09	Propane/LPG	1397500.11294	90	1194372.52008	15527.7790327	18545952574.5
CR09	Natural Gas	11138656.766	787	8175791.39988	14153.3122821	1.15714528836e+11
CR09	Electricity	22065931.1954	1209	11010872.9689	18251.3905669	2.00963743038e+11
CR09	Other Fuel	475472.338548	33	455633.267561	14408.2526833	6564879249.93
CR09	Fuel Oil	78536.7805953	6	90229.62402	13089.4634325	1181057364.14
CR10	None	30218.4575735	4	46998.05506	7554.61439338	355052183.217
CR10	Propane/LPG	109870.968638	9	128503.709032	12207.8854042	1568758553.88
CR10	Natural Gas	1567856.00792	135	1536425.17163	11613.7482068	17843655081.9
CR10	Electricity	1653962.6923	84	860809.118144	19690.0320512	16949359126.3
CR10	Other Fuel	75127.6264624	8	99669.823622	9390.9533078	935994659.83
CR10	Fuel Oil	31648.0	3	26365.4439	10549.3333333	278137856.182
CR11	None	671219.462745	89	641431.198861	7541.79171623	4837540502.1
CR11	Propane/LPG	285832.869751	28	201602.699113	10208.3167768	2058024215.61
CR11	Natural Gas	5279833.32446	635	4888378.88013	8314.69814875	40645394825.0
CR11	Electricity	1572759.07884	145	997213.648292	10846.6143368	10816391854.5
CR11	Other Fuel	384667.529828	43	298957.041346	8945.75650762	2674396898.12
CR11	Fuel Oil	14514.5655069	2	15223.43339	7257.28275347	110480760.59
CR12	None	185263.618088	23	180531.999749	8054.93991688	1454174411.05
CR12	Natural Gas	14256.0439858	1	12789.88236	14256.0439858	182333125.498
