Dependency=Location Region	thmng_nrm	Count	Weight	thmng_nrm_per_home	thmng_nrm_total
CR01	23093.9744623	21	202119.240166	1099.71306963	222273170.035
CR02	464969.906449	687	4310619.57724	676.812090901	2917479449.15
CR03	183084.18055	535	3089117.93627	342.213421588	1057137618.66
CR04	576777.402833	666	10702741.8013	866.032136386	9268918347.41
CR05	236966.460725	300	2801169.57145	789.888202418	2212610797.46
CR06	86714.4559361	226	2329727.87622	383.692282903	893898607.369
CR07	470657.505592	654	7763908.42356	719.659794484	5587372740.49
CR08	645118.517042	1306	9230493.00539	493.965173845	4559542082.08
CR09	563555.759317	2178	21322996.304	258.749200788	5517308252.08
CR10	79809.5426265	243	2698771.32138	328.434331796	886369155.61
CR11	443564.417313	942	7042806.90114	470.875177615	3316282950.48
CR12	1321.97785252	24	193321.882109	55.0824105218	10648635.2732
