Dependency=Location Region	thmoth_nrm	Count	Weight	thmoth_nrm_per_home	thmoth_nrm_total
CR01	728.969092467	21	202119.240166	34.712813927	7016127.57495
CR02	119842.696455	687	4310619.57724	174.443517401	751959641.232
CR03	360066.965321	535	3089117.93627	673.022365085	2079045459.5
CR04	44696.0169425	666	10702741.8013	67.1111365503	718273166.492
CR05	22211.4389012	300	2801169.57145	74.0381296707	207393355.961
CR06	11438.2222969	226	2329727.87622	50.6116030834	117911262.564
CR07	183721.660708	654	7763908.42356	280.919970502	2181036925.33
CR08	97516.4808754	1306	9230493.00539	74.6680558004	689222966.792
CR09	72545.829105	2178	21322996.304	33.3084614807	710236201.046
CR10	9173.29605115	243	2698771.32138	37.7501895109	101879128.829
CR11	23186.8408576	942	7042806.90114	24.6144807406	173355034.828
CR12	303.21329	24	193321.882109	12.6338870833	2442406.8293
