Dependency=Location Region	Dependency=Heating Fuel	thmng_nrm	Count	Weight	thmng_nrm_per_home	thmng_nrm_total
CR01	Natural Gas	23068.3444623	13	99432.330675	1774.48803556	176441481.131
CR01	Electricity	25.63	4	52694.766164	6.4075	337641.714196
CR01	Other Fuel	0.0	3	35100.538577	0.0	0.0
CR01	Fuel Oil	0.0	1	14891.60475	0.0	0.0
CR02	Propane/LPG	378.24	93	725247.369805	4.06709677419	2949651.23823
CR02	Natural Gas	445237.389703	466	2776430.13792	955.445042282	2652726410.51
CR02	Electricity	14813.8492636	68	373228.347509	217.850724464	81308065.8954
CR02	Other Fuel	3598.44248232	29	221603.254188	124.084223528	27497467.7273
CR02	Fuel Oil	941.985	31	214110.467817	30.3866129032	6506091.90408
CR03	Propane/LPG	50.23	11	89328.522891	4.56636363636	407906.51862
CR03	Natural Gas	163953.096067	144	751183.783325	1138.56316713	855270187.44
CR03	Electricity	7484.38816559	21	104325.613376	356.399436457	37181589.8152
CR03	Other Fuel	4933.24869067	49	323494.789371	100.678544708	32568984.6143
CR03	Fuel Oil	6663.21762632	310	1820785.22731	21.4942504075	39136413.6141
CR04	None	0.0	2	34488.78435	0.0	0.0
CR04	Propane/LPG	35.88	35	759482.33306	1.02514285714	778577.888863
CR04	Natural Gas	561495.992061	524	8218715.99743	1071.55723676	8806824603.9
CR04	Electricity	12666.0658868	76	1210257.38505	166.658761668	201699997.092
CR04	Other Fuel	2553.83488511	16	267432.81382	159.61468032	42686203.0849
CR04	Fuel Oil	25.63	13	212364.48764	1.97153846154	418684.755247
CR05	None	0.0	1	16134.27176	0.0	0.0
CR05	Propane/LPG	0.0	21	234765.266365	0.0	0.0
CR05	Natural Gas	220946.199018	240	2109061.12667	920.609162575	1941620997.64
CR05	Electricity	16020.2617073	30	354810.017687	534.008723576	189471644.657
CR05	Other Fuel	0.0	8	86398.888975	0.0	0.0
CR06	Propane/LPG	0.0	5	48819.627606	0.0	0.0
CR06	Natural Gas	81878.3920942	104	1129100.37941	787.292231675	888931957.487
CR06	Electricity	4154.42384193	90	910199.428031	46.1602649103	42015046.7191
CR06	Other Fuel	656.01	19	169633.001159	34.5268421053	5856891.84686
CR06	Fuel Oil	25.63	8	71975.440017	3.20375	230591.315954
CR07	Propane/LPG	439.73	21	423553.13242	20.9395238095	8869000.90091
CR07	Natural Gas	451878.736343	394	4507682.30235	1146.90034605	5169862392.44
CR07	Electricity	8835.33988363	50	672922.189163	176.706797673	118909925.13
CR07	Other Fuel	2758.0256082	31	396842.140387	88.9685680063	35306476.9548
CR07	Fuel Oil	6745.67375752	158	1762908.65924	42.6941377058	75265865.0604
CR08	Propane/LPG	25.63	84	627462.998601	0.305119047619	191450.912549
CR08	Natural Gas	582673.006482	684	4190940.14981	851.861120588	3570098972.34
CR08	Electricity	59855.2461351	441	3453372.5778	135.726181712	468713074.014
CR08	Other Fuel	1988.87307999	64	510345.032482	31.0761418748	15859554.6345
CR08	Fuel Oil	575.761344438	33	448372.246698	17.4473134678	7822891.13841
CR09	None	3438.89504	53	396096.523567	64.8848120755	25700648.4954
CR09	Propane/LPG	236.464001329	90	1194372.52008	2.62737779254	3138067.83528
CR09	Natural Gas	475616.995771	787	8175791.39988	604.341798946	4940972482.41
CR09	Electricity	83662.7345052	1209	11010872.9689	69.1999458273	761951812.96
CR09	Other Fuel	244.99	33	455633.267561	7.42393939394	3382593.76424
CR09	Fuel Oil	355.68	6	90229.62402	59.28	5348812.11191
CR10	None	715.46	4	46998.05506	178.865	8406307.11831
CR10	Propane/LPG	25.63	9	128503.709032	2.84777777778	365950.006943
CR10	Natural Gas	67273.3676203	135	1536425.17163	498.321241632	765633299.2
CR10	Electricity	11374.8266444	84	860809.118144	135.41460291	116566124.915
CR10	Other Fuel	394.628361777	8	99669.823622	49.3285452221	4916567.40182
CR10	Fuel Oil	25.63	3	26365.4439	8.54333333333	225248.775719
CR11	None	33290.12507	89	641431.198861	374.046349101	239924998.134
CR11	Propane/LPG	664.2	28	201602.699113	23.7214285714	4782304.02682
CR11	Natural Gas	339061.877296	635	4888378.88013	533.955712277	2610177826.82
CR11	Electricity	62157.4454662	145	997213.648292	428.672037698	427477606.634
CR11	Other Fuel	8390.76948119	43	298957.041346	195.134173981	58336735.3189
CR11	Fuel Oil	0.0	2	15223.43339	0.0	0.0
CR12	None	710.34	23	180531.999749	30.8843478261	5575613.07399
CR12	Natural Gas	611.637852524	1	12789.88236	611.637852524	7822776.18071
