Dependency=Location Region	Dependency=Vintage	thmng_nrm	Count	Weight	thmng_nrm_per_home	thmng_nrm_total
CR01	1950s	4911.85576035	3	32631.672774	1637.28525345	53427356.6283
CR01	<1950	0.0	1	9007.728757	0.0	0.0
CR01	1960s	4214.69935706	2	14273.766876	2107.34967853	30079818.0375
CR01	1980s	5667.03337263	4	40366.57486	1416.75834316	57189681.7175
CR01	2000s	1144.41251536	5	55263.474804	228.882503072	12648842.4416
CR01	1970s	2541.22968753	3	29165.371626	847.07656251	24705302.7413
CR01	1990s	4614.74376936	3	21410.650469	1538.24792312	32934888.6166
CR02	1950s	70425.8228756	100	650287.622969	704.258228756	457970409.534
CR02	<1950	112546.735101	176	1134613.30617	639.470085802	725551268.246
CR02	1960s	54205.4217108	71	457502.445939	763.456643814	349283281.913
CR02	1980s	49703.923192	77	464232.827422	645.505496	299664841.525
CR02	2000s	43239.6356157	75	455096.846444	576.528474875	262376290.801
CR02	1970s	74137.9632952	106	650638.983355	699.414748068	455066500.626
CR02	1990s	60710.4046588	82	498247.54494	740.370788522	368887927.726
CR03	1950s	28436.6415237	98	561211.587386	290.169811466	162846660.504
CR03	<1950	71036.293008	170	937366.234335	417.860547106	391688367.518
CR03	1960s	24388.6432572	57	323759.690159	427.870934336	138527361.129
CR03	1980s	18987.6809347	58	355737.522029	327.373809219	116459147.669
CR03	2000s	10134.0247712	47	280569.003365	215.617548323	60495600.6411
CR03	1970s	14136.7585742	59	365100.395655	239.606077528	87480273.707
CR03	1990s	15964.1384807	46	265373.503345	347.04648871	92096942.5327
CR04	1950s	113837.80458	119	1885874.16873	956.620206558	1804065336.83
CR04	<1950	192180.758093	201	3175912.2546	956.12317459	3036563307.09
CR04	1960s	73111.1703487	85	1355079.13377	860.131415867	1165546133.94
CR04	1980s	38789.8858272	56	941210.55709	692.676532628	651954465.158
CR04	2000s	51786.0820975	61	1030832.79033	848.952165534	875127729.651
CR04	1970s	43354.1405764	73	1169051.06422	593.892336662	694290468.207
CR04	1990s	63717.5613103	71	1144781.83261	897.43044099	1027362064.88
CR05	1950s	21626.4366425	26	292676.927279	831.786024713	243444577.867
CR05	<1950	21351.9455861	32	403337.840893	667.248299567	269126488.487
CR05	1960s	13883.2298515	15	135881.628159	925.54865677	125765058.422
CR05	1980s	39464.8945022	51	526527.040664	773.821460828	407437923.772
CR05	2000s	40722.954708	42	390742.00908	969.594159715	378861169.959
CR05	1970s	60482.0676916	86	573854.063213	703.279856879	403580003.446
CR05	1990s	39434.9317433	48	478150.062165	821.561077986	392829480.511
CR06	1950s	8608.7791224	22	227709.555447	391.308141927	89104603.041
CR06	<1950	11921.9270405	36	377497.407043	331.164640014	125013792.91
CR06	1960s	17547.4010871	35	363527.406815	501.354316774	182256034.672
CR06	1980s	12878.5899243	31	305551.552755	415.438384655	126937843.505
CR06	2000s	17650.5484884	43	439633.07109	410.477871824	180459647.404
