Dependency=Federal Poverty Level	thmoth_nrm	Count	Weight	thmoth_nrm_per_home	thmoth_nrm_total
100-150	51470.2229122	581	5788175.80286	88.5890239453	512768844.799
150-200	92755.8091977	674	6074413.04189	137.619894952	835960084.721
250-300	94009.5621794	900	8407236.68936	104.455069088	878178489.228
0-50	19482.2396642	283	2818399.52641	68.8418362692	194023798.739
200-250	49203.7575181	656	6201840.53823	75.0057279239	465173564.038
300+	612259.109465	4294	38453553.1083	142.584794938	5482891984.6
50-100	26250.9289589	394	3944175.13325	66.626723246	262787465.037
