Dependency=Vintage	kwhel_nrm	Count	Weight	kwhel_nrm_per_home	kwhel_nrm_total
1950s	11843218.9323	1120	10340938.3011	10574.3026181	1.09348210952e+11
<1950	14841300.2728	1341	12602862.9745	11067.3380111	1.39480144445e+11
1960s	11387331.2924	947	8691508.30756	12024.6370564	1.04512232871e+11
1980s	14110411.0103	994	9194122.30334	14195.5845174	1.30515940221e+11
2000s	18005891.3599	1154	10794562.1562	15603.0254419	1.68427827957e+11
1970s	15637230.9757	1130	9740232.95462	13838.2575006	1.34787851742e+11
1990s	16864261.1459	1096	10323566.8429	15387.0995857	1.58849751092e+11
