Dependency=Location Region	Dependency=Vintage	kwhel_nrm	Count	Weight	kwhel_nrm_per_home	kwhel_nrm_total
CR01	1950s	37397.7674141	3	32631.672774	12465.9224714	406783902.911
CR01	<1950	3524.06775678	1	9007.728757	3524.06775678	31743846.4743
CR01	1960s	28853.4590791	2	14273.766876	14426.7295395	205923774.23
CR01	1980s	60967.0297287	4	40366.57486	15241.7574322	615257542.384
CR01	2000s	102071.742887	5	55263.474804	20414.3485773	1128167838.24
CR01	1970s	58649.5018	3	29165.371626	19549.8339333	570178171.892
CR01	1990s	29899.0	3	21410.650469	9966.33333333	213385679.458
CR02	1950s	1052792.04302	100	650287.622969	10527.9204302	6846176351.36
CR02	<1950	2161825.77158	176	1134613.30617	12283.1009749	13936569807.1
CR02	1960s	719563.756841	71	457502.445939	10134.7008006	4636650405.12
CR02	1980s	921648.301287	77	464232.827422	11969.4584583	5556615542.79
CR02	2000s	1023738.18009	75	455096.846444	13649.8424012	6212000231.24
CR02	1970s	1348474.89481	106	650638.983355	12721.4612718	8277078628.67
CR02	1990s	1034177.74453	82	498247.54494	12611.9237137	6283860027.34
CR03	1950s	835641.208322	98	561211.587386	8526.95110532	4785423765.38
CR03	<1950	1422472.33532	170	937366.234335	8367.48432539	7843397272.95
CR03	1960s	528496.63276	57	323759.690159	9271.87075017	3001858001.27
CR03	1980s	665796.286773	58	355737.522029	11479.2463237	4083598641.94
CR03	2000s	500999.411834	47	280569.003365	10659.5619539	2990742673.72
CR03	1970s	680627.691425	59	365100.395655	11536.0625665	4211821007.34
CR03	1990s	484485.449165	46	265373.503345	10532.2923731	2794991325.31
CR04	1950s	1093024.33891	119	1885874.16873	9185.07847827	17321902239.9
CR04	<1950	2311837.6248	201	3175912.2546	11501.6797254	36528325588.2
CR04	1960s	984684.574979	85	1355079.13377	11584.5244115	15697947304.7
CR04	1980s	721888.332992	56	941210.55709	12890.8630891	12133016429.5
CR04	2000s	874376.13277	61	1030832.79033	14334.0349634	14775993258.0
CR04	1970s	1019493.15305	73	1169051.06422	13965.6596309	16326569254.0
CR04	1990s	915609.087003	71	1144781.83261	12895.9026338	14762995050.3
CR05	1950s	262603.13325	26	292676.927279	10100.1205096	2956072235.91
CR05	<1950	264314.211373	32	403337.840893	8259.8191054	3331497604.14
CR05	1960s	121415.620636	15	135881.628159	8094.37470907	1099876814.4
CR05	1980s	551379.783448	51	526527.040664	10811.3683029	5692477758.06
CR05	2000s	487342.324802	42	390742.00908	11603.3886858	4533931407.21
CR05	1970s	926821.929098	86	573854.063213	10776.9991756	6184424766.14
CR05	1990s	509234.663631	48	478150.062165	10609.0554923	5072720543.16
CR06	1950s	355306.566315	22	227709.555447	16150.2984689	3677577284.68
CR06	<1950	446160.454639	36	377497.407043	12393.3459622	4678455965.32
CR06	1960s	576166.764832	35	363527.406815	16461.9075666	5984354568.93
CR06	1980s	417780.569492	31	305551.552755	13476.7925643	4117854894.17
CR06	2000s	595917.479672	43	439633.07109	13858.5460389	6092675155.92
CR06	1970s	321462.795146	20	198694.588124	16073.1397573	3193645883.93
CR06	1990s	625918.346723	39	417114.294944	16049.1883775	6694345894.51
CR07	1950s	1419660.12829	159	1848701.76982	8928.68005214	16506466614.6
CR07	<1950	1477515.89466	172	1883019.32456	8590.20868987	16175528965.1
CR07	1960s	1001579.05192	98	1093304.73334	10220.1944074	11173786921.3
CR07	1980s	612516.870165	53	695937.279619	11556.9220786	8042892912.14
CR07	2000s	737488.282842	55	769168.165752	13408.8778699	10313681996.0
CR07	1970s	775865.232858	70	910003.095476	11083.7890408	10086282336.8
CR07	1990s	668361.349378	47	563774.054984	14220.4542421	8017123151.77
CR08	1950s	1873770.88448	153	998366.186576	12246.868526	12226859427.8
CR08	<1950	3001895.44296	225	1605088.65101	13341.7575243	21414703586.7
CR08	1960s	2427354.07809	178	1235776.18569	13636.8206634	16852058224.3
CR08	1980s	2614417.71256	153	1164442.71292	17087.6974677	19897644796.8
CR08	2000s	3342831.28749	195	1360231.69385	17142.7245512	23318077253.5
CR08	1970s	3466437.82847	205	1294267.80474	16909.4528218	21885360383.0
CR08	1990s	3417942.25449	197	1572319.77061	17349.9606827	27279686200.7
CR09	1950s	3279497.29929	233	2241670.80412	14075.0957051	31551731107.4
CR09	<1950	2665651.84633	187	1975861.50459	14254.8227077	28165555442.7
CR09	1960s	3585927.15442	229	2348269.76917	15659.0705433	36771721970.1
CR09	1980s	5875051.92003	344	3261807.20869	17078.6393024	55707228791.2
CR09	2000s	8577538.06449	495	4832219.28946	17328.3597262	83734434123.8
CR09	1970s	4980914.87311	308	2906300.78009	16171.8015361	47000119419.8
CR09	1990s	6925557.12296	382	3756866.94791	18129.7306884	68110985997.7
CR10	1950s	130886.994303	14	170307.60276	9349.07102167	1592217873.73
CR10	<1950	72144.9447199	6	77936.272592	12024.1574533	937118012.971
CR10	1960s	215573.376019	14	142118.273691	15398.0982871	2188351146.68
CR10	1980s	612508.919326	42	498876.02434	14583.5456982	7275381298.72
CR10	2000s	705289.901256	52	552280.192386	13563.2673319	7490723891.42
CR10	1970s	640380.201582	46	495644.347124	13921.30873	6900017976.61
CR10	1990s	1091899.41569	69	761608.608491	15824.629213	12052173834.8
CR11	1950s	1484558.05227	190	1407645.84141	7813.46343302	10998589308.5
CR11	<1950	1003006.9802	134	1015270.92889	7485.1267179	7599431555.72
CR11	1960s	1155330.29282	158	1182257.67041	7312.21704315	8644924686.99
CR11	1980s	1031009.28453	121	904026.366109	8520.73788871	7702971710.1
CR11	2000s	1044042.50778	83	615735.737318	12578.8253949	7745232329.15
CR11	1970s	1371016.00139	148	1103939.74335	9263.62163102	10226480085.9
CR11	1990s	1119863.71213	108	813930.61364	10369.1084457	8439734800.1
CR12	1950s	18080.5164493	3	23854.561843	6026.83881643	143767599.264
CR12	<1950	10950.6984925	1	7951.521036	10950.6984925	87074709.4222
CR12	1960s	42386.5300035	5	39757.603542	8477.30600071	337037371.08
CR12	1980s	25446.0	4	35406.636848	6361.5	225239320.309
CR12	2000s	14256.0439858	1	12789.88236	14256.0439858	182333125.498
CR12	1970s	47086.8729257	6	43572.717639	7847.81215428	341950503.082
CR12	1990s	41313.0002172	4	29988.958841	10328.2500543	309733465.778
