Dependency=Heating Fuel	thm_nrm	Count	Weight	thm_nrm_per_home	thm_nrm_total
Electricity	280709.08	2218	20000706.0601	126.559549143	2531280341.52
Fuel Oil	15328.1	565	4677226.63479	27.129380531	126890261.205
Natural Gas	3418589.01	4138	38479216.6155	826.145241663	31789421709.8
None	38377.26	181	1375948.07397	212.029060773	291740977.797
Other Fuel	25427.36	304	2869467.63026	83.6426315789	240009823.825
Propane/LPG	1850.17	397	4433138.17897	4.66037783375	20660098.9033
