Dependency=Vintage	thmng_nrm	Count	Weight	thmng_nrm_per_home	thmng_nrm_total
1950s	626787.923446	1120	10340938.3011	559.632074505	5787120753.79
<1950	810359.375313	1341	12602862.9745	604.294836177	7615845016.51
1960s	490968.410467	947	8691508.30756	518.44605118	4506078160.85
1980s	394409.790171	994	9194122.30334	396.790533371	3648140692.63
2000s	505315.610473	1154	10794562.1562	437.881811502	4726742431.34
1970s	463446.340714	1130	9740232.95462	410.129505056	3994756920.81
1990s	484346.650115	1096	10323566.8429	441.922126018	4562212607.32
