Dependency=Location Region	kwhel_nrm	Count	Weight	kwhel_nrm_per_home	kwhel_nrm_total
CR01	321362.568665	21	202119.240166	15302.9794602	3093026580.78
CR02	8262220.69216	687	4310619.57724	12026.5221138	51841761669.6
CR03	5118519.01559	535	3089117.93627	9567.32526279	29554596071.5
CR04	7920913.24451	666	10702741.8013	11893.2631299	1.27290524455e+11
CR05	3123111.66624	300	2801169.57145	10410.3722208	29161217892.4
CR06	3338712.97682	226	2329727.87622	14773.0662691	34417224304.4
CR07	6692986.81012	654	7763908.42356	10233.9247861	79455254853.0
CR08	20144649.4885	1306	9230493.00539	15424.6933297	1.4237752389e+11
CR09	35890138.2806	2178	21322996.304	16478.4840591	3.51370654687e+11
CR10	3468683.7529	243	2698771.32138	14274.4187362	38523391914.7
CR11	8208826.83113	942	7042806.90114	8714.25353623	61372804943.2
CR12	199519.662074	24	193321.882109	8313.31925309	1607146524.58
