Dependency=Geometry House Size	thmng_nrm	Count	Weight	thmng_nrm_per_home	thmng_nrm_total
3500+	670509.094883	913	8095301.73995	734.402075447	5945206399.18
2500-3499	755980.016944	1268	11473728.545	596.198751533	6840622633.97
1500-2499	1356104.34697	2942	27153438.9205	460.946412974	12516280270.3
0-1499	993040.641902	2659	24965324.6348	373.463949568	9323648740.36
