Dependency=Location Region	Dependency=Federal Poverty Level	thmng_nrm	Count	Weight	thmng_nrm_per_home	thmng_nrm_total
CR01	150-200	25.63	3	34336.856964	8.54333333333	293351.214662
CR01	250-300	0.0	1	13046.40491	0.0	0.0
CR01	0-50	411.472749072	1	11795.05168	411.472749072	4853342.34022
CR01	300+	22656.8717132	15	133933.197855	1510.45811421	202300485.463
CR01	50-100	0.0	1	9007.728757	0.0	0.0
CR02	100-150	24661.3997483	40	259554.663779	616.534993707	160024533.0
CR02	150-200	25562.73667	57	354243.426548	448.469064385	158867218.069
CR02	250-300	55707.526723	99	644497.607567	562.702290131	362660279.762
CR02	0-50	13950.6834862	14	89383.130156	996.477391868	89068268.4148
CR02	200-250	33746.7484583	48	279103.303916	703.057259547	196225603.982
CR02	300+	295280.302074	407	2530399.00624	725.504427699	1835815682.88
CR02	50-100	16060.50929	22	153438.439024	730.023149545	112013612.518
CR03	100-150	8597.27270468	18	113734.891073	477.626261371	54322770.8107
CR03	150-200	10177.1235757	46	265735.214586	221.241816863	58791741.6796
CR03	250-300	11714.6114673	47	297621.017114	249.247052495	74181161.2763
CR03	0-50	2033.4924716	8	42004.550465	254.18655895	10676992.1429
CR03	200-250	9217.45233037	24	131590.398066	384.060513765	50538675.8878
CR03	300+	136020.597703	384	2188621.06278	354.220306519	775254023.712
CR03	50-100	5323.63029677	8	49810.802186	665.453787096	33146786.953
CR04	100-150	44697.838993	57	970235.272717	784.172613912	760831929.916
CR04	150-200	50549.7042418	51	794217.56397	991.170671407	787205156.124
CR04	250-300	62120.7101148	77	1235428.87999	806.762469024	996697653.524
CR04	0-50	21675.3672014	31	476504.65642	699.205393592	333174625.841
CR04	200-250	48856.0804972	60	957492.32415	814.268008286	779655367.735
CR04	300+	310461.846278	344	5597949.80379	902.505367086	5052179742.6
CR04	50-100	38415.8555073	46	670913.300309	835.127293637	560298008.752
CR05	100-150	10523.2391179	16	187248.433866	657.702444871	123153752.752
CR05	150-200	18484.6927811	26	352061.643028	710.949722349	250298127.361
CR05	250-300	23474.505464	33	331332.081518	711.348650423	235692629.03
