Dependency=Location Region	Dependency=Heating Fuel	thmoth_nrm	Count	Weight	thmoth_nrm_per_home	thmoth_nrm_total
CR01	Natural Gas	0.0	13	99432.330675	0.0	0.0
CR01	Electricity	0.0	4	52694.766164	0.0	0.0
CR01	Other Fuel	329.567738271	3	35100.538577	109.855912757	3856001.70364
CR01	Fuel Oil	399.401354196	1	14891.60475	399.401354196	5947727.10331
CR02	Propane/LPG	84551.4862205	93	725247.369805	909.155765812	659362827.898
CR02	Natural Gas	2462.45023341	466	2776430.13792	5.28422796869	14671289.7879
CR02	Electricity	6030.1112813	68	373228.347509	88.6781070779	33097183.3649
CR02	Other Fuel	5467.78550853	29	221603.254188	188.54432788	41782036.617
CR02	Fuel Oil	21330.863211	31	214110.467817	688.092361644	147327777.453
CR03	Propane/LPG	8409.77940423	11	89328.522891	764.525400384	68293924.729
CR03	Natural Gas	228.59	144	751183.783325	1.58743055556	1192452.09049
CR03	Electricity	473.145720593	21	104325.613376	22.5307485996	2350534.16748
CR03	Other Fuel	21593.7042124	49	323494.789371	440.687841069	142560220.325
CR03	Fuel Oil	329361.745984	310	1820785.22731	1062.45724511	1934506456.54
CR04	None	0.0	2	34488.78435	0.0	0.0
CR04	Propane/LPG	31016.9661101	35	759482.33306	886.199031716	673052508.164
CR04	Natural Gas	557.795346171	524	8218715.99743	1.06449493544	8748781.55509
CR04	Electricity	2993.12496933	76	1210257.38505	39.3832232807	47663836.8225
CR04	Other Fuel	2804.57147326	16	267432.81382	175.285717079	46877152.5408
CR04	Fuel Oil	7323.55904364	13	212364.48764	563.350695665	119635681.847
CR05	None	535.19	1	16134.27176	535.19	8634900.90323
CR05	Propane/LPG	19858.1482886	21	234765.266365	945.626108981	222000165.357
CR05	Natural Gas	888.785982901	240	2109061.12667	3.70327492875	7810433.19359
CR05	Electricity	549.37	30	354810.017687	18.3123333333	6497399.31389
CR05	Other Fuel	379.944629699	8	86398.888975	47.4930787123	4103349.23475
CR06	Propane/LPG	2163.87944651	5	48819.627606	432.775889301	21127957.7525
CR06	Natural Gas	1154.84870903	104	1129100.37941	11.1043145099	12537885.7261
CR06	Electricity	2437.66197809	90	910199.428031	27.0851330899	24652872.6465
CR06	Other Fuel	883.486000477	19	169633.001159	46.499263183	7887809.56542
CR06	Fuel Oil	4798.34616276	8	71975.440017	599.793270345	43170384.5523
CR07	Propane/LPG	17920.2430724	21	423553.13242	853.344908208	361436908.906
CR07	Natural Gas	1128.2784307	394	4507682.30235	2.86365083934	12908428.2086
CR07	Electricity	2410.14888195	50	672922.189163	48.202977639	32436853.237
CR07	Other Fuel	4699.1821152	31	396842.140387	151.586519845	60155918.9892
CR07	Fuel Oil	157563.808208	158	1762908.65924	997.239292457	1758041784.01
CR08	Propane/LPG	52337.3413575	84	627462.998601	623.063587589	390949346.988
CR08	Natural Gas	1612.28242287	684	4190940.14981	2.35713804514	9878624.472
CR08	Electricity	13280.4234042	441	3453372.5778	30.114338785	103996031.759
CR08	Other Fuel	7359.92191266	64	510345.032482	114.998779885	58689056.056
CR08	Fuel Oil	22926.5117781	33	448372.246698	694.742781156	311503381.664
CR09	None	170.82	53	396096.523567	3.22301886792	1276626.56898
CR09	Propane/LPG	40643.1061055	90	1194372.52008	451.590067839	539366767.368
CR09	Natural Gas	136.29	787	8175791.39988	0.173176620076	1415855.92108
CR09	Electricity	26467.2622233	1209	11010872.9689	21.8918628812	241048521.237
CR09	Other Fuel	1882.19212258	33	455633.267561	57.0361249267	25987555.9694
CR09	Fuel Oil	3246.15865353	6	90229.62402	541.026442255	48816612.4695
CR10	None	0.0	4	46998.05506	0.0	0.0
CR10	Propane/LPG	5288.31321357	9	128503.709032	587.590357063	75507540.274
CR10	Natural Gas	0.0	135	1536425.17163	0.0	0.0
CR10	Electricity	1143.02739816	84	860809.118144	13.6074690257	11713433.4122
CR10	Other Fuel	1478.80289455	8	99669.823622	184.850361818	18424002.9589
CR10	Fuel Oil	1263.15254487	3	26365.4439	421.05084829	11101192.5196
CR11	None	115.79	89	641431.198861	1.30101123596	834509.19681
CR11	Propane/LPG	13976.3935416	28	201602.699113	499.156912199	100631380.78
CR11	Natural Gas	507.38	635	4888378.88013	0.799023622047	3905930.19874
CR11	Electricity	2272.54998	145	997213.648292	15.6727584828	15629088.6654
CR11	Other Fuel	4868.08652233	43	298957.041346	113.211314473	33845319.6217
CR11	Fuel Oil	1446.64081372	2	15223.43339	723.320406861	11011420.0335
CR12	None	303.21329	23	180531.999749	13.1831865217	2379987.02583
CR12	Natural Gas	0.0	1	12789.88236	0.0	0.0
