Dependency=Vintage	thmoth_nrm	Count	Weight	thmoth_nrm_per_home	thmoth_nrm_total
1950s	149011.92787	1120	10340938.3011	133.046364169	1375824243.06
<1950	270602.907498	1341	12602862.9745	201.791877329	2543155379.33
1960s	86106.4878646	947	8691508.30756	90.9255415676	790280099.905
1980s	95008.7035497	994	9194122.30334	95.5821967301	878794406.759
2000s	115117.963778	1154	10794562.1562	99.7556011945	1076818037.53
1970s	119757.908175	1130	9740232.95462	105.980449712	1032274268.83
1990s	109825.731161	1096	10323566.8429	100.205959089	1034482916.72
