Dependency=Geometry House Size	kwhel_nrm	Count	Weight	kwhel_nrm_per_home	kwhel_nrm_total
3500+	17111008.3565	913	8095301.73995	18741.5206534	1.51718264755e+11
2500-3499	18414442.5488	1268	11473728.545	14522.4310322	1.66626431477e+11
1500-2499	38902990.7067	2942	27153438.9205	13223.3143123	3.59058457505e+11
0-1499	28261203.3774	2659	24965324.6348	10628.5082277	2.65344158287e+11
