Dependency=Heating Fuel	thmoth_nrm	Count	Weight	thmoth_nrm_per_home	thmoth_nrm_total
None	1125.01329	172	1315680.83335	6.54077494186	8605572.22624
Propane/LPG	276165.65676	397	4433138.17897	695.63137723	3083830016.89
Natural Gas	8676.70112508	4127	38395931.5416	2.10242334022	80724502.6424
Electricity	58056.8258369	2218	20000706.0601	26.1753047056	523524575.45
Other Fuel	51747.2451299	303	2865110.59149	170.782987227	489312145.551
Fuel Oil	549660.187754	565	4677226.63479	972.849889829	4550239416.36
