Dependency=Location Census Tract	Option=Mountain - Pacific	Option=New England	Option=South Atlantic - East South Central	Option=West North Central	Count	Weight
G0400250002001	0.0	0.0	0.0	1.0	1	2840.9549896
G0600370462800	0.0	0.0	1.0	0.0	1	2364.585097
G0600850502603	0.0	0.0	1.0	0.0	1	2150.7255443
G1200990006909	0.0	0.0	0.0	1.0	1	2840.9549896
G1800290080202	0.0	0.0	1.0	0.0	1	4084.3101178
G2901830311001	0.0	0.0	0.0	1.0	1	2428.3546916
G3400290725001	0.0	0.0	1.0	0.0	1	2213.7894038
G3600470004900	0.0	1.0	0.0	0.0	1	2918.3270871
G3601190012400	1.0	0.0	0.0	0.0	1	2552.7622409
G4802010231400	0.0	0.0	1.0	0.0	1	2150.5923621
G0100010020100	0.25	0.25	0.25	0.25	0	0.0
G0100010020200	0.25	0.25	0.25	0.25	0	0.0
G0100010020300	0.25	0.25	0.25	0.25	0	0.0
G0100010020400	0.25	0.25	0.25	0.25	0	0.0
G0100010020500	0.25	0.25	0.25	0.25	0	0.0
G0100010020600	0.25	0.25	0.25	0.25	0	0.0
G0100010020700	0.25	0.25	0.25	0.25	0	0.0
G0100010020801	0.25	0.25	0.25	0.25	0	0.0
G0100010020802	0.25	0.25	0.25	0.25	0	0.0
G0100010020900	0.25	0.25	0.25	0.25	0	0.0
G0100010021000	0.25	0.25	0.25	0.25	0	0.0
G0100010021100	0.25	0.25	0.25	0.25	0	0.0
G0100030010100	0.25	0.25	0.25	0.25	0	0.0
G0100030010200	0.25	0.25	0.25	0.25	0	0.0
G0100030010300	0.25	0.25	0.25	0.25	0	0.0
G0100030010400	0.25	0.25	0.25	0.25	0	0.0
G0100030010500	0.25	0.25	0.25	0.25	0	0.0
G0100030010600	0.25	0.25	0.25	0.25	0	0.0
G0100030010701	0.25	0.25	0.25	0.25	0	0.0
G0100030010703	0.25	0.25	0.25	0.25	0	0.0
G0100030010704	0.25	0.25	0.25	0.25	0	0.0
G0100030010705	0.25	0.25	0.25	0.25	0	0.0
G0100030010800	0.25	0.25	0.25	0.25	0	0.0
G0100030010903	0.25	0.25	0.25	0.25	0	0.0
G0100030010904	0.25	0.25	0.25	0.25	0	0.0
G0100030010905	0.25	0.25	0.25	0.25	0	0.0
G0100030010906	0.25	0.25	0.25	0.25	0	0.0
G0100030011000	0.25	0.25	0.25	0.25	0	0.0
G0100030011101	0.25	0.25	0.25	0.25	0	0.0
G0100030011102	0.25	0.25	0.25	0.25	0	0.0
G0100030011201	0.25	0.25	0.25	0.25	0	0.0
G0100030011202	0.25	0.25	0.25	0.25	0	0.0
G0100030011300	0.25	0.25	0.25	0.25	0	0.0
G0100030011401	0.25	0.25	0.25	0.25	0	0.0
G0100030011403	0.25	0.25	0.25	0.25	0	0.0
G0100030011405	0.25	0.25	0.25	0.25	0	0.0
G0100030011406	0.25	0.25	0.25	0.25	0	0.0
G0100030011407	0.25	0.25	0.25	0.25	0	0.0
G0100030011408	0.25	0.25	0.25	0.25	0	0.0
G0100030011501	0.25	0.25	0.25	0.25	0	0.0
G0100030011502	0.25	0.25	0.25	0.25	0	0.0
G0100030011601	0.25	0.25	0.25	0.25	0	0.0
G0100030011602	0.25	0.25	0.25	0.25	0	0.0
G0100030990000	0.25	0.25	0.25	0.25	0	0.0
G0100050950100	0.25	0.25	0.25	0.25	0	0.0
G0100050950200	0.25	0.25	0.25	0.25	0	0.0
G0100050950300	0.25	0.25	0.25	0.25	0	0.0
G0100050950400	0.25	0.25	0.25	0.25	0	0.0
G0100050950500	0.25	0.25	0.25	0.25	0	0.0
G0100050950600	0.25	0.25	0.25	0.25	0	0.0
G0100050950700	0.25	0.25	0.25	0.25	0	0.0
G0100050950800	0.25	0.25	0.25	0.25	0	0.0
G0100050950900	0.25	0.25	0.25	0.25	0	0.0
