Dependency=Location EPW	Option=Pier & Beam	Option=Unheated Basement	Option=Heated Basement	Option=Crawl	Option=Slab
1012278_United_States_FL_Monroe_12087_722010_24.57_-81.74_NSRDB_2.0.1_2011_AMY.epw	0	0.0	0.0	0.05	0.95
1044560_United_States_FL_Miami-Dade_12086_722020_25.81_-80.3_NSRDB_2.0.1_2011_AMY.epw	0	0.0	0.0	0.05	0.95
1048979_United_States_FL_Palm_Beach_12099_722030_26.69_-80.1_NSRDB_2.0.1_2011_AMY.epw	0	0.0	0.0	0.05	0.95
1020908_United_States_FL_Orange_12095_722050_28.45_-81.34_NSRDB_2.0.1_2011_AMY.epw	0	0.0	0.0	0.05	0.95
1027864_United_States_FL_Volusia_12127_747870_29.17_-81.06_NSRDB_2.0.1_2011_AMY.epw	0	0.0	0.0	0.05	0.95
1013666_United_States_FL_Duval_12031_722060_30.49_-81.7_NSRDB_2.0.1_2011_AMY.epw	0	0.0	0.0	0.05	0.95
1024834_United_States_GA_Chatham_13051_722070_32.13_-81.18_NSRDB_2.0.1_2011_AMY.epw	0	0.23	0.16	0.23	0.38
1050718_United_States_SC_Charleston_45019_722080_32.89_-80.02_NSRDB_2.0.1_2011_AMY.epw	0	0.06	0.03	0.62	0.29
0957319_United_States_FL_Leon_12073_722140_30.37_-84.38_NSRDB_2.0.1_2011_AMY.epw	0	0.0	0.0	0.05	0.95
0972837_United_States_GA_Bibb_13021_722170_32.69_-83.66_NSRDB_2.0.1_2011_AMY.epw	0	0.23	0.16	0.23	0.38
1007559_United_States_GA_Richmond_13245_722180_33.37_-81.98_NSRDB_2.0.1_2011_AMY.epw	0	0.23	0.16	0.23	0.38
0956302_United_States_GA_Clayton_13063_722190_33.65_-84.42_NSRDB_2.0.1_2011_AMY.epw	0	0.23	0.16	0.23	0.38
0876146_United_States_AL_Mobile_01097_722230_30.69_-88.26_NSRDB_2.0.1_2011_AMY.epw	0	0.06	0.05	0.31	0.58
0945611_United_States_GA_Muscogee_13215_722250_32.53_-84.94_NSRDB_2.0.1_2011_AMY.epw	0	0.23	0.16	0.23	0.38
0915204_United_States_AL_Montgomery_01101_722260_32.29_-86.42_NSRDB_2.0.1_2011_AMY.epw	0	0.06	0.05	0.31	0.58
0909107_United_States_AL_Jefferson_01073_722280_33.57_-86.74_NSRDB_2.0.1_2011_AMY.epw	0	0.06	0.05	0.31	0.58
0830233_United_States_LA_Jefferson_22051_722310_30.01_-90.26_NSRDB_2.0.1_2011_AMY.epw	0	0.03	0.01	0.01	0.95
0809786_United_States_LA_East_Baton_Rouge_22033_722320_30.53_-91.14_NSRDB_2.0.1_2011_AMY.epw	0	0.03	0.01	0.01	0.95
0865865_United_States_MS_Lauderdale_28075_722340_32.33_-88.74_NSRDB_2.0.1_2011_AMY.epw	0	0.01	0.01	0.05	0.93
0834407_United_States_MS_Rankin_28121_722350_32.33_-90.1_NSRDB_2.0.1_2011_AMY.epw	0	0.01	0.01	0.05	0.93
0766075_United_States_LA_Calcasieu_22019_722400_30.13_-93.22_NSRDB_2.0.1_2011_AMY.epw	0	0.03	0.01	0.01	0.95
0749293_United_States_TX_Jefferson_48245_722410_29.97_-94.02_NSRDB_2.0.1_2011_AMY.epw	0	0.01	0.01	0.0	0.98
0721297_United_States_TX_Harris_48201_722430_30.01_-95.38_NSRDB_2.0.1_2011_AMY.epw	0	0.01	0.01	0.0	0.98
0734649_United_States_TX_Angelina_48005_747500_31.25_-94.74_NSRDB_2.0.1_2011_AMY.epw	0	0.01	0.01	0.0	0.98
0753608_United_States_LA_Caddo_22017_722480_32.45_-93.82_NSRDB_2.0.1_2011_AMY.epw	0	0.03	0.01	0.01	0.95
0673801_United_States_TX_Cameron_48061_722500_25.89_-97.42_NSRDB_2.0.1_2011_AMY.epw	0	0.01	0.01	0.0	0.98
0667846_United_States_TX_San_Patricio_48409_722510_27.89_-97.62_NSRDB_2.0.1_2011_AMY.epw	0	0.01	0.01	0.0	0.98
0645548_United_States_TX_Bexar_48029_722530_29.53_-98.46_NSRDB_2.0.1_2011_AMY.epw	0	0.01	0.01	0.0	0.98
0664421_United_States_TX_Travis_48453_722540_30.29_-97.74_NSRDB_2.0.1_2011_AMY.epw	0	0.01	0.01	0.0	0.98
