Dependency=Location EPW	Option=72F	Option=73F	Option=74F	Option=75F	Option=76F	Option=77F
1012278_US_FL_Monroe_12087_0-20000-0-72201_24.57_-81.74_NSRDB_2.0.1_AMY.epw	0	0	0	0	0	1
1044560_US_FL_Miami-Dade_12086_0-20001-0-72202_25.81_-80.3_NSRDB_2.0.1_AMY.epw	0	0	0	0	0	1
1048979_US_FL_Palm_Beach_12099_0-20000-0-72203_26.69_-80.1_NSRDB_2.0.1_AMY.epw	0	0	0	0	1	0
1020908_US_FL_Orange_12095_0-20000-0-72205_28.45_-81.34_NSRDB_2.0.1_AMY.epw	0	0	0	1	0	0
1027864_US_FL_Volusia_12127_0-20000-0-74787_29.17_-81.06_NSRDB_2.0.1_AMY.epw	0	0	0	1	0	0
1013666_US_FL_Duval_12031_0-20000-0-72206_30.49_-81.7_NSRDB_2.0.1_AMY.epw	0	0	1	0	0	0
1024834_US_GA_Chatham_13051_0-20000-0-72207_32.13_-81.18_NSRDB_2.0.1_AMY.epw	0	0	1	0	0	0
1050718_US_SC_Charleston_45019_0-20000-0-72208_32.89_-80.02_NSRDB_2.0.1_AMY.epw	0	0	1	0	0	0
0957319_US_FL_Leon_12073_0-20000-0-72214_30.37_-84.38_NSRDB_2.0.1_AMY.epw	0	0	1	0	0	0
0972837_US_GA_Bibb_13021_0-20000-0-72217_32.69_-83.66_NSRDB_2.0.1_AMY.epw	0	0	1	0	0	0
1007559_US_GA_Richmond_13245_0-20000-0-72218_33.37_-81.98_NSRDB_2.0.1_AMY.epw	0	0	1	0	0	0
0956302_US_GA_Fulton_13121_0-20000-0-72219_33.65_-84.42_NSRDB_2.0.1_AMY.epw	0	0	1	0	0	0
0876146_US_AL_Mobile_1097_0-20000-0-72223_30.69_-88.26_NSRDB_2.0.1_AMY.epw	0	0	1	0	0	0
0945611_US_GA_Muscogee_13215_0-20000-0-72225_32.53_-84.94_NSRDB_2.0.1_AMY.epw	0	0	1	0	0	0
0915204_US_AL_Montgomery_1101_0-20000-0-72226_32.29_-86.42_NSRDB_2.0.1_AMY.epw	0	0	1	0	0	0
0909107_US_AL_Jefferson_1073_0-20000-0-72228_33.57_-86.74_NSRDB_2.0.1_AMY.epw	0	0	1	0	0	0
0830233_US_LA_Jefferson_22051_0-20000-0-72231_30.01_-90.26_NSRDB_2.0.1_AMY.epw	0	0	0	1	0	0
0809786_US_LA_East_Baton_Rouge_22033_0-20000-0-72232_30.53_-91.14_NSRDB_2.0.1_AMY.epw	0	0	0	1	0	0
0865865_US_MS_Lauderdale_28075_0-20000-0-72234_32.33_-88.74_NSRDB_2.0.1_AMY.epw	0	0	1	0	0	0
0834407_US_MS_Rankin_28121_0-20000-0-72235_32.33_-90.1_NSRDB_2.0.1_AMY.epw	0	0	1	0	0	0
0766075_US_LA_Calcasieu_22019_0-20000-0-72240_30.13_-93.22_NSRDB_2.0.1_AMY.epw	0	0	0	1	0	0
0749293_US_TX_Jefferson_48245_0-20000-0-72241_29.97_-94.02_NSRDB_2.0.1_AMY.epw	0	0	0	1	0	0
0721297_US_TX_Harris_48201_0-20000-0-72243_30.01_-95.38_NSRDB_2.0.1_AMY.epw	0	0	0	1	0	0
0734649_US_TX_Angelina_48005_0-20000-0-72247_31.25_-94.74_NSRDB_2.0.1_AMY.epw	0	0	1	0	0	0
0753608_US_LA_Caddo_22017_0-20000-0-72248_32.45_-93.82_NSRDB_2.0.1_AMY.epw	0	0	1	0	0	0
0673801_US_TX_Cameron_48061_0-20000-0-72250_25.89_-97.42_NSRDB_2.0.1_AMY.epw	0	0	0	0	1	0
0667846_US_TX_Nueces_48355_0-20000-0-72251_27.89_-97.62_NSRDB_2.0.1_AMY.epw	0	0	0	1	0	0
0645548_US_TX_Bexar_48029_0-20000-0-72253_29.53_-98.46_NSRDB_2.0.1_AMY.epw	0	0	0	1	0	0
0664421_US_TX_Travis_48453_0-20000-0-72254_30.29_-97.74_NSRDB_2.0.1_AMY.epw	0	0	0	1	0	0
0685917_US_TX_Victoria_48469_0-20000-0-72255_28.85_-96.94_NSRDB_2.0.1_AMY.epw	0	0	0	1	0	0
0678744_US_TX_McLennan_48309_0-20000-0-72256_31.61_-97.22_NSRDB_2.0.1_AMY.epw	0	0	0	1	0	0
0684122_US_TX_Dallas_48113_0-20000-0-72259_32.89_-97.02_NSRDB_2.0.1_AMY.epw	0	0	0	1	0	0
0590027_US_TX_Tom_Green_48451_0-20000-0-72263_31.37_-100.5_NSRDB_2.0.1_AMY.epw	0	0	1	0	0	0
0544930_US_TX_Midland_48329_0-20000-0-72265_31.97_-102.18_NSRDB_2.0.1_AMY.epw	0	0	1	0	0	0
0610784_US_TX_Taylor_48441_0-20000-0-72266_32.45_-99.7_NSRDB_2.0.1_AMY.epw	0	0	1	0	0	0
0554069_US_TX_Lubbock_48303_0-20000-0-72267_33.65_-101.82_NSRDB_2.0.1_AMY.epw	0	0	1	0	0	0
0434720_US_TX_El_Paso_48141_0-20000-0-72270_31.77_-106.5_NSRDB_2.0.1_AMY.epw	0	0	1	0	0	0
0335177_US_AZ_Pima_4019_0-20000-0-72274_32.13_-110.94_NSRDB_2.0.1_AMY.epw	0	0	0	1	0	0
0312258_US_AZ_Maricopa_4013_0-20000-0-74626_33.45_-111.98_NSRDB_2.0.1_AMY.epw	0	0	0	0	0	1
