Dependency=Census Tract	Option=<1950	Option=1950s	Option=1960s	Option=1970s	Option=1980s	Option=1990s	Option=2000s	Count	Weight
G0100010020200	1.15730337079	4.23595505618	0.887640449438	1.0	1.23595505618	1.89887640449	2.37078651685	1	89.0
G0100050950500	1.29213483146	5.0	0.820224719101	1.37078651685	0.85393258427	4.08988764045	3.02247191011	1	89.0
G0100030010704	7.42105263158	14.4210526316	1.42105263158	5.63157894737	1.89473684211	15.4210526316	19.7894736842	1	19.0
G4804530001748	7.34693877551	13.8979591837	1.14285714286	2.14285714286	1.24489795918	6.71428571429	5.42857142857	1	49.0
G0100030011405	2.02469135802	3.82716049383	1.22222222222	2.03703703704	0.888888888889	4.13580246914	6.43209876543	1	81.0
G0100030011408	3.55813953488	4.37209302326	2.41860465116	3.74418604651	2.39534883721	4.83720930233	4.6976744186	1	43.0
G0100090050400	3.01123595506	6.40449438202	2.07865168539	2.44943820225	1.50561797753	4.06741573034	3.93258426966	1	89.0
G0100050950800	2.42857142857	7.26530612245	3.42857142857	2.36734693878	2.75510204082	4.85714285714	3.08163265306	1	49.0
G0100090050300	8.16	19.88	9.68	9.4	3.44	18.56	15.96	1	25.0
G0600770003305	2.13559322034	12.0677966102	2.28813559322	1.74576271186	10.6610169492	8.76271186441	1.69491525424	1	59.0
G4804530001786	7.06349206349	18.8174603175	0.611111111111	0.412698412698	0.373015873016	2.96825396825	1.31746031746	1	126.0
G0600770004104	1.38947368421	0.926315789474	0.431578947368	0.421052631579	0.378947368421	2.08421052632	1.15789473684	1	95.0
G4804530001851	7.65189873418	14.7974683544	0.46835443038	0.462025316456	0.879746835443	3.5	1.50632911392	1	158.0
G0100030011403	4.07301587302	5.17777777778	0.374603174603	0.526984126984	0.231746031746	2.52380952381	0.965079365079	1	315.0
G0100250958001	6.33333333333	3.77777777778	3.38888888889	4.77777777778	4.94444444444	8.88888888889	8.11111111111	1	18.0
G0600770004204	5.42105263158	22.1052631579	8.28947368421	3.86842105263	7.47368421053	5.84210526316	2.10526315789	1	38.0
G0100030011101	2.3	5.69230769231	0.615384615385	1.76153846154	0.646153846154	5.42307692308	2.46923076923	1	130.0
G0100090050700	3.04494382022	8.21348314607	1.65168539326	3.47191011236	1.78651685393	6.98876404494	7.0	1	89.0
G0100310011100	1.23728813559	4.42372881356	1.08474576271	1.81355932203	3.0	5.1186440678	4.13559322034	1	59.0
G0100330020802	18.8571428571	49.5714285714	17.8571428571	18.4285714286	27.5714285714	48.2857142857	37.8571428571	1	7.0
G0600770004305	3.48888888889	23.6222222222	0.955555555556	2.37777777778	1.33333333333	6.48888888889	4.51111111111	1	45.0
G0100230956900	10.2352941176	12.7647058824	12.5294117647	11.4705882353	8.58823529412	22.0	22.7058823529	1	17.0
G0100150000700	2.8152173913	9.86956521739	1.71739130435	1.95652173913	1.42391304348	3.32608695652	2.03260869565	1	92.0
G0100150002103	2.3724137931	8.1724137931	1.04827586207	1.64137931034	0.648275862069	3.00689655172	2.35172413793	1	145.0
G0100410963700	3.33333333333	13.3921568627	4.45098039216	3.60784313725	1.25490196078	6.64705882353	4.49019607843	1	51.0
G0600770005108	2.65384615385	18.2307692308	2.96153846154	2.69230769231	2.07692307692	7.98076923077	3.73076923077	1	52.0
