Dependency=Census Tract	Option=<$10,000	Option=$10,000-14,999	Option=$15,000-19,999	Option=$20,000-24,999	Option=$25,000-29,999	Option=$30,000-34,999	Option=$35,000-39,999	Option=$40,000-44,999	Option=$45,000-49,999	Option=$50,000-59,999	Option=$60,000-74,999	Option=$75,000-99,999	Option=$100,000-124,999	Option=$125,000-149,999	Option=$150,000-199,999	Option=$200,000+	Count	Weight
G0100010020200	0.0			0.0	0.0	0.0		0.0			0.0	0.0	0.0	0.0	0.0	0.0	1	0.0
G0100050950500	0.0	0.0	0.0	0.0	0.0	0.0					0.0	0.0	0.0	0.0	0.0	0.0	1	0.0
G0100030010704	0.0	0.0	0.0	0.0	0.0	0.0					0.0	0.0	0.0	0.0	0.0	0.0	1	0.0
G4804530001748	0.0	0.0	0.0	0.0	0.0	0.0				0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.0
G0100030011405	0.0	0.0	0.0	0.0	0.0			0.0			0.0	0.0	0.0	0.0	0.0	0.0	1	0.0
G0100030011408			0.0	0.0	0.0						0.0	0.0	0.0	0.0	0.0	0.0	1	0.0
G0100090050400	0.0	0.0	0.0	0.0	0.0						0.0	0.0	0.0	0.0	0.0	0.0	1	0.0
G0100050950800	0.0	0.0	0.0	0.0	0.0	0.0					0.0	0.0	0.0	0.0	0.0	0.0	1	0.0
G0100090050300	0.0	0.0		0.0	0.0						0.0	0.0	0.0	0.0	0.0	0.0	1	0.0
G0600770003305			0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.0
G4804530001786	0.0	0.0	0.0	0.0	0.0	0.0		0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.0
G0600770004104	0.0	0.0	0.0	0.0	0.0			0.0			0.0	0.0	0.0	0.0	0.0	0.0	1	0.0
G4804530001851	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.0
G0100030011403	1.12371134021	0.577319587629	1.01030927835	474.886597938	563.494845361	434.463917526	0.0	0.0	0.0	135.051546392	1.44329896907	1.14432989691	1.14432989691	0.917525773196	0.917525773196	0.917525773196	1	97.0
G0100250958001				0.0	0.0	0.0					0.0	0.0	0.0	0.0	0.0	0.0	1	0.0
G0600770004204	0.0	0.0	0.0	0.0	0.0					0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.0
G0100030011101	7.61538461538	4.15384615385	2.84615384615	1619.94871795	1627.46153846	136.846153846	0.0	0.0	0.0	0.0	2.51282051282	2.28205128205	2.28205128205	2.28205128205	2.28205128205	2.28205128205	1	39.0
G0100090050700	0.0	0.0	0.0	0.0	0.0						0.0	0.0	0.0	0.0	0.0	0.0	1	0.0
G0100310011100	0.0	0.0		0.0	0.0	0.0					0.0	0.0	0.0	0.0	0.0	0.0	1	0.0
G0100330020802	0.0	0.0		0.0	0.0	0.0					0.0	0.0	0.0	0.0	0.0	0.0	1	0.0
G0600770004305	0.0	0.0	0.0	0.0	0.0			0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.0
G0100230956900		0.0	0.0	0.0	0.0	0.0					0.0	0.0	0.0	0.0	0.0	0.0	1	0.0
G0100150000700	0.0	0.0		0.0	0.0	0.0					0.0	0.0	0.0	0.0	0.0	0.0	1	0.0
G0100150002103	0.0	0.0	0.0	0.0	0.0	0.0		0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.0
G0100410963700	3.18181818182	6.72727272727	0.0	3210.27272727	3836.45454545	1630.72727273	1111.09090909	5704.54545455	0.0	0.0	8.09090909091	8.09090909091	8.09090909091	8.09090909091	8.09090909091	8.09090909091	1	11.0
G0600770005108	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.0
G0100150981902											0.0	0.0	0.0	0.0	0.0	0.0	1	0.0
G0100490960300	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0			0.0	0.0	0.0	0.0	0.0	0.0	1	0.0
G0100210060200	0.0	0.0	0.0	0.0	0.0						0.0	0.0	0.0	0.0	0.0	0.0	1	0.0
G0100490960900	0.0		0.0	0.0	0.0	0.0					0.0	0.0	0.0	0.0	0.0	0.0	1	0.0
G0100510030500	0.0	0.0	0.0	0.0	0.0	0.0					0.0	0.0	0.0	0.0	0.0	0.0	1	0.0
G0600770005132	0.0	0.0		0.0	0.0					0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.0
G0100250958002		0.0	0.0	0.0	0.0	0.0					0.0	0.0	0.0	0.0	0.0	0.0	1	0.0
G0100150981901											0.0	0.0	0.0	0.0	0.0	0.0	1	0.0
G0100710950300	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0			0.0	0.0	0.0	0.0	0.0	0.0	1	0.0
G0100690040700	0.0		0.0	0.0	0.0	0.0	0.0				0.0	0.0	0.0	0.0	0.0	0.0	1	0.0
G0100310010600	0.0	0.0	0.0	0.0	0.0	0.0	0.0				0.0	0.0	0.0	0.0	0.0	0.0	1	0.0
G0100710950600	0.0	0.0	0.0	0.0	0.0	0.0	0.0			0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.0
G0600770005501	0.0	0.0	0.0	0.0	0.0					0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.0
G0600790010204	0.0	0.0	0.0	0.0	0.0	0.0		0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.0
G0100890002722	2.77777777778	5.36111111111	2.47222222222	2061.44444444	2270.16666667	1844.02777778	0.0	1909.72222222	0.0	0.0	2.47222222222	2.47222222222	2.47222222222	2.47222222222	2.47222222222	2.47222222222	1	36.0
G0100330020400	0.0	0.0	0.0	0.0	0.0						0.0	0.0	0.0	0.0	0.0	0.0	1	0.0
G0100390961600	0.0			0.0	0.0	0.0					0.0	0.0	0.0	0.0	0.0	0.0	1	0.0
G0100430964200	0.0	0.0	0.0	0.0	0.0	0.0	0.0			0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.0
G0100550010401	0.0	0.0		0.0	0.0	0.0					0.0	0.0	0.0	0.0	0.0	0.0	1	0.0
G4804530002201				0.0	0.0	0.0				0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.0
G4804530002207	0.0	0.0	0.0	0.0	0.0	0.0		0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.0
