Dependency=Location AIA	Option=60F	Option=62F	Option=65F	Option=67F	Option=68F	Option=70F	Option=72F	Option=75F	Option=76F	Option=78F	Option=80F
AIA 1	0	0.001825371	0.029791386	0.012595037	0.100805573	0.197458434	0.296553172	0.214603275	0.062527073	0.081144126	0.002696553
AIA 2	0.009232917	0.000890406	0.041439365	0.015522482	0.094922676	0.239954408	0.249577245	0.160391406	0.080363694	0.091148967	0.016556434
AIA 3	0.015892338	0.00257262	0.042357805	0.011084534	0.102302037	0.223459521	0.226266384	0.18219402	0.086618092	0.088373995	0.018878654
AIA 4	0.01372389	0.004273941	0.032116861	0.005418254	0.089472687	0.211885824	0.214618837	0.184142686	0.080275909	0.123200051	0.04087106
AIA 5	0.010589734	0	0.017367775	0.003054099	0.046371094	0.125414824	0.150488296	0.230117859	0.13342952	0.204679281	0.07848752
