Dependency=Location AIA	Dependency=Has Cooling Setpoint Offset	Option=Day Setup	Option=Night Setup	Option=Night Setback	Option=Day and Night Setup	Option=Day Setup and Night Setback	Option=None
AIA 1	Yes	0.296222058	0.228881464	0.279345976	0.079803735	0.115746766	0
AIA 2	Yes	0.23326788	0.264614562	0.258572024	0.1485765	0.094969034	0
AIA 3	Yes	0.269072077	0.206251118	0.303392102	0.111675691	0.109609012	0
AIA 4	Yes	0.22063307	0.274913426	0.302758346	0.105441174	0.096253984	0
AIA 5	Yes	0.268385556	0.145643957	0.343771368	0.089767456	0.152431663	0
AIA 1	No	0	0	0	0	0	1
AIA 2	No	0	0	0	0	0	1
AIA 3	No	0	0	0	0	0	1
AIA 4	No	0	0	0	0	0	1
AIA 5	No	0	0	0	0	0	1
