Dependency=Location AIA	Option=Yes	Option=No
AIA 1	0.292405947	0.707594053
AIA 2	0.376938203	0.623061797
AIA 3	0.391653527	0.608346473
AIA 4	0.404232969	0.595767031
AIA 5	0.450450208	0.549549792
