Dependency=Location AIA	Dependency=Heating Setpoint Has Offset	Option=0F	Option=3F	Option=6F	Option=12F
AIA 1	Yes	0	0.496347285	0.357647788	0.146004927
AIA 2	Yes	0	0.521195148	0.331008135	0.147796716
AIA 3	Yes	0	0.478248554	0.328604678	0.193146768
AIA 4	Yes	0	0.380895587	0.356227761	0.262876652
AIA 5	Yes	0	0.445959308	0.341489891	0.212550801
AIA 1	No	1	0	0	0
AIA 2	No	1	0	0	0
AIA 3	No	1	0	0	0
AIA 4	No	1	0	0	0
AIA 5	No	1	0	0	0
