Dependency=Location AIA	Option=60F	Option=62F	Option=65F	Option=67F	Option=68F	Option=70F	Option=72F	Option=75F	Option=76F	Option=78F	Option=80F
AIA 1	0.051381753	0.035501996	0.101915207	0.081156598	0.289146743	0.269717738	0.097665079	0.04963049	0.002303222	0.008183224	0.01339795
AIA 2	0.030090471	0.029638488	0.101328379	0.063980657	0.269409443	0.280338247	0.120075856	0.065840703	0.008780853	0.01036004	0.020156863
AIA 3	0.040604151	0.018055229	0.088523189	0.05354409	0.251107595	0.27430175	0.150378227	0.083856292	0.011002274	0.010752871	0.017874331
AIA 4	0.043209714	0.014518205	0.093055089	0.044313587	0.228858082	0.23365506	0.148826359	0.1102466	0.029717348	0.032887564	0.020712391
AIA 5	0.025543636	0.005945986	0.066501401	0.023745443	0.168835894	0.240633625	0.157324071	0.174345343	0.049246666	0.068736879	0.019141057
