Dependency=Location AIA	Option=No	Option=Yes
AIA 1	0.450011795	0.549988205
AIA 2	0.499133546	0.500866454
AIA 3	0.474260264	0.525739736
AIA 4	0.480246192	0.519753808
AIA 5	0.535809113	0.464190887
