Dependency=Location AIA	Dependency=Cooling Setpoint Has Offset	Option=0F	Option=2F	Option=5F	Option=9F
AIA 1	Yes	0	0.599825643	0.308978142	0.091196215
AIA 2	Yes	0	0.54224424	0.337119313	0.120636447
AIA 3	Yes	0	0.458483806	0.428618881	0.112897312
AIA 4	Yes	0	0.524991232	0.292206424	0.182802344
AIA 5	Yes	0	0.538702905	0.333869797	0.127427298
AIA 1	No	1	0	0	0
AIA 2	No	1	0	0	0
AIA 3	No	1	0	0	0
AIA 4	No	1	0	0	0
AIA 5	No	1	0	0	0
