Dependency=Location Heating Region	Dependency=Vintage	kwh_nrm	Count	Weight	kwh_nrm_per_home	kwh_nrm_total
H1	<1950	3099520.3903	268	656154.47	11565.3745907	7588672234.9
H1	1950s	1253356.03959	94	252981.88	13333.5748893	3373152842.61
H1	1960s	1616855.04955	127	431218.51	12731.1421224	5489904136.62
H1	1970s	2316390.86641	144	450584.7	16086.0476834	7248126969.62
H1	1980s	1253734.63163	87	319582.18	14410.7428922	4605416628.92
H1	1990s	1332443.49211	105	341745.28	12689.9380201	4336726421.88
H1	2000s	1299564.60059	108	378758.44	12033.005561	4557602414.81
H2	<1950	882109.926399	43	115548.81	20514.1843349	2370389588.01
H2	1950s	418469.165463	25	79931.99	16738.7666185	1337962925.96
H2	1960s	285010.578778	14	41172.69	20357.8984842	838189443.341
H2	1970s	481442.111176	35	104184.71	13755.4888907	1433111620.99
H2	1980s	279252.520529	15	32036.7	18616.8347019	596421948.295
H2	1990s	648795.975984	50	130682.04	12975.9195197	1695719633.71
H2	2000s	512975.084537	41	97794.84	12511.5874277	1223568690.64
H3	<1950	273837.51541	28	67847.04	9779.91126463	663538030.768
H3	1950s	148429.560199	16	28857.84	9276.84751241	267709781.218
H3	1960s	289284.005052	19	38533.22	15225.4739501	586686537.323
H3	1970s	301638.279394	24	50904.96	12568.2616414	639786856.125
H3	1980s	246143.635904	19	32422.87	12954.9282055	420035953.065
H3	1990s	262957.844565	23	35124.71	11432.9497637	401579044.894
H3	2000s	258310.336372	26	41407.1	9935.01293739	411380074.2
