Dependency=Vintage	thm_nrm	Count	Weight	thm_nrm_per_home	thm_nrm_total
<1950	128434.040676	339	839550.32	378.861476921	318073274.184
1950s	43146.838231	135	361771.71	319.606209118	115624484.799
1960s	71562.3616698	160	510924.42	447.264760436	228518488.312
1970s	52846.8146455	203	605674.37	260.329136185	157674685.551
1980s	42361.3731445	121	384041.75	350.09399293	134450709.709
1990s	68030.5217522	178	507552.03	382.193942428	193983311.333
2000s	79553.1931804	175	517960.38	454.589675317	235459440.971
