Dependency=Location Cooling Region	thm_nrm	Count	Weight	thm_nrm_per_home	thm_nrm_total
C1	354476.061823	966	2413026.45	366.952444951	885465955.559
C2	92432.5523825	245	955265.44	377.27572401	360398460.498
C3	41964.5215546	109	379231.09	384.995610593	146002305.05
