Dependency=Location Heating Region	Dependency=Heating Fuel	kwh_nrm	Count	Weight	kwh_nrm_per_home	kwh_nrm_total
H1	Electricity	6624161.89882	376	994028.38	17617.4518586	17512247130.7
H1	Fuel Oil	463257.337872	42	108419.09	11029.936616	1195855690.66
H1	Natural Gas	3825171.30657	435	1465928.4	8793.49725649	12890637363.6
H1	Propane	113475.976323	9	29758.61	12608.4418137	375209702.641
H1	Wood	1145736.13928	74	236618.65	15482.9208011	3663547818.0
H2	Electricity	2024435.47596	84	183909.95	24100.4223328	4432307466.21
H2	Fuel Oil	143950.108907	11	30664.35	13086.373537	401285138.369
H2	Natural Gas	762614.512593	87	310539.22	8765.68405279	2722088688.52
H2	Propane	45069.9942305	5	7633.31	9013.9988461	68806647.5319
H2	Wood	494450.516516	35	65988.85	14127.1576147	932234884.765
H3	Electricity	498157.027228	25	47852.03	19926.2810891	953513000.464
H3	Fuel Oil	39376.6698427	4	15462.37	9844.16746068	152214159.619
H3	Natural Gas	893186.984287	100	181818.81	8931.86984287	1623981945.9
H3	Propane	101912.532389	6	11577.11	16985.4220648	196642099.641
H3	Wood	254860.975624	21	40518.3	12136.2369345	491739688.983
