Dependency=Location Heating Region	Dependency=Heating Fuel	thm_nrm	Count	Weight	thm_nrm_per_home	thm_nrm_total
H1	Electricity	17436.4426128	376	994028.38	46.3735175872	46096592.5621
H1	Fuel Oil	0.0	42	108419.09	0.0	0.0
H1	Natural Gas	326997.997353	435	1465928.4	751.719534144	1101967013.94
H1	Propane	0.0	9	29758.61	0.0	0.0
H1	Wood	2142.26990988	74	236618.65	28.9495933768	6850013.70286
H2	Electricity	2432.39707184	84	183909.95	28.9571079981	5325500.28407
H2	Fuel Oil	323.21492844	11	30664.35	29.3831753127	901015.971901
H2	Natural Gas	55505.3052754	87	310539.22	637.99201466	198121542.599
H2	Propane	0.0	5	7633.31	0.0	0.0
H2	Wood	715.405786	35	65988.85	20.4401653143	1348823.0029
H3	Electricity	3829.1033313	25	47852.03	153.164133252	7329214.6993
H3	Fuel Oil	0.0	4	15462.37	0.0	0.0
H3	Natural Gas	75898.5463406	100	181818.81	758.985463406	137997833.764
H3	Propane	0.0	6	11577.11	0.0	0.0
H3	Wood	1106.45086023	21	40518.3	52.6881362017	2134833.70906
