Dependency=Location Cooling Region	kwh_nrm	Count	Weight	kwh_nrm_per_home	kwh_nrm_total
C1	12214445.2706	966	2413026.45	12644.3532822	30511158913.0
C2	3778912.45455	245	955265.44	15424.1324675	14734140688.2
C3	1567658.44904	109	379231.09	14382.1876059	5454172682.36
