Dependency=Heating Fuel	thm_nrm	Count	Weight	thm_nrm_per_home	thm_nrm_total
Electricity	23697.9430159	485	1225790.36	48.8617381772	59894247.6304
Fuel Oil	323.21492844	57	154545.81	5.67043734105	876342.331927
Natural Gas	458401.848969	622	1958286.43	736.98046458	1443218842.96
Propane	0.0	20	48969.03	0.0	0.0
Wood	3964.12655611	130	343125.8	30.4932812009	10463031.5067
