Dependency=Vintage	kwh_nrm	Count	Weight	kwh_nrm_per_home	kwh_nrm_total
<1950	4255467.83211	339	839550.32	12553.0024546	10538877227.7
1950s	1820254.76525	135	361771.71	13483.3686315	4877901326.38
1960s	2191149.63338	160	510924.42	13694.6852086	6996949097.28
1970s	3099471.25698	203	605674.37	15268.3313152	9247636950.28
1980s	1779130.78806	121	384041.75	14703.5602319	5646781002.68
1990s	2244197.31266	178	507552.03	12607.8500711	6399139897.54
2000s	2070850.0215	175	517960.38	11833.4286943	6129247223.2
