Dependency=geometry_building_type_recs,Dependency=geometry_unit_cfa_bin,Dependency=vintage,100,101-124,125,126-199,200,201+,<100
"apartment unit, 2-4",0-499,1940s,0.644051,0.014906,0.171513,0.002104,0.017637,0.056208,0.09358
"apartment unit, 2-4",0-499,1950s,0.515412,0.018688,0.118454,0.00658,0.017472,0.025998,0.297395
"apartment unit, 2-4",0-499,1960s,0.727246,0.032211,0.147055,0.001709,0.008272,0.030232,0.053275
"apartment unit, 2-4",0-499,1970s,0.624755,0.013186,0.228,0.001983,0.009644,0.060033,0.062399
"apartment unit, 2-4",0-499,1980s,0.527045,0.010984,0.24208,0.056922,0.015954,0.054415,0.0926
"apartment unit, 2-4",0-499,1990s,0.448903,0.018114,0.312798,0.002935,0.017163,0.070771,0.129316
"apartment unit, 2-4",0-499,2000s,0.154955,0.029345,0.540574,0.004354,0.041335,0.155166,0.074271
"apartment unit, 2-4",0-499,2010s,0.428248,0.016915,0.276483,0.002893,0.092896,0.140655,0.04191
"apartment unit, 2-4",0-499,<1940,0.80926,0.026241,0.044664,0.002177,0.019656,0.02402,0.073982
"apartment unit, 2-4",1000-1499,1940s,0.74578,0.002583,0.035366,0.028555,0.075466,0.022438,0.089812
"apartment unit, 2-4",1000-1499,1950s,0.819425,0.001264,0.029216,0.015688,0.052275,0.005922,0.076211
"apartment unit, 2-4",1000-1499,1960s,0.828278,0.005528,0.053076,0.014483,0.048001,0.01477,0.035864
"apartment unit, 2-4",1000-1499,1970s,0.805636,0.00165,0.036955,0.015281,0.036605,0.021371,0.082502
"apartment unit, 2-4",1000-1499,1980s,0.759643,0.002299,0.048186,0.020797,0.060248,0.020501,0.088327
"apartment unit, 2-4",1000-1499,1990s,0.571383,0.002876,0.08692,0.037505,0.100097,0.032003,0.169217
"apartment unit, 2-4",1000-1499,2000s,0.621599,0.002994,0.114784,0.043594,0.121316,0.035986,0.059726
"apartment unit, 2-4",1000-1499,2010s,0.489366,0.001814,0.02849,0.019608,0.395908,0.032276,0.032538
"apartment unit, 2-4",1000-1499,<1940,0.901173,0.001496,0.006664,0.013155,0.026616,0.004814,0.046082
"apartment unit, 2-4",1500-1999,1940s,0.857055,0.000656,0.006305,0.027564,0.058685,0.007403,0.042332
"apartment unit, 2-4",1500-1999,1950s,0.787002,0.001034,0.007851,0.023255,0.048116,0.005372,0.127369
"apartment unit, 2-4",1500-1999,1960s,0.829447,0.002002,0.01551,0.02786,0.073395,0.010581,0.041203
"apartment unit, 2-4",1500-1999,1970s,0.810974,0.001154,0.010819,0.025151,0.062185,0.011963,0.077754
"apartment unit, 2-4",1500-1999,1980s,0.773974,0.001193,0.017022,0.024999,0.071337,0.010372,0.101103
"apartment unit, 2-4",1500-1999,1990s,0.562301,0.001964,0.033721,0.061884,0.144084,0.021573,0.174474
"apartment unit, 2-4",1500-1999,2000s,0.701455,0.001613,0.012531,0.05956,0.146387,0.017601,0.060852
"apartment unit, 2-4",1500-1999,2010s,0.546477,0.001122,0.009007,0.035711,0.356725,0.016564,0.034394
"apartment unit, 2-4",1500-1999,<1940,0.934298,0.000595,0.002175,0.011828,0.01807,0.001629,0.031405
"apartment unit, 2-4",2000-2499,1940s,0.858001,0.000556,0.00457,0.040059,0.061441,0.003508,0.031865
"apartment unit, 2-4",2000-2499,1950s,0.797534,0.001515,0.006693,0.023535,0.067128,0.003265,0.10033
"apartment unit, 2-4",2000-2499,1960s,0.769827,0.001894,0.025922,0.041462,0.102316,0.008409,0.050169
"apartment unit, 2-4",2000-2499,1970s,0.694133,0.00287,0.014803,0.046099,0.155732,0.008884,0.077478
"apartment unit, 2-4",2000-2499,1980s,0.616536,0.001853,0.012019,0.040895,0.183772,0.008498,0.136427
"apartment unit, 2-4",2000-2499,1990s,0.505438,0.002381,0.02265,0.072995,0.284385,0.014606,0.097544
"apartment unit, 2-4",2000-2499,2000s,0.592568,0.002567,0.011217,0.050112,0.261109,0.016896,0.065531
"apartment unit, 2-4",2000-2499,2010s,0.564083,0.000875,0.005346,0.028055,0.355897,0.012639,0.033104
"apartment unit, 2-4",2000-2499,<1940,0.927163,0.000464,0.000998,0.018129,0.031387,0.000767,0.021093
"apartment unit, 2-4",2500-2999,1940s,0.829626,0.001958,0.002983,0.063241,0.070327,0.013805,0.018059
"apartment unit, 2-4",2500-2999,1950s,0.732341,0.001377,0.005104,0.077918,0.108197,0.015094,0.059969
"apartment unit, 2-4",2500-2999,1960s,0.594799,0.002473,0.020809,0.079195,0.193984,0.030584,0.078157
"apartment unit, 2-4",2500-2999,1970s,0.612132,0.002319,0.006177,0.096883,0.211696,0.033272,0.037521
"apartment unit, 2-4",2500-2999,1980s,0.54322,0.001842,0.005957,0.098111,0.273047,0.0361,0.041723
"apartment unit, 2-4",2500-2999,1990s,0.350025,0.002915,0.009286,0.153889,0.383923,0.057599,0.042362
"apartment unit, 2-4",2500-2999,2000s,0.544642,0.001317,0.003975,0.08314,0.24667,0.037298,0.082959
"apartment unit, 2-4",2500-2999,2010s,0.535698,0.001217,0.002891,0.077848,0.328972,0.036627,0.016747
"apartment unit, 2-4",2500-2999,<1940,0.796424,0.001522,0.000875,0.128478,0.048212,0.002949,0.021539
"apartment unit, 2-4",3000-3999,1940s,0.624544,0.001542,0.005722,0.142797,0.172037,0.042989,0.010369
"apartment unit, 2-4",3000-3999,1950s,0.611182,0.000844,0.008439,0.075994,0.217867,0.042471,0.043204
"apartment unit, 2-4",3000-3999,1960s,0.584304,0.001244,0.052658,0.065173,0.240769,0.030725,0.025127
"apartment unit, 2-4",3000-3999,1970s,0.548416,0.000834,0.004281,0.052904,0.328524,0.032707,0.032334
"apartment unit, 2-4",3000-3999,1980s,0.543425,0.000804,0.008587,0.057709,0.324129,0.054248,0.011099
"apartment unit, 2-4",3000-3999,1990s,0.371377,0.012397,0.012649,0.098074,0.409754,0.085629,0.01012
"apartment unit, 2-4",3000-3999,2000s,0.53855,0.000823,0.008945,0.08311,0.295107,0.057709,0.015756
"apartment unit, 2-4",3000-3999,2010s,0.549971,0.000403,0.003089,0.045269,0.353091,0.04433,0.003846
"apartment unit, 2-4",3000-3999,<1940,0.677408,0.00081,0.0022,0.116075,0.18398,0.008923,0.010604
"apartment unit, 2-4",4000+,1940s,0.645699,0.000123,0.002067,0.01764,0.155887,0.175163,0.003421
"apartment unit, 2-4",4000+,1950s,0.476551,8.8e-05,0.021904,0.018296,0.279894,0.190434,0.012833
"apartment unit, 2-4",4000+,1960s,0.612562,0.000127,0.007156,0.040822,0.257715,0.069654,0.011966
"apartment unit, 2-4",4000+,1970s,0.522835,7.5e-05,0.001512,0.016973,0.397874,0.053714,0.007017
