Location,Vintage,"Uninsulated, Vented","Ceiling R-49 Cellulose, Gr-1, Vented","Ceiling R-60 Cellulose, Gr-1, Vented","Ceiling R-13 Fiberglass, Gr-1, Vented","Ceiling R-19 Fiberglass, Gr-1, Vented","Ceiling R-38 Cellulose, Gr-1, Vented","Ceiling R-30 Cellulose, Gr-1, Vented","Ceiling R-7 Fiberglass, Gr-1, Vented",
H1C1 OR,pre-1950,0,0,0,0.09091,0.54545,0.27273,0.09091,0,
H1C1 OR,1950s,0,0,0.28571,0,0.42857,0.14286,0,0.14286,
H1C1 OR,1960s,0,0.23077,0.07692,0.23077,0.23077,0.15385,0.07692,0,
H1C1 OR,1970s,0,0.07692,0,0.15385,0.15385,0.23077,0.30769,0.07692,
H1C1 OR,1980s,0,0,0,0.16667,0.33333,0.16667,0.33333,0,
H1C1 OR,1990s,0,0.15385,0,0,0.07692,0.61538,0.15385,0,
H1C1 OR,2000s,0,0.25,0,0,0.0,0.625,0.125,0,
H1C1 OR,2010s,0,0.5,0,0,0.0,0,0.5,0,
H1C1 WA,pre-1950,0.06,0.02,0.02,0.18,0.26,0.22,0.1,0.14,
H1C1 WA,1950s,0.05556,0,0,0.22222,0.22222,0.22222,0.16667,0.11111,
H1C1 WA,1960s,0,0.03571,0,0.14286,0.39286,0.21429,0.10714,0.10714,
H1C1 WA,1970s,0,0,0,0.16667,0.23333,0.3,0.16667,0.13333,
H1C1 WA,1980s,0,0,0,0.12,0.2,0.24,0.44,0,
H1C1 WA,1990s,0,0.04762,0,0,0.19048,0.57143,0.14286,0.04762,
H1C1 WA,2000s,0,0.125,0.04167,0,0.0,0.625,0.20833,0,
H1C1 WA,2010s,0,0,0,0,0,0,0,0,
H1C2,pre-1950,0.04762,0.04762,0,0.04762,0.47619,0.09524,0.09524,0.19048,
H1C2,1950s,0,0,0,0.25,0.0,0.25,0.5,0,
H1C2,1960s,0,0,0,0.14286,0.42857,0.42857,0,0,
H1C2,1970s,0,0.44444,0,0.11111,0.11111,0,0.33333,0,
H1C2,1980s,0,0,0,0,0.22222,0.22222,0.55556,0,
H1C2,1990s,0,0,0,0,0.0,0.8,0.2,0,
H1C2,2000s,0,0,0,0,0.0,1.0,0,0,
H1C2,2010s,0,0,0,0,0,0,0,0,
H1C3,pre-1950,0,0.16667,0.16667,0,0.16667,0.33333,0.16667,0,
H1C3,1950s,0,0.2,0,0.2,0.2,0.2,0.2,0,
H1C3,1960s,0,0.33333,0,0,0.33333,0.33333,0,0,
H1C3,1970s,0,0.11111,0.11111,0.11111,0.44444,0.11111,0.11111,0,
H1C3,1980s,0,0.25,0,0,0.0,0.75,0,0,
H1C3,1990s,0,0,0,0,0.14286,0.71429,0.14286,0,
H1C3,2000s,0,0.08333,0,0,0.0,0.91667,0,0,
H1C3,2010s,0,0,0,0,0,0,0,0,
H2,pre-1950,0,0,0.06667,0.06667,0.4,0.13333,0.13333,0.2,
H2,1950s,0,0,0.18182,0.09091,0.18182,0.36364,0.09091,0.09091,
H2,1960s,0,0,0,0.16667,0.33333,0.33333,0.16667,0,
H2,1970s,0,0.07143,0,0,0.5,0.35714,0.07143,0,
H2,1980s,0,0.25,0,0,0.5,0,0.25,0,
H2,1990s,0,0.05882,0.11765,0,0.05882,0.64706,0.11765,0,
H2,2000s,0,0.08333,0.08333,0,0.0,0.75,0.08333,0,
H2,2010s,0,0,0,0,0.0,1.0,0,0,
H3,pre-1950,0,0.22222,0.11111,0.11111,0.22222,0.22222,0.11111,0,
H3,1950s,0,0,0,0.25,0.5,0.25,0,0,
H3,1960s,0,0.2,0,0,0.4,0.2,0.2,0,
H3,1970s,0,0.28571,0,0.14286,0.28571,0.14286,0.14286,0,
H3,1980s,0,0.25,0.25,0,0.0,0.25,0.25,0,
H3,1990s,0,0.4,0,0,0.2,0,0.4,0,
H3,2000s,0,0.2,0,0,0.0,0.6,0.2,0,
H3,2010s,0,0,0,0,0.0,1.0,0,0,
