Dependency=Location	Dependency=Vintage	Dependency=Geometry House Size	Dependency=HVAC System Cooling	Option=0-50	Option=50-100	Option=100-150	Option=150-200	Option=200-250	Option=250-300	Option=300+	Count	Weight
Outside MSA, rural	<1950	0-1499	Central	0.0309357924004	0.051351889988	0.13825433237	0.0999458977094	0.219843409619	0.116898078524	0.342770599389	126	318276.520755
Outside MSA, rural	<1950	0-1499	Room	0.0755428114884	0.0997006515646	0.16733223325	0.157714059564	0.123007492487	0.0673169895226	0.309385762123	128	325753.382975
Outside MSA, rural	<1950	0-1499	None	0.0224935020016	0.0570186698875	0.110740325861	0.173028071286	0.172002730403	0.122482965778	0.342233734783	49	131645.830257
Outside MSA, rural	<1950	1500-2499	Central	0.0514980170249	0.0199381889532	0.0968553391699	0.096026614706	0.0652746837332	0.0943541445783	0.576053011834	192	498105.335224
Outside MSA, rural	<1950	1500-2499	Room	0.0666364057647	0.0477257391986	0.141782743757	0.12778641627	0.0887516321105	0.0790268483179	0.448290214581	127	342187.002763
Outside MSA, rural	<1950	1500-2499	None	0.0470450620156	0.0537341984306	0.0770511069686	0.133966933531	0.0748527904491	0.0821475358542	0.531202372751	71	182673.005062
Outside MSA, rural	<1950	2500-3499	Central	0.0330874702439	0.022632226456	0.0879531884119	0.0510503709066	0.0204539869363	0.160715039447	0.624107717598	45	112961.257094
Outside MSA, rural	<1950	2500-3499	Room	0.0250217273858	0.0259491566331	0.0459337575762	0.151422373792	0.184590533981	0.0462151062313	0.520867344401	40	102760.733264
Outside MSA, rural	<1950	2500-3499	None	0.0465210843531	0.0437227930243	0.0448936727889	0.199307518367	0.148652540737	0.0950771405312	0.421825250199	22	58058.2284002
Outside MSA, rural	<1950	3500+	Central	0.028646426109	0.0270689605745	0.0249204824192	0.060813563349	0.164588260221	0.110976556748	0.582985750579	35	85900.1379383
Outside MSA, rural	<1950	3500+	Room	0.0	0.0	0.323659946938	0.0823894523332	0.168514932282	0.0444900835334	0.380945584913	13	33305.6332539
Outside MSA, rural	<1950	3500+	None	0.146754583783	0.10713681594	0.0999579289722	0.0883314977637	0.079514074676	0.0	0.478305098865	12	31348.2158166
Outside MSA, rural	<1950	Blank	Central	0.0	0.119594301537	0.0312805353159	0.0594076102879	0.250229408326	0.0801732976021	0.459314846932	30	79703.4380588
Outside MSA, rural	<1950	Blank	Room	0.0	0.0877064734172	0.12939969686	0.122391825283	0.0319166254241	0.0542401738318	0.574345205184	22	56438.8939828
Outside MSA, rural	<1950	Blank	None	0.0	0.0	0.303945099264	0.378268648701	0.0	0.0999055134238	0.217880738612	10	24997.0635615
Outside MSA, rural	1950s	0-1499	Central	0.0610018167306	0.0582837486747	0.0750453128021	0.248640511797	0.091743781934	0.0477334586475	0.417551369415	62	164380.387215
Outside MSA, rural	1950s	0-1499	Room	0.0471750636279	0.0782304318461	0.192701315428	0.136959438434	0.0579145438883	0.0405249383443	0.446494268432	43	120073.580233
Outside MSA, rural	1950s	0-1499	None	0.109793035931	0.222273735086	0.0914525488072	0.275255629027	0.0837000622982	0.0775684344447	0.139956554406	24	59158.7244638
Outside MSA, rural	1950s	1500-2499	Central	0.0638044621281	0.0518526161598	0.0678958983888	0.12348897481	0.0849258080206	0.0432931071881	0.564739133305	79	199989.254132
Outside MSA, rural	1950s	1500-2499	Room	0.082512021201	0.0477404341705	0.130652858298	0.0951109158261	0.0521150160859	0.047946326887	0.543922427532	22	56186.551413
Outside MSA, rural	1950s	1500-2499	None	0.0731849606853	0.0920683638125	0.102544312941	0.0	0.0	0.0	0.732202362562	11	28447.1424553
Outside MSA, rural	1950s	2500-3499	Central	0.0539537823129	0.0786562930666	0.115176724461	0.108160538114	0.106049691649	0.0	0.538002970396	18	45072.6322317
Outside MSA, rural	1950s	2500-3499	Room	0.0	0.177673813292	0.0	0.15073562232	0.159480093996	0.193510531305	0.318599939087	6	16720.2959089
Outside MSA, rural	1950s	2500-3499	None	0.132598481513	0.159185311738	0.0	0.0	0.157861764814	0.14568130656	0.404673135376	5	17395.0399385
Outside MSA, rural	1950s	3500+	Central	0.0	0.0	0.0395744017314	0.057867813648	0.0634522503173	0.0756696360229	0.76343589828	12	42914.6088481
Outside MSA, rural	1950s	3500+	Room	0.0	0.0	0.0	0.0	0.0	0.386313942962	0.613686057038	3	9177.1116075
Outside MSA, rural	1950s	3500+	None	0.142857142857	0.142857142857	0.142857142857	0.142857142857	0.142857142857	0.142857142857	0.142857142857	0	0.0
Outside MSA, rural	1950s	Blank	Central	0.148410654492	0.0853168773124	0.051006092416	0.0	0.143148229821	0.0154782866055	0.556639859352	14	33149.2359307
Outside MSA, rural	1950s	Blank	Room	0.0	0.177433850828	0.0	0.28583219441	0.180773306346	0.0	0.355960648416	6	14018.2873076
Outside MSA, rural	1950s	Blank	None	0.0	0.425078714023	0.0	0.0	0.0	0.0	0.574921285977	2	5851.4308455
Outside MSA, rural	1960s	0-1499	Central	0.075808312678	0.0487368637535	0.129032313129	0.0778239168238	0.138155889464	0.0590735525033	0.471369151648	76	193033.829489
Outside MSA, rural	1960s	0-1499	Room	0.027908534173	0.0822918675065	0.107494061333	0.161890567753	0.151892915944	0.0783471677923	0.390174885498	34	91597.3812152
Outside MSA, rural	1960s	0-1499	None	0.047642395706	0.0	0.380439567219	0.0774476754966	0.0853495339535	0.119907097266	0.289213730359	19	58675.5223635
Outside MSA, rural	1960s	1500-2499	Central	0.0202888289049	0.0589941902251	0.0643946846492	0.128371666076	0.113098773183	0.0890693150412	0.52578254192	102	254812.106881
Outside MSA, rural	1960s	1500-2499	Room	0.152658413957	0.0483576997233	0.141868062188	0.0808041523232	0.130312431804	0.110563219364	0.33543602064	36	96684.6167094
Outside MSA, rural	1960s	1500-2499	None	0.0	0.126575061338	0.057229263272	0.0982423054333	0.184323545415	0.0545696240138	0.479060200528	16	41290.0184346
Outside MSA, rural	1960s	2500-3499	Central	0.0265826053724	0.0338713684597	0.0865810107394	0.0760788928632	0.0526083854707	0.186509838663	0.537767898431	36	90649.0999074
Outside MSA, rural	1960s	2500-3499	Room	0.0	0.0	0.390379012214	0.0	0.114793785564	0.0	0.494827202222	8	20250.4045483
Outside MSA, rural	1960s	2500-3499	None	0.194975989825	0.0	0.0	0.102529518752	0.0900968521704	0.0	0.612397639253	9	26342.9671151
Outside MSA, rural	1960s	3500+	Central	0.0	0.129761511832	0.0	0.0	0.0512521083905	0.0	0.818986379777	13	36327.6550345
Outside MSA, rural	1960s	3500+	Room	0.655673560104	0.0	0.0	0.0	0.0	0.0	0.344326439896	3	6721.8530642
Outside MSA, rural	1960s	3500+	None	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1	2472.2018917
Outside MSA, rural	1960s	Blank	Central	0.105270719885	0.0	0.0	0.0854748402726	0.0896283184435	0.11119291137	0.608433210029	9	20553.525717
Outside MSA, rural	1960s	Blank	Room	0.0	0.0	0.746612702206	0.253387297794	0.0	0.0	0.0	6	15414.5727363
Outside MSA, rural	1960s	Blank	None	0.0	0.0	0.485420692649	0.0	0.0	0.0	0.514579307351	2	5618.5066259
Outside MSA, rural	1970s	0-1499	Central	0.0583087152686	0.076243331359	0.109042265782	0.0971367112492	0.132185410223	0.112591980126	0.414491585992	126	322648.804906
Outside MSA, rural	1970s	0-1499	Room	0.0752140471125	0.15542829047	0.0760315130348	0.176812715477	0.0979991483899	0.0720041973409	0.346510088176	87	245045.550591
Outside MSA, rural	1970s	0-1499	None	0.0226782333979	0.194331037269	0.205695169213	0.0762037350828	0.0830891593704	0.157420340168	0.260582325498	40	106993.118817
Outside MSA, rural	1970s	1500-2499	Central	0.0436432569688	0.0299322748003	0.0963034272641	0.115417903819	0.0980875733713	0.093725536223	0.522890027554	271	686595.758197
Outside MSA, rural	1970s	1500-2499	Room	0.0833190292009	0.0778702762563	0.164328067452	0.206903535218	0.119021703684	0.0586114246742	0.289945963516	67	175949.80836
Outside MSA, rural	1970s	1500-2499	None	0.0346300165519	0.0352777210852	0.0720448448404	0.150062743034	0.0142520183085	0.128282184143	0.565450472037	51	140032.985778
Outside MSA, rural	1970s	2500-3499	Central	0.0154703556126	0.0161628922053	0.042190111102	0.0729483668396	0.110110079823	0.122352730195	0.620765464222	110	290245.227371
Outside MSA, rural	1970s	2500-3499	Room	0.0	0.0	0.18133837633	0.0385509564374	0.212928280398	0.0741049124209	0.493077474414	23	61565.746566
Outside MSA, rural	1970s	2500-3499	None	0.117994267183	0.0	0.0	0.219710517601	0.0584811338048	0.0	0.603814081411	16	43291.3857117
