Dependency=Usage Level	EF = 6.7	EF = 10.2	EF = 10.5	EF = 15.9
Low	0.04	0.07	0.19	0.7
Medium	0.04	0.07	0.19	0.7
High	0.04	0.07	0.19	0.7
Average	0.04	0.07	0.19	0.7
